konkretnoj	konkretan	Agpfsly
situaciji	situacija	Ncfsl
doprinos	doprinos	Ncmsn
alkohola	alkohol	Ncmsg
kod	kod	Sg
optuženika	optuženik	Ncmpg
bio	biti	Vap-sm
vrlo	vrlo	Rgp
značajan	značajan	Agpmsnn
.	.	Z

Utjecao	utjecati	Vmp-sm
je	biti	Var3s
na	na	Sa
otkočenje	otkočenje	Ncnsa
agresivnog	agresivan	Agpnsgy
ponašanja	ponašanje	Ncnsg
optuženika	optuženik	Ncmpg
.	.	Z

Pod	pod	Si
pretpostavkom	pretpostavka	Ncfsi
da	da	Cs
je	biti	Var3s
optuženik	optuženik	Ncmsn
bio	biti	Vap-sm
trijezan	trijezan	Agpmsnn
vještak	vještak	Ncmsn
se	sebe	Px--sa
ne	ne	Qz
bi	biti	Vaa3s
odlučio	odlučiti	Vmp-sm
za	za	Sa
ovakvu	ovakav	Pd-fsa
procjenu	procjena	Ncfsa
redukcije	redukcija	Ncfsg
ubrojivosti	ubrojivost	Ncfsg
.	.	Z

Sud	sud	Ncmsn
je	biti	Var3s
u	u	Sl
cijelosti	cijelost	Ncfsl
prihvatio	prihvatiti	Vmp-sm
ekspertizu	ekspertiza	Ncfsa
nalazeći	nalaziti	Rr
da	da	Cs
je	biti	Var3s
ista	isti	Agpfsny
temeljena	temeljiti	Appfsny
na	na	Sl
algoritmu	algoritam	Ncmsl
forenzične	forenzičan	Agpfsgy
psihijatrije	psihijatrija	Ncfsg
,	,	Z
znanju	znanje	Ncnsl
(	(	Z
vještak	vještak	Ncmsn
je	biti	Var3s
izvanredni	izvanredan	Agpmsny
profesor	profesor	Ncmsn
)	)	Z
te	te	Cc
na	na	Sl
dugogodišnjem	dugogodišnji	Agpnsly
iskustvu	iskustvo	Ncnsl
–	–	Z
u	u	Sl
sudskim	sudski	Agpnply
vještačenjima	vještačenje	Ncnpl
,	,	Z
te	te	Cc
na	na	Sl
istu	isti	Ncmsl
stranke	stranka	Ncfsg
nisu	biti	Var3p
imale	imati	Vmp-pf
primjedbi	primjedba	Ncfsl
.	.	Z
«	«	Z

18.	18.	Mdo

Utvrđenje	utvrđenje	Ncnsn
da	da	Cs
je	biti	Var3s
inkriminirane	inkriminiran	Agpfpay
zgode	zgoda	Ncfpa
upravo	upravo	Rgp
podnositelj	podnositelj	Ncmsn
pucao	pucati	Vmp-sm
u	u	Sa
oštećenike	oštećenik	Ncmpa
iz	iz	Sg
svoga	svoj	Px-msg
pištolja	pištolj	Ncmsg
sud	sud	Ncmsn
je	biti	Var3s
obrazložio	obrazložiti	Vmp-sm
navodeći	navoditi	Rr
:	:	Z

»	»	Z
Iz	iz	Sg
nalaza	nalaz	Ncmsg
i	i	Cc
mišljenja	mišljenje	Ncnsg
Centra	centar	Ncmsg
za	za	Sa
forenzična	forenzičan	Agpnpay
ispitivanja	ispitivanje	Ncnpa
,	,	Z
istraživanja	istraživanje	Ncnsg
i	i	Cc
vještačenja	vještačenje	Ncnsg
'	'	Z
Ivan	Ivan	Npmsn
Vučetić	Vučetić	Npmsn
'	'	Z
proizlazi	proizlaziti	Vmr3s
da	da	Cs
se	sebe	Px--sa
na	na	Sl
brisu	bris	Ncmsl
iz	iz	Sg
cijevi	cijev	Ncfsg
dostavljenog	dostaviti	Agpmsgy
predmetnog	predmetni	Agpmsgy
pištolja	pištolj	Ncmsg
uočava	uočavati	Vmr3s
veći	velik	Agcmsny
broj	broj	Ncmsn
čestica	čestica	Ncfpg
,	,	Z
plavo	plavo	Rgp
točkasto	točkasto	Rgp
obojene	obojen	Agpmpay
,	,	Z
karakteristične	karakterističan	Agpfpny
za	za	Sa
nesagorjele	nesagorjela	Ncfpa
i	i	Cc
djelomično	djelomično	Rgp
sagorjele	sagorjeti	Vmp-pf
čestice	čestica	Ncfpa
baruta	barut	Ncmsg
.	.	Z

Iz	iz	Sg
predmetnog	predmetni	Agpmsgy
pištolja	pištolj	Ncmsg
ispaljeno	ispaliti	Appnsny
je	biti	Var3s
najmanje	malo	Rgs
devet	devet	Mlc
komada	komad	Ncmpg
streljiva	streljivo	Ncnsg
.	.	Z

Predmetom	predmet	Ncmsi
balističkog	balistički	Agpmsgy
i	i	Cc
mehanoskopskog	mehanoskopski	Agpnsgy
vještačenja	vještačenje	Ncnsg
bilo	biti	Vap-sn
je	biti	Var3s
promatrano	promatrati	Appnsny
devet	devet	Mlc
čahura	čahura	Ncfpg
cal	cal	Ncfpg
.	.	Z
9	9	Mdc
mm	mm	Y
Luger	Luger	Npfsn
i	i	Cc
sve	sav	Agpnsny
ukazuje	ukazivati	Vmr3s
da	da	Cs
je	biti	Var3s
toliko	toliko	Rgp
streljiva	streljivo	Ncnpg
bilo	biti	Vap-sn
i	i	Cc
u	u	Sl
pištolju	pištolj	Ncmsl
.	.	Z

Među	među	Si
strankama	stranka	Ncfpi
nije	biti	Var3s
sporno	sporan	Agpnsny
da	da	Cs
se	sebe	Px--sa
kritični	kritičan	Agpmsny
događaj	događaj	Ncmsn
zbio	zbiti	Vmp-sm
dana	dan	Ncmsg
23.	23.	Mdo
prosinca	prosinac	Ncmsg
2012.	2012.	Mdo
godine	godina	Ncfsg
oko	oko	Rgp
19,30	19,30	Mdc
sati	sat	Ncmpg
u	u	Sl
Belišću	Belišć	Npmsl
ispred	ispred	Sg
i	i	Qo
u	u	Sl
kući	kuća	Ncfsl
ošt	ošt	Ncnsa
.	.	Z

Miloša	Miloš	Npmsay
Ognjenovića	Ognjenović	Npmsay
.	.	Z

Ovo	ovaj	Pd-nsn
ne	ne	Qz
samo	samo	Rgp
da	da	Cs
proizlazi	proizlaziti	Vmr3s
iz	iz	Sg
obrane	obrana	Ncfsg
opt	opa	Ncfsg
.	.	Z

Jakoba	Jakoba	Npmsn
Špernoge	Špernoge	Npmsn
,	,	Z
nego	nego	Cc
i	i	Cc
iz	iz	Sg
iskaza	iskaz	Ncmsg
ošt	ošt	Ncfpg
.	.	Z

Jasmine	Jasmine	Npfsn
Mišković	Mišković	Npfsn
Špernoga	Šperni	Npmsay
,	,	Z
ošt	ošt	Ncmsn
.	.	Z

P.	P.	Y
T.	T.	Y
i	i	Cc
ošt	ošt	Ncmsan
.	.	Z
mlt	mlt	Rgp
.	.	Z

Lj.	Lj.	Y

F.	F.	Y
,	,	Z
kao	kao	Cs
i	i	Cc
svjedoka	svjedok	Ncmpg
Josipa	Josip	Npmsg
Špernoge	Špernogo	Npmsg
,	,	Z
Đurđice	đurđica	Ncfpn
Jozić	Jozić	Npfsg
i	i	Cc
Krune	kruna	Ncfpa
Fumića	Fumić	Npmsg
.	.	Z

Osim	osim	Sg
toga	taj	Pd-nsg
iz	iz	Sg
izvješća	izvješće	Ncnsg
o	o	Sl
uhićenju	uhićenje	Ncnsl
i	i	Cc
dovođenju	dovođenje	Ncnsl
u	u	Sa
pritvorsku	pritvorski	Agpfsay
policijsku	policijski	Agpfsay
jedinicu	jedinica	Ncfsa
proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
optuženik	optuženik	Ncmsn
uhićen	uhititi	Appmsnn
u	u	Sa
19,40	19,40	Mdc
sati	sat	Ncmpg
,	,	Z
što	što	Pi3n-n
odgovara	odgovarati	Vmr3s
kronologiji	kronologija	Ncfsd
zbivanja	zbivanje	Ncnsg
.	.	Z

Naime	naime	Qo
,	,	Z
iz	iz	Sg
tog	taj	Pd-msg
dijela	dio	Ncmsg
iskaza	iskaz	Ncmpg
oštećenih	oštetiti	Agpmpgy
i	i	Cc
svjedoka	svjedok	Ncmpg
ne	ne	Qz
proizlaze	proizlaziti	Vmr3p
razmimoilaženja	razmimoilaženje	Ncnsg
,	,	Z
niti	niti	Qo
je	biti	Var3s
bilo	biti	Vap-sn
primjedbi	primjedba	Ncfpg
stranaka	stranka	Ncfpg
.	.	Z

Nadalje	nadalje	Rgp
nesporno	nesporno	Rgp
proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
optuženik	optuženik	Ncmsn
kritične	kritičan	Agpfsgy
zgode	zgoda	Ncfsg
došao	doći	Vmp-sm
na	na	Sa
mjesto	mjesto	Ncnsa
inkriminacije	inkriminacija	Ncfsg
naoružan	naoružati	Appmsnn
pištoljem	pištolj	Ncmsi
marke	marka	Ncfsg
'	'	Z
FM	FM	Npmsn
'	'	Z
M	m	Y
90	90	Mdc
cal	cal	Ncfpg
.	.	Z
9	9	Mdc
mm	mm	Y
Luger	Luger	Xf
(	(	Z
Parabellum	Parabellum	Npmsn
)	)	Z
te	te	Cc
da	da	Cs
je	biti	Var3s
iz	iz	Sg
njega	on	Pp3msg
ispalio	ispaliti	Vmp-sm
sveukupno	sveukupno	Rgp
devet	devet	Mlc
hitaca	hitac	Ncmpg
ispred	ispred	Sg
kuće	kuća	Ncfsg
i	i	Cc
u	u	Sl
prostorijama	prostorija	Ncfpl
iste	isti	Agpfsgy
.	.	Z

Da	da	Cs
je	biti	Var3s
pištolj	pištolj	Ncmsn
bio	biti	Vap-sm
u	u	Sl
posjedu	posjed	Ncmsl
optuženika	optuženik	Ncmpg
ne	ne	Qz
samo	samo	Rgp
da	da	Cs
proizlazi	proizlaziti	Vmr3s
iz	iz	Sg
njegove	njegov	Ps3fsg
obrane	obrana	Ncfsg
,	,	Z
nego	nego	Cc
i	i	Cc
iz	iz	Sg
neposrednog	neposredan	Agpmsgy
i	i	Cc
okolnosnog	okolnosan	Agpmsgy
iskaza	iskaz	Ncmsg
ošt	ošt	Ncfpg
.	.	Z

Jasmine	Jasmine	Npfsn
Mišković	Mišković	Npfsn
Špernoga	Špernoga	Npfsn
.	.	Z

S	sa	Si
obzirom	obzir	Ncmsi
da	da	Cs
su	biti	Var3p
redarstvene	redarstveni	Agpfpny
vlasti	vlast	Ncfpn
na	na	Sl
licu	lice	Ncnsl
mjesta	mjesto	Ncnsg
pronašli	pronaći	Vmp-pm
te	te	Cc
fiksirali	fiksirati	Vmp-pm
sveukupno	sveukupno	Rgp
devet	devet	Mlc
čahura	čahura	Ncfpg
,	,	Z
te	te	Cc
jedno	jedan	Mlcnsa
neispaljeno	neispaljen	Agpnsay
streljivo	streljivo	Ncnsa
(	(	Z
metak	metak	Ncmsn
)	)	Z
,	,	Z
koje	koji	Pi-nsn
po	po	Sl
kalibru	kalibar	Ncmsl
odgovaraju	odgovarati	Vmr3p
predmetnom	predmetni	Agpmsly
pištolju	pištolj	Ncmsl
,	,	Z
a	a	Cc
što	što	Pi3n-n
je	biti	Var3s
verificirano	verificirati	Appnsny
nalazom	nalaz	Ncmsi
i	i	Cc
mišljenjem	mišljenje	Ncnsi
vještaka	vještak	Ncmpg
balističara	balističar	Ncmpg
,	,	Z
to	taj	Pd-nsn
je	biti	Var3s
sud	sud	Ncmsn
smatrao	smatrati	Vmp-sm
utvrđenim	utvrditi	Cs
da	da	Cs
je	biti	Var3s
optuženik	optuženik	Ncmsn
na	na	Sl
opisanom	opisati	Agpnsly
mjestu	mjesto	Ncnsl
događaja	događaj	Ncmsg
ispalio	ispaliti	Vmp-sm
sveukupno	sveukupno	Rgp
devet	devet	Mlc
projektila	projektil	Ncmpg
,	,	Z
koji	koji	Pi-mpn
su	biti	Var3p
se	sebe	Px--sa
nalazili	nalaziti	Vmp-pm
u	u	Sl
spremniku	spremnik	Ncmsl
pištolja	pištolj	Ncmpg
.	.	Z

Naime	naime	Qo
,	,	Z
iz	iz	Sg
fotoelaborata	fotoelaborat	Ncmsg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
optuženik	optuženik	Ncmsn
odbacio	odbaciti	Vmp-sm
predmetni	predmetni	Agpmsayn
pištolj	pištolj	Ncmsan
u	u	Sl
neposrednoj	neposredan	Agpfsly
blizini	blizina	Ncfsl
mjesta	mjesto	Ncnsg
događaja	događaj	Ncmsg
(	(	Z
pored	pored	Sg
ulaza	ulaz	Ncmsg
u	u	Sa
krug	krug	Ncmsan
trgovačkog	trgovački	Agpnsgy
društva	društvo	Ncnsg
'	'	Z
Belišće	Belišće	Npnsn
'	'	Z
d.	d.	Y
d.	d.	Y
)	)	Z
,	,	Z
a	a	Cc
u	u	Sl
njemu	on	Pp3msl
policijski	policijski	Agpmpny
službenici	službenik	Ncmpn
te	te	Cc
balističar	balističar	Ncmsn
,	,	Z
nakon	nakon	Sg
konstatacije	konstatacija	Ncfsg
da	da	Cs
je	biti	Var3s
isti	isti	Agpmsny
funkcionalan	funkcionalan	Agpmsnn
,	,	Z
nisu	biti	Var3p
našli	naći	Vmp-pm
više	mnogo	Rgc
streljiva	streljivo	Ncnsg
(	(	Z
niti	niti	Cc
u	u	Sl
spremniku	spremnik	Ncmsl
,	,	Z
niti	niti	Qo
u	u	Sl
cijevi	cijev	Ncfsl
)	)	Z
,	,	Z
iako	iako	Cs
nije	biti	Var3s
dvojbeno	dvojben	Agpnsny
da	da	Cs
taj	taj	Pd-msn
tip	tip	Ncmsn
pištolja	pištolj	Ncmsg
može	moći	Vmr3s
u	u	Sa
spremnik	spremnik	Ncmsan
primiti	primiti	Vmn
15	15	Mdc
streljiva	streljivo	Ncnpg
naznačenog	naznačen	Agpmsgy
kalibra	kalibar	Ncmsg
.	.	Z
«	«	Z

19.	19.	Mdo

Namjeru	namjera	Ncfsa
podnositelja	podnositelj	Ncmpg
da	da	Cs
počini	počiniti	Vmr3s
inkriminirana	inkriminiran	Agpnpay
djela	djelo	Ncnpa
sud	sud	Ncmsn
je	biti	Var3s
obrazložio	obrazložiti	Vmp-sm
navodeći	navoditi	Vmn
sljedeće	sljedeći	Agpnsay
:	:	Z

»	»	Z
Tijekom	tijekom	Sg
obavljenog	obaviti	Agpmsgy
telefonskog	telefonski	Agpmsgy
razgovora	razgovor	Ncmsg
