povrede	povreda	Ncfpa
njihovih	njihov	Sg
ustavnih	ustavan	Agpnpgy
prava	pravo	Ncnpg
koje	koji	Pi-nsn
navode	navoditi	Vmr3p
u	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
.	.	Z

6.4.	6.4.	Mdo

Podnositelji	podnositelj	Ncmpn
u	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
ističu	isticati	Vmr3p
prigovor	prigovor	Ncmsan
(	(	Z
koji	koji	Pi-msan
su	biti	Var3p
isticali	isticati	Vmp-pm
i	i	Qo
u	u	Sl
žalbi	žalba	Ncfsl
)	)	Z
da	da	Cs
je	biti	Var3s
prvostupanjski	prvostupanjski	Agpmsny
sud	sud	Ncmsn
donio	donijeti	Vmp-sm
dopunsku	dopunski	Agpfsay
presudu	presuda	Ncfsa
bez	bez	Sg
preotvaranja	preotvaranj	Ncmsg
glavne	glavni	Agpfsgy
rasprave	rasprava	Ncfsg
.	.	Z

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
napominje	napominjati	Vmr3s
da	da	Cs
je	biti	Var3s
u	u	Sl
pogledu	pogled	Ncmsl
navedenog	naveden	Agpmsgy
prigovora	prigovor	Ncmsg
drugostupanjski	drugostupanjski	Agpmsny
sud	sud	Ncmsn
jasno	jasno	Rgp
obrazložio	obrazložiti	Vmp-sm
da	da	Cs
su	biti	Var3p
za	za	Sa
donošenje	donošenje	Ncnsa
dopunske	dopunski	Agpfsgy
presude	presuda	Ncfsg
bile	biti	Vap-pf
ispunjene	ispunjen	Agpfpny
pretpostavke	pretpostavka	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
340.	340.	Mdo
stavaka	stavak	Ncmpg
2.	2.	Mdo
i	i	Cc
4.	4.	Mdo
ZPP-a	zpp-	Ncmsg
,	,	Z
s	sa	Si
obzirom	obzir	Ncmsi
da	da	Cs
je	biti	Var3s
zahtjev	zahtjev	Ncmsan
u	u	Sl
vezi	veza	Ncfsl
kojeg	koji	Pi-msg
je	biti	Var3s
donesena	donijeti	Appfsny
dopunska	dopunski	Agpfsny
presuda	presuda	Ncfsn
dovoljno	dovoljno	Rgp
raspravljen	raspraviti	Appmsnn
,	,	Z
da	da	Cs
je	biti	Var3s
presudu	presuda	Ncfsa
donijela	donijeti	Vmp-sf
ista	isti	Agpfsny
sutkinja	sutkinja	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
donijela	donijeti	Vmp-sf
i	i	Qo
prethodnu	prethodan	Agpfsay
presudu	presuda	Ncfsa
(	(	Z
od	od	Sg
30.	30.	Mdo
travnja	travanj	Ncmsg
2014.	2014.	Mdo
)	)	Z
te	te	Cc
da	da	Cs
iz	iz	Sg
tog	taj	Pd-msg
razloga	razlog	Ncmsg
nije	biti	Var3s
trebalo	trebati	Vmp-sn
ponovno	ponovno	Rgp
otvarati	otvarati	Vmn
glavnu	glavni	Agpfsay
raspravu	rasprava	Ncfsa
.	.	Z

Stoga	stoga	Rgp
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
navedeni	naveden	Agpmsayn
prigovor	prigovor	Ncmsan
ocjenjuje	ocjenjivati	Vmr3s
neosnovanim	neosnovan	Agpmsiy
.	.	Z

6.5.	6.5.	Mdo

Nadalje	nadalje	Rgp
,	,	Z
podnositelji	podnositelj	Ncmpn
u	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
navode	navoditi	Vmr3p
da	da	Cs
je	biti	Var3s
prvopodnositelj	prvopodnositelj	Ncmsn
u	u	Sl
žalbi	žalba	Ncfsl
na	na	Sa
dopunsku	dopunski	Agpfsay
presudu	presuda	Ncfsa
dostavio	dostaviti	Vmp-sm
»	»	Z
rješenje	rješenje	Ncnsa
o	o	Sl
provođenju	provođenje	Ncnsl
istrage	istraga	Ncfsg
ODO	ODO	Npmsn
Zadar	Zadar	Npmsn
«	«	Z
,	,	Z
koje	koji	Pi-nsn
predstavlja	predstavljati	Vmr3s
novu	nov	Agpfsay
činjenicu	činjenica	Ncfsa
,	,	Z
koja	koji	Pi-fsn
nije	biti	Var3s
uvažena	uvažiti	Appfsny
od	od	Sg
strane	strana	Ncfsg
drugostupanjskog	drugostupanjski	Agpmsgy
suda	sud	Ncmsg
.	.	Z

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
uvidom	uvid	Ncmsi
u	u	Sa
spis	spis	Ncmsan
predmeta	predmet	Ncmsg
utvrdio	utvrditi	Vmp-sm
da	da	Cs
se	sebe	Px--sa
