sl.	sl.	Y

c	C	Npmsn
)	)	Z
opis	opis	Ncmsan
ulaznih	ulazan	Agpmpgy
podataka	podatak	Ncmpg
te	te	Cc
njihove	njihov	Ps3mpa
izvore	izvor	Ncmpa
koji	koji	Pi-mpn
će	htjeti	Var3p
se	sebe	Px--sa
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
prilikom	prilikom	Sg
primjene	primjena	Ncfsg
pojedine	pojedini	Agpfpny
metode	metoda	Ncfpn
procjene	procjena	Ncfsg
fer	fer	Agpfsgy
vrijednosti	vrijednost	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Prestankom	prestanak	Ncmsi
ispunjenja	ispunjenje	Ncnsg
uvjeta	uvjet	Ncmsg
aktivnog	aktivan	Agpnsgy
tržišta	tržište	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
u	u	Sl
pisanom	pisan	Agpmsly
obliku	oblik	Ncmsl
sastaviti	sastaviti	Vmn
procjenu	procjena	Ncfsa
fer	fer	Agpfsgy
vrijednosti	vrijednost	Ncfsg
prenosivih	prenosiv	Agpmpgy
vrijednosnih	vrijednosan	Agpmpgy
papira	papir	Ncmpg
,	,	Z
instrumenata	instrument	Ncmpg
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
ili	ili	Cc
financijskih	financijski	Agpfpgy
izvedenica	izvedenica	Ncfpg
,	,	Z
koja	koji	Pi-fsn
sadrži	sadržati	Vmr3s
ulazne	ulazan	Agpmpay
podatke	podatak	Ncmpa
korištene	koristiti	Appfpny
u	u	Sl
izračunu	izračun	Ncmsl
kao	kao	Cs
i	i	Qo
njihove	njihov	Ps3mpa
izvore	izvor	Ncmpa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
u	u	Sl
