mjesečnu	mjesečan	Agpfsay
naknadu	naknada	Ncfsa
uvećanu	uvećati	Appfsay
za	za	Sa
20	20	Mdc
%	%	Z
(	(	Z
koja	koji	Pi-fsn
iznosi	iznositi	Vmr3s
120	120	Mdc
%	%	Z
)	)	Z
po	po	Sl
danu	dan	Ncmsl
kašnjenja	kašnjenje	Ncnsg
.	.	Z

Točkom	točka	Ncfsi
IV	IV	Mrc
.	.	Z
rješenja	rješenje	Ncnsg
naloženo	naložiti	Appnsny
je	biti	Var3s
tužitelju	tužitelj	Ncmsl
da	da	Cs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
8	8	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
ovog	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
izvrši	izvršiti	Vmr3s
obračun	obračun	Ncmsan
naknada	naknada	Ncfsn
sukladno	sukladno	Rgp
točkama	točka	Ncfpi
I.	I.	Mro
,	,	Z
II	ii	Mrc
.	.	Z
i	i	Cc
III	III	Mrc
.	.	Z
ovog	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
i	i	Cc
obračuna	obračun	Ncmsg
iznos	iznos	Ncmsan
,	,	Z
umanjen	umanjiti	Appmsnn
za	za	Sa
iznos	iznos	Ncmsan
iz	iz	Sg
točke	točka	Ncfsg
I.	I.	Mro
djelomičnog	djelomičan	Agpnsgy
i	i	Cc
privremenog	privremen	Agpnsgy
rješenja	rješenje	Ncnsg
donesenog	donesen	Agpnsgy
u	u	Sl
ovom	ovaj	Pd-msl
predmetu	predmet	Ncmsl
28.	28.	Mdo
veljače	veljača	Ncfsg
2013.	2013.	Mdo
,	,	Z
te	te	Cc
isplatiti	isplatiti	Vmn
H1	hi	Agpmsdy
Telekomu	telekom	Ncmsd
d.	d.	Y
d.	d.	Y
u	u	Sl
navedenom	naveden	Agpmsly
roku	rok	Ncmsl
.	.	Z

Točkom	točka	Ncfsi
V.	V.	Mro
izreke	izreka	Ncfsg
rješenja	rješenje	Ncnsg
ukinuto	ukinuti	Appnsny
je	biti	Var3s
privremeno	privremen	Agpnsny
rješenje	rješenje	Ncnsn
doneseno	donijeti	Appnsny
u	u	Sl
ovom	ovaj	Pd-msl
predmetu	predmet	Ncmsl
23.	23.	Mdo
siječnja	siječanj	Ncmsg
2013.	2013.	Mdo
i	i	Cc
točka	točka	Ncfsn
III	III	Mrc
.	.	Z
djelomičnog	djelomičan	Agpmsgy
i	i	Cc
privremenog	privremen	Agpnsgy
rješenja	rješenje	Ncnsg
od	od	Sg
28.	28.	Mdo
veljače	veljača	Ncfsg
2013.	2013.	Mdo

Tužitelj	tužitelj	Ncmsn
u	u	Sl
tužbi	tužba	Ncfsl
protiv	protiv	Sg
osporenog	osporiti	Agpnsgy
rješenja	rješenje	Ncnsg
u	u	Sl
bitnom	bitan	Agpmsly
navodi	navoditi	Vmr3s
da	da	Cs
prvenstveno	prvenstveno	Rgp
osporava	osporavati	Vmr3s
nadležnost	nadležnost	Ncfsn
tuženika	tuženik	Ncmpg
za	za	Sa
odlučivanje	odlučivanje	Ncnsa
u	u	Sl
predmetnoj	predmetni	Agpfsly
stvari	stvar	Ncfsl
upućujući	upućivati	Rr
na	na	Sa
odredbu	odredba	Ncfsa
članka	članak	Ncmsg
20.	20.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
elektroničkim	elektronički	Agpfply
komunikacijama	komunikacija	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
73/08.	73/08.	Mdo
,	,	Z
90/11.	90/11.	Mds
i	i	Cc
133/12.	133/12.	Mdo
–	–	Z
dalje	daleko	Rgc
u	u	Sl
tekstu	tekst	Ncmsl
:	:	Z
ZEK	ZEK	Npmsn
)	)	Z
s	sa	Si
obzirom	obzir	Ncmsi
da	da	Cs
sporne	sporan	Agpfpny
obveze	obveza	Ncfpn
nisu	biti	Var3p
neposredno	neposredno	Rgp
i	i	Cc
bitno	bitan	Agpnsny
vezane	vezan	Agpfpay
uz	uz	Sa
izvršavanje	izvršavanje	Ncnsa
ZEK-a	ZEK	Npmsg
.	.	Z

Predmet	predmet	Ncmsn
ovog	ovaj	Pd-msg
spora	spor	Ncmsg
je	biti	Var3s
isplata	isplata	Ncfsn
naknade	naknada	Ncfsg
(	(	Z
ugovorne	ugovoran	Agpfpny
kazne	kazna	Ncfpn
)	)	Z
za	za	Sa
zakašnjenja	zakašnjenje	Ncnpa
u	u	Sl
ispunjenju	ispunjenje	Ncnsl
određenih	određen	Agpfpgy
ugovornih	ugovoran	Agpfpgy
obveza	obveza	Ncfpg
,	,	Z
a	a	Cc
to	taj	Pd-nsn
nije	biti	Var3s
obveza	obveza	Ncfsn
iz	iz	Sg
ZEK-a	ZEK	Npmsg
,	,	Z
već	već	Rgp
obveza	obveza	Ncfpg
iz	iz	Sg
ugovora	ugovor	Ncmsg
i	i	Cc
Zakona	Zakon	Npmsg
o	o	Sl
obveznim	obvezan	Agpmply
odnosima	odnos	Ncmpl
.	.	Z

Okolnost	okolnost	Ncfsn
da	da	Cs
je	biti	Var3s
spomenuta	spomenuti	Appfsny
ugovorna	ugovoran	Agpfsny
kazna	kazna	Ncfsn
određena	odrediti	Appfsny
tužiteljevim	tužiteljev	Agpfpiy
standardnim	standardan	Agpfpiy
ponudama	ponuda	Ncfpi
ne	ne	Qz
znači	značiti	Vmr3s
da	da	Cs
je	biti	Var3s
ovaj	ovaj	Pd-msan
spor	spor	Ncmsan
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
obvezama	obveza	Ncfpi
iz	iz	Sg
ZEK-a	ZEK	Npmsg
.	.	Z

Obveza	obveza	Ncfsn
objavljivanja	objavljivanje	Ncnsg
standardne	standardan	Agpfsgy
ponude	ponuda	Ncfsg
doduše	doduše	Rgp
je	biti	Var3s
obveza	obveza	Ncfsn
iz	iz	Sg
ZEK-a	ZEK	Npmsg
,	,	Z
ali	ali	Cc
ZEK	ZEK	Npmsn
ne	ne	Qz
sadrži	sadržati	Vmr3s
obvezu	obveza	Ncfsa
da	da	Cs
se	sebe	Px--sa
standardnom	standardan	Agpfsiy
ponudom	ponuda	Ncfsi
odrede	odrediti	Vmr3p
ugovorne	ugovoran	Agpfpny
kazne	kazna	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
predmet	predmet	Ncmsn
ovoga	ovaj	Pd-msg
spora	spor	Ncmsg
.	.	Z

Smatra	smatrati	Vmr3s
da	da	Cs
tuženik	tuženik	Ncmsn
nije	biti	Var3s
jasno	jasno	Rgp
obrazložilo	obrazložiti	Vmp-sn
u	u	Sl
kakvoj	kakav	Pi-fsl
