sektorima	sektor	Ncmpd
Državne	državni	Agpfsgy
uprave	uprava	Ncfsg
u	u	Sl
sjedištu	sjedište	Ncnsl
izvješće	izvješće	Ncnsn
o	o	Sl
provedenim	provesti	Agpfply
vježbama	vježba	Ncfpl
na	na	Sl
području	područje	Ncnsl
županija	županija	Ncfpg
za	za	Sa
prošlu	prošli	Agpfsay
godinu	godina	Ncfsa
do	do	Sg
kraja	kraj	Ncmsg
mjeseca	mjesec	Ncmsg
prosinca	prosinac	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Godišnje	godišnji	Agpnsny
izvješće	izvješće	Ncnsn
o	o	Sl
provedenim	provesti	Agpfply
vježbama	vježba	Ncfpl
izrađuje	izrađivati	Vmr3s
Državna	državni	Agpfsny
uprava	uprava	Ncfsn
do	do	Sg
kraja	kraj	Ncmsg
siječnja	siječanj	Ncmsg
tekuće	tekući	Agpnsny
za	za	Sa
proteklu	protekao	Agpfsay
godinu	godina	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nositelj	nositelj	Ncmsn
vježbe	vježba	Ncfsg
u	u	Sl
roku	rok	Ncmsl
do	do	Sg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
od	od	Sg
provedbe	provedba	Ncfsg
vježbe	vježba	Ncfsg
podnosi	podnositi	Vmr3s
pisano	pisan	Agpnsny
izvješće	izvješće	Ncnsn
Državnoj	državni	Agpfsly
upravi	uprava	Ncfsl
o	o	Sl
uklanjanju	uklanjanje	Ncnsl
uočenih	uočiti	Agpmpgy
nedostataka	nedostatak	Ncmpg
,	,	Z
provedbi	provedba	Ncfpg
naučenih	naučiti	Agpfpgy
lekcija	lekcija	Ncfpg
i	i	Cc
njihovoj	njihov	Ps3fsl
implementaciji	implementacija	Ncfsl
.	.	Z

VIII	viii	Mrc
.	.	Z

ZAVRŠNA	završan	Agpfsny
ODREDBA	odredba	Ncfsn

Članak	članak	Ncmsn
14.	14.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
012	012	Mdc
-	-	Z
02/15	02/15	Mdc
-	-	Z
04/09	04/09	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
543	543	Mdc
-	-	Z
01	01	Mdc
-	-	Z
08	08	Mdc
-	-	Z
01	01	Mdc
-	-	Z
16	16	Mdc
-	-	Z
2	2	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
13.	13.	Mdo
svibnja	svibanj	Ncmsg
2016.	2016.	Mdo

Ravnatelj	ravnatelj	Ncmsn
dr.	dr.	Y
sc.	sc.	Y
Jadran	Jadran	Npmsn
Perinić	Perinić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

PRILOG	prilog	Ncmsn
1	1	Mdc
–	–	Z
PRILOG	prilog	Ncmsn
8.	8.	Mdo

