imati	imati	Vmn
najmanje	malo	Rgs
pet	pet	Mlc
godina	godina	Ncfpg
radnog	radni	Agpnsgy
iskustva	iskustvo	Ncnsg
u	u	Sl
području	područje	Ncnsl
gospodarenja	gospodarenje	Ncnsg
otpadom	otpad	Ncmsi
,	,	Z

3.	3.	Mdo
biti	biti	Van
autor	autor	Ncmsn
najmanje	malo	Rgs
tri	tri	Mlc
objavljena	objaviti	Appfsny
stručna	stručan	Agpmsgn
članka	članak	Ncmsg
iz	iz	Sg
područja	područje	Ncnsg
obuhvaćenog	obuhvatiti	Appnsgy
ovim	ovaj	Pd-msi
Programom	program	Ncmsi
izobrazbe	izobrazba	Ncfsg
,	,	Z

4.	4.	Mdo
da	da	Cs
je	biti	Var3s
kao	kao	Cs
predavač	predavač	Ncmsn
iz	iz	Sg
područja	područje	Ncnsg
gospodarenja	gospodarenje	Ncnsg
otpadom	otpad	Ncmsi
i	i	Cc
/	/	Z
ili	ili	Cc
područja	područje	Ncnsg
obuhvaćenih	obuhvatiti	Appnpgy
ovim	ovaj	Pd-msi
Programom	program	Ncmsi
izobrazbe	izobrazba	Ncfsg
sudjelovao	sudjelovati	Vmp-sm
na	na	Sa
najmanje	malo	Rgs
dva	dva	Mlc
znanstvena	znanstven	Agpmsgn
i	i	Cc
/	/	Z
ili	ili	Cc
stručna	stručan	Agpfsny
skupa	skupa	Rgp
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Voditelj	voditelj	Ncmsn
nastavnog	nastavni	Agpmsgy
programa	program	Ncmsg
može	moći	Vmr3s
biti	biti	Van
i	i	Qo
izvoditelj	izvoditelj	Ncmsn
ako	ako	Cs
udovoljava	udovoljavati	Vmr3s
uvjetima	uvjet	Ncmpi
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Voditelj	voditelj	Ncmsn
nastavnog	nastavni	Agpmsgy
programa	program	Ncmsg
može	moći	Vmr3s
biti	biti	Van
voditelj	voditelj	Ncmsn
kod	kod	Sg
najviše	mnogo	Rgs
dva	dva	Mlc
ovlaštenika	ovlaštenik	Ncmsg
izobrazbe	izobrazba	Ncfsg
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
vodi	voditi	Vmr3s
Registar	registar	Ncmsn
ovlaštenika	ovlaštenik	Ncmsg
izobrazbe	izobrazba	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Registar	registar	Ncmsn
ovlaštenika	ovlaštenik	Ncmpg
izobrazbe	izobrazba	Ncfsg
sadrži	sadržati	Vmr3s
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

1.	1.	Mdo
naziv	naziv	Ncmsn
i	i	Cc
evidencijski	evidencijski	Agpmsny
broj	broj	Ncmsn
ovlaštenika	ovlaštenik	Ncmpg
izobrazbe	izobrazba	Ncfsg
,	,	Z

2.	2.	Mdo
OIB	oi	Ncmsg
/	/	Z
MB	m	Agpmpgy
ovlaštenika	ovlaštenik	Ncmpg
izobrazbe	izobrazba	Ncfsg
,	,	Z

3.	3.	Mdo
klasifikacijsku	klasifikacijski	Agpfsay
oznaku	oznaka	Ncfsa
,	,	Z
urudžbeni	urudžbeni	Agpmsny
broj	broj	Ncmsn
i	i	Cc
datum	datum	Ncmsan
izdavanja	izdavanje	Ncnsg
ovlaštenja	ovlaštenje	Ncnsg
,	,	Z

4.	4.	Mdo
adresu	adresa	Ncfsa
,	,	Z
telefon	telefon	Ncmsn
i	i	Cc
adresu	adresa	Ncfsa
elektroničke	elektronički	Agpfsgy
pošte	pošta	Ncfsg
ovlaštenika	ovlaštenik	Ncmsg
izobrazbe	izobrazba	Ncfsg
,	,	Z

5.	5.	Mdo
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
ovlaštenika	ovlaštenik	Ncmsg
izobrazbe	izobrazba	Ncfsg
,	,	Z

6.	6.	Mdo
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
voditelja	voditelj	Ncmsg
nastavnog	nastavni	Agpmsgy
programa	program	Ncmsg
,	,	Z

7.	7.	Mdo
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
izvoditelja	izvoditelj	Ncmsg
nastavnog	nastavni	Agpmsgy
programa	program	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
na	na	Sl
svojim	svoj	Px-fpl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
objavljuje	objavljivati	Vmr3s
Registar	registar	Ncmsan
ovlaštenika	ovlaštenik	Ncmpg
izobrazbe	izobrazba	Ncfsg
.	.	Z

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Usavršavanje	usavršavanje	Ncnsn
je	biti	Var3s
dopunjavanje	dopunjavanje	Ncnsn
i	i	Cc
usavršavanje	usavršavanje	Ncnsn
znanja	znanje	Ncnsg
iz	iz	Sg
područja	područje	Ncnsg
gospodarenja	gospodarenje	Ncnsg
otpadom	otpad	Ncmsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Usavršavanjem	usavršavanje	Ncnsi
se	sebe	Px--sa
smatra	smatrati	Vmr3s
pohađanje	pohađanje	Ncnsa
programa	program	Ncmsg
usavršavanja	usavršavanje	Ncnsg
u	u	Sl
području	područje	Ncnsl
gospodarenja	gospodarenje	Ncnsg
otpadom	otpad	Ncmsi
u	u	Sl
ukupnom	ukupan	Agpnsly
trajanju	trajanje	Ncnsl
od	od	Sg
30	30	Mdc
sati	sat	Ncmpg
za	za	Sa
odgovornu	odgovoran	Agpfsay
osobu	osoba	Ncfsa
i	i	Cc
20	20	Mdc
sati	sat	Ncmpg
za	za	Sa
povjerenika	povjerenik	Ncmpg
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
pet	pet	Mlc
godina	godina	Ncfpg
od	od	Sg
datuma	datum	Ncmsg
početka	početak	Ncmsg
valjanosti	valjanost	Ncfsg
potvrde	potvrda	Ncfsg
.	.	Z

(	(	Z
