za	za	Sa
vrijeme	vrijeme	Ncnsa
rada	rad	Ncmsg
u	u	Sl
inozemstvu	inozemstvo	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
moguće	moguć	Agpnsny
je	biti	Var3s
upućivanje	upućivanje	Ncnsn
na	na	Sa
drugi	drugi	Mlomsan
akt	akt	Ncmsan
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
ovo	ovaj	Pd-nsn
pitanje	pitanje	Ncnsn

10.	10.	Mdo
trajanje	trajanje	Ncnsa
rada	rad	Ncmsg
u	u	Sl
inozemstvu	inozemstvo	Ncnsl

11.	11.	Mdo
uvjeti	uvjet	Ncmpn
vraćanja	vraćanje	Ncnsg
u	u	Sa
zemlju	zemlja	Ncfsa

12.	12.	Mdo
trajanje	trajanje	Ncnsa
otkaznog	otkazni	Agpmsgy
roka	rok	Ncmsg

13.	13.	Mdo
relevantni	relevantan	Agpmpny
kolektivni	kolektivan	Agpmpny
ugovori	ugovor	Ncmpn

14.	14.	Mdo
način	način	Ncmsn
obavješćivanja	obavješćivanje	Ncnsg
ugovornih	ugovoran	Agpfpgy
strana	strana	Ncfpg
o	o	Sl
uvjetima	uvjet	Ncmpl
rada	rad	Ncmsg
u	u	Sl
inozemstvu	inozemstvo	Ncnsl
.	.	Z

3.	3.	Mdo
Radno	radni	Agpnsny
vrijeme	vrijeme	Ncnsn

Članak	članak	Ncmsn
4.	4.	Mdo

Puno	pun	Agpnsny
radno	radni	Agpnsny
vrijeme	vrijeme	Ncnsn
iznosi	iznositi	Vmr3s
40	40	Mdc
sati	sat	Ncmpg
tjedno	tjedno	Rgp
.	.	Z

Radno	radni	Agpnsny
vrijeme	vrijeme	Ncnsn
radnika	radnik	Ncmpg
može	moći	Vmr3s
se	sebe	Px--sa
rasporediti	rasporediti	Vmn
u	u	Sl
jednakom	jednak	Agpmsly
,	,	Z
odnosno	odnosno	Rgp
nejednakom	nejednak	Agpnsly
trajanju	trajanje	Ncnsl
po	po	Sl
danima	dan	Ncmpl
,	,	Agpmply
tjednima	tjedan	Ncmpl
,	,	Z
odnosno	odnosno	Rgp
mjesecima	mjesec	Ncmpd
.	.	Z

Početak	početak	Ncmsn
i	i	Cc
završetak	završetak	Ncmsn
jednakog	jednak	Agpmsgy
rasporeda	raspored	Ncmsg
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
vrijeme	vrijeme	Ncnsa
odmora	odmor	Ncmpg
tijekom	tijekom	Sg
rada	rad	Ncmsg
(	(	Z
stanke	stanka	Ncfsg
)	)	Z
te	te	Cc
dnevni	dnevni	Agpmpny
,	,	Z
tjedni	tjedan	Ncmpn
odnosno	odnosno	Rgp
mjesečni	mjesečan	Agpmpny
jednak	jednak	Agpmsann
raspored	raspored	Ncmsan
radnog	radni	Agpnsgy
