dužno	dužno	Rgp
koristiti	koristiti	Vmn
tehničke	tehnički	Agpfpay
informacije	informacija	Ncfpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
propisima	propis	Ncmpi
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
temeljni	temeljan	Agpmsayn
raspon	raspon	Ncmsan
za	za	Sa
svako	svaki	Agpnsay
relevantno	relevantan	Agpnsay
trajanje	trajanje	Ncnsa
,	,	Z
kreditnu	kreditan	Agpfsay
kvalitetu	kvaliteta	Ncfsa
i	i	Cc
vrstu	vrsta	Ncfsa
imovine	imovina	Ncfsg
.	.	Z

Prilagodba	prilagodba	Ncfsn
za	za	Sa
volatilnost	volatilnost	Ncfsa
na	na	Sa
relevantnu	relevantan	Agpfsay
vremensku	vremenski	Agpfsay
strukturu	struktura	Ncfsa
bezrizičnih	bezrizičan	Agpfpgy
kamatnih	kamatan	Agpfpgy
stopa	stopa	Ncfpg

Članak	članak	Ncmsn
113.	113.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
može	moći	Vmr3s
koristiti	koristiti	Vmn
prilagodbu	prilagodba	Ncfsa
za	za	Sa
volatilnost	volatilnost	Ncfsa
na	na	Sa
relevantnu	relevantan	Agpfsay
vremensku	vremenski	Agpfsay
strukturu	struktura	Ncfsa
bezrizičnih	bezrizičan	Agpfpgy
kamatnih	kamatan	Agpfpgy
stopa	stopa	Ncfpg
u	u	Sl
izračunu	izračun	Ncmsl
najbolje	dobar	Agsfsgy
procjene	procjena	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
108.	108.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
uz	uz	Sa
prethodno	prethodan	Agpnsay
odobrenje	odobrenje	Ncnsa
Agencije	agencija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prilagodba	prilagodba	Ncfsn
za	za	Sa
volatilnost	volatilnost	Ncfsa
na	na	Sa
relevantnu	relevantan	Agpfsay
vremensku	vremenski	Agpfsay
strukturu	struktura	Ncfsa
bezrizičnih	bezrizičan	Agpfpgy
kamatnih	kamatan	Agpfpgy
stopa	stopa	Ncfpg
za	za	Sa
svaku	svaki	Pi-fsa
valutu	valuta	Ncfsa
temelji	temeljiti	Vmr3s
se	sebe	Px--sa
na	na	Sl
rasponu	raspon	Ncmsl
između	između	Sg
kamatne	kamatan	Agpfsgy
stope	stopa	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
dobije	dobiti	Vmr3s
kao	kao	Cs
prinos	prinos	Ncmsn
od	od	Sg
imovine	imovina	Ncfsg
uključene	uključen	Agpfsgy
u	u	Sa
referentni	referentan	Agpmsayn
portfelj	portfelj	Ncmsan
za	za	Sa
tu	taj	Pd-fsa
valutu	valuta	Ncfsa
i	i	Cc
stopa	stopa	Ncfsn
relevantne	relevantan	Agpfsgy
vremenske	vremenski	Agpfsgy
strukture	struktura	Ncfsg
bezrizičnih	bezrizičan	Agpfpgy
kamatnih	kamatan	Agpfpgy
stopa	stopa	Ncfpg
za	za	Sa
tu	taj	Pd-fsa
valutu	valuta	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Uredbom	uredba	Ncfsi
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
2015/35.	2015/35.	Mds

(	(	Z
3	3	Mdc
)	)	Z
Referentni	referentan	Agpmsny
portfelj	portfelj	Ncmsn
za	za	Sa
valutu	valuta	Ncfsa
predstavlja	predstavljati	Vmr3s
imovinu	imovina	Ncfsa
izraženu	izraziti	Appfsay
u	u	Sl
toj	taj	Pd-fsl
valuti	valuta	Ncfsl
koju	koji	Pi-fsa
posjeduju	posjedovati	Vmr3p
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
za	za	Sa
pokriće	pokriće	Ncnsa
najbolje	dobar	Agpfsgy
procjene	procjena	Ncfsg
obveza	obveza	Ncfpg
iz	iz	Sg
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
ugovora	ugovor	Ncmsg
o	o	Sl
reosiguranju	reosiguranje	Ncnsl
izraženih	izraziti	Appmpgy
u	u	Sl
toj	taj	Pd-fsl
valuti	valuta	Ncfsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Iznos	iznos	Ncmsn
prilagodbe	prilagodba	Ncfsg
za	za	Sa
volatilnost	volatilnost	Ncfsa
na	na	Sa
bezrizične	bezrizične	Ncnsa
kamatne	kamatan	Agpfsgy
stope	stopa	Ncfsg
odgovara	odgovarati	Vmr3s
iznosu	iznos	Ncfsa
od	od	Sg
65	65	Mdc
%	%	Z
valutnog	valutni	Agpmsgy
raspona	raspon	Ncmsg
prilagođenog	prilagoditi	Appmsgy
za	za	Sa
rizik	rizik	Ncmsan
.	.	Z

Valutni	valutni	Agpmsny
raspon	raspon	Ncmsn
prilagođen	prilagoditi	Appmsnn
za	za	Sa
rizik	rizik	Ncmsan
izračunava	izračunavati	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
razlika	razlika	Ncfsn
između	između	Sg
raspona	raspon	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
dijela	dio	Ncmsg
tog	taj	Pd-msg
raspona	raspon	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
realno	realno	Rgp
procijenjeni	procijeniti	Appmpny
očekivani	očekivati	Agpmsayn
gubitak	gubitak	Ncmsan
ili	ili	Cc
neočekivani	neočekivan	Agpmsayn
kreditni	kreditan	Agpmsayn
ili	ili	Cc
