utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
:	:	Z

a	a	Cc
)	)	Z
najviši	visok	Agsmsny
iznos	iznos	Ncmsn
odobrene	odobren	Agpfsgy
potpore	potpora	Ncfsg
;	;	Z

b	b	Npmsn
)	)	Z
obveze	obveza	Ncfpa
korisnika	korisnik	Ncmpg
temeljem	temelj	Ncmsi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
Natječaja	natječaj	Ncmsg
.	.	Z

Promjene	promjena	Ncfpn
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Promjene	promjena	Ncfpn
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
podrazumijevaju	podrazumijevati	Vmr3p
promjenu	promjena	Ncfsa
podataka	podatak	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
podneseni	podnesen	Agpmsayn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
a	a	Cc
uključuju	uključivati	Vmr3p
:	:	Z

a	a	Cc
)	)	Z
promjenu	promjena	Ncfsa
podataka	podatak	Ncmpg
o	o	Sl
korisniku	korisnik	Ncmsl
(	(	Z
npr.	npr.	Y
promjene	promjena	Ncfpa
njegova	njegov	Ps3msg
naziva	naziv	Ncmsg
,	,	Z
osobe	osoba	Ncfpn
ovlaštene	ovlastiti	Appfpny
za	za	Sa
zastupanje	zastupanje	Ncnsa
,	,	Z
adrese	adresa	Ncfpa
sjedišta	sjedište	Ncnsg
,	,	Z
imena	ime	Ncnsg
banke	banka	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
broja	broj	Ncmsg
žiro-računa	žiro-račun	Ncmsg
banke	banka	Ncfsg
/	/	Z
IBAN	IBAN	Npmsn
,	,	Z
model	model	Ncmsn
i	i	Cc
/	/	Z
ili	ili	Cc
poziv	poziv	Ncmsan
na	na	Sa
broj	broj	Ncmsan
primatelja	primatelj	Ncmpg
na	na	Sa
koji	koji	Pi-msan
će	htjeti	Var3s
mu	on	Pp3msd
biti	biti	Van
isplaćena	isplatiti	Appfsny
sredstva	sredstvo	Ncnsg
)	)	Z
;	;	Z

b	b	Npmsn
)	)	Z
promjenu	promjena	Ncfsa
podataka	podatak	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
temelj	temelj	Ncmsan
za	za	Sa
provjeru	provjera	Ncfsa
udovoljavanja	udovoljavanje	Ncnsg
uvjetima	uvjet	Ncmpd
i	i	Cc
kriterijima	kriterij	Ncmpi
prihvatljivosti	prihvatljivost	Ncfsg
sukladno	sukladno	Rgp
ovom	ovaj	Pd-msl
Pravilniku	pravilnik	Ncmsl
;	;	Z

c	C	Npmsn
)	)	Z
ostale	ostali	Agpfpay
promjene	promjena	Ncfpa
u	u	Sl
operaciji	operacija	Ncfsl
bez	bez	Sg
kojih	koji	Pi-mpg
se	sebe	Px--sa
operacija	operacija	Ncfsn
ne	ne	Qz
može	moći	Vmr3s
provesti	provesti	Vmn
ili	ili	Cc
koje	koji	Pi-fpn
imaju	imati	Vmr3p
utjecaj	utjecaj	Ncmsan
na	na	Sa
poboljšanje	poboljšanje	Ncnsa
operacije	operacija	Ncfsg
,	,	Z
koje	koji	Pi-fpn
su	biti	Var3p
nastale	nastati	Vmp-pf
do	do	Sg
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
promjena	promjena	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
od	od	Sg
dana	dan	Ncmpg
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
do	do	Sg
isteka	istek	Ncmsg
razdoblja	razdoblje	Ncnsg
od	od	Sg
pet	pet	Mlc
godina	godina	Ncfpg
od	od	Sg
zadnje	zadnji	Agpfsgy
primljene	primljen	Agpfsgy
uplate	uplata	Ncfsg
financijskih	financijski	Agpnpgy
sredstava	sredstvo	Ncnpg
temeljem	temelj	Ncmsi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
Upravljačkom	upravljački	Agpnsly
tijelu	tijelo	Ncnsl
podnijeti	podnijeti	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
odobrenje	odobrenje	Ncnsa
promjene	promjena	Ncfsg
neposredno	neposredan	Agpnsny
nakon	nakon	Sg
njihovog	njihov	Ps3msg
nastanka	nastanak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
promjena	promjena	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
b	b	X
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
Odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
iz	iz	Sg
članka	članak	Ncmsg
14.	14.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
a	a	Cc
)	)	Z
odnosno	odnosno	Rgp
članka	članak	Ncmsg
15.	15.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
točke	točka	Ncfsg
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
do	do	Sg
isteka	istek	Ncmsg
razdoblja	razdoblje	Ncnsg
od	od	Sg
pet	pet	Mlc
godina	godina	Ncfpg
od	od	Sg
zadnje	zadnji	Agpfsgy
primljene	primljen	Agpfsgy
uplate	uplata	Ncfsg
financijskih	financijski	Agpnpgy
sredstava	sredstvo	Ncnpg
temeljem	temelj	Ncmsi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
Upravljačkom	upravljački	Agpnsly
tijelu	tijelo	Ncnsl
podnijeti	podnijeti	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
odobrenje	odobrenje	Ncnsa
promjena	promjena	Ncfpg
,	,	Z
neposredno	neposredno	Rgp
nakon	nakon	Sg
njihovog	njihov	Ps3msg
nastanka	nastanak	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
promjena	promjena	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
