viši	visok	Agcmsayn
čin	čin	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zapovjednik	zapovjednik	Ncmsn
broda	brod	Ncmsg
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
kao	kao	Cs
i	i	Qo
zapovjednik	zapovjednik	Ncmsn
plovnog	plovan	Agpmsgy
sastava	sastav	Ncmsg
brodova	brod	Ncmpg
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
,	,	Z
kada	kada	Cs
se	sebe	Px--sa
brod	brod	Ncmsn
ili	ili	Cc
plovni	plovan	Agpmsny
sastav	sastav	Ncmsn
brodova	brod	Ncmpg
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
nalazi	nalaziti	Vmr3s
izvan	izvan	Sg
teritorijalnog	teritorijalan	Agpnsgy
mora	more	Ncnsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
ima	imati	Vmr3s
pravo	pravo	Ncnsa
pokretanja	pokretanje	Ncnsg
i	i	Cc
vođenja	vođenje	Ncnsg
stegovnog	stegovni	Agpmsgy
postupka	postupak	Ncmsg
te	te	Cc
izricanja	izricanje	Ncnsg
stegovnih	stegovni	Agpfpgy
mjera	mjera	Ncfpg
kao	kao	Cs
i	i	Qo
njegov	njegov	Ps3msn
neposredno	neposredno	Rgp
nadređeni	nadrediti	Agpmsny
časnik	časnik	Ncmsn
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pokretanje	pokretanje	Ncnsn
stegovnog	stegovni	Agpmsgy
postupka	postupak	Ncmsg
za	za	Sa
kršenje	kršenje	Ncnsa
vojne	vojni	Agpfsgy
stege	stega	Ncfsg
počinjeno	počiniti	Appnsny
u	u	Sl
prijašnjoj	prijašnji	Agpfsly
ustrojstvenoj	ustrojstven	Agpfsly
jedinici	jedinica	Ncfsl
u	u	Sl
ovlasti	ovlast	Ncfsl
je	biti	Var3s
čelnika	čelnik	Ncmpg
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
stranka	stranka	Ncfsn
raspoređena	rasporediti	Appfsny
na	na	Sa
službu	služba	Ncfsa
u	u	Sa
vrijeme	vrijeme	Ncnsa
utvrđivanja	utvrđivanje	Ncnsg
njezine	njezin	Ncfsg
stegovne	stegovni	Agpfsgy
odgovornosti	odgovornost	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Stegovni	stegovni	Agpmsny
postupak	postupak	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
biti	biti	Van
pokrenut	pokrenuti	Appmsnn
i	i	Cc
na	na	Sl
temelju	temelj	Ncmsl
obavijesti	obavijest	Ncfsg
čelnika	čelnik	Ncmsg
prijašnje	prijašnji	Agpfsgy
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
u	u	Sl
tom	taj	Pd-msl
slučaju	slučaj	Ncmsl
uz	uz	Sa
obavijest	obavijest	Ncfsa
obvezan	obvezan	Agpmsnn
priložiti	priložiti	Vmn
sve	sav	Agpmpay
raspoložive	raspoloživ	Agpmpay
dokaze	dokaz	Ncmpa
o	o	Sl
mogućem	moguć	Agpnsly
kršenju	kršenje	Ncnsl
vojne	vojni	Agpfsgy
stege	stega	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
čelnik	čelnik	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
pokrenuo	pokrenuti	Vmp-sm
postupak	postupak	Ncmsan
obavješćuje	obavješćivati	Vmr3s
o	o	Sl
tome	taj	Pd-nsl
čelnika	čelnik	Ncmpg
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
stranka	stranka	Ncfsn
bila	biti	Vap-sf
raspoređena	rasporediti	Appfsny
na	na	Sa
službu	služba	Ncfsa
u	u	Sa
vrijeme	vrijeme	Ncnsa
kršenja	kršenje	Ncnsg
vojne	vojni	Agpfsgy
stege	stega	Ncfsg
,	,	Z
a	a	Cc
tijekom	tijekom	Sg
postupka	postupak	Ncmsg
može	moći	Vmr3s
od	od	Sg
njega	on	Pp3msg
zatražiti	zatražiti	Vmn
i	i	Cc
izvođenje	izvođenje	Ncnsa
pojedinih	pojedini	Agpmpgy
dokaza	dokaz	Ncmpg
ili	ili	Cc
poduzimanje	poduzimanje	Ncnsa
drugih	drugi	Mlofpg
radnji	radnja	Ncfpg
s	sa	Si
ciljem	cilj	Ncmsi
utvrđivanja	utvrđivanje	Ncnsg
činjeničnog	činjeničan	Agpnsgy
stanja	stanje	Ncnsg
i	i	Cc
stegovne	stegovni	Agpfsgy
odgovornosti	odgovornost	Ncfsg
stranke	stranka	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Kada	kada	Cs
tijekom	tijekom	Sg
postupka	postupak	Ncmsg
dođe	doći	Vmr3s
do	do	Sg
promjene	promjena	Ncfsg
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
stranka	stranka	Ncfsn
na	na	Sl
službi	služba	Ncfsl
,	,	Z
spis	spis	Ncmsan
predmeta	predmet	Ncmpg
ustupit	ustupiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
čelniku	čelnik	Ncmsd
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
u	u	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
stranku	stranka	Ncfsa
raspoređuje	raspoređivati	Vmr3s
,	,	Z
a	a	Cc
postupak	postupak	Ncmsan
će	htjeti	Var3s
nastaviti	nastaviti	Vmn
voditi	voditi	Vmn
čelnik	čelnik	Ncmsan
te	te	Cc
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Podnositelj	podnositelj	Ncmsn
stegovne	stegovni	Agpfsgy
prijave	prijava	Ncfsg
zadržava	zadržavati	Vmr3s
položaj	položaj	Ncmsan
stranke	stranka	Ncfsg
u	u	Sl
postupku	postupak	Ncmsl
zbog	zbog	Sg
stegovnog	stegovni	Agpmsgy
prijestupa	prijestup	Ncmsg
i	i	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
tijekom	tijekom	Sg
postupka	postupak	Ncmsg
pred	pred	Si
vojnostegovnim	vojnostegovan	Agpmsiy
sudom	sud	Ncmsi
dođe	doći	Vmr3s
do	do	Sg
promjene	promjena	Ncfsg
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
vojna	vojni	Agpfsny
osoba	osoba	Ncfsn
protiv	protiv	Sg
koje	koji	Pi-fsg
se	sebe	Px--sa
vodi	voditi	Vmr3s
postupak	postupak	Ncmsan
na	na	Sl
službi	služba	Ncfsl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Pokretanje	pokretanje	Ncnsn
stegovnog	stegovni	Agpmsgy
postupka	postupak	Ncmsg
za	za	Sa
kršenje	kršenje	Ncnsa
vojne	vojni	Agpfsgy
stege	stega	Ncfsg
počinjeno	počiniti	Appnsny
u	u	Sl
ustrojstvenoj	ustrojstven	Agpfsly
jedinici	jedinica	Ncfsl
u	u	Sa
koju	koji	Pi-fsa
je	biti	Var3s
stranka	stranka	Ncfsn
privremeno	privremeno	Rgp
upućena	uputiti	Appfsny
u	u	Sl
ovlasti	ovlast	Ncfsl
je	biti	Var3s
čelnika	čelnik	Ncmpg
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
u	u	Sa
vrijeme	vrijeme	Ncnsa
utvrđivanja	utvrđivanje	Ncnsg
stegovne	stegovni	Agpfsgy
odgovornosti	odgovornost	Ncfsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Čelnik	čelnik	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
o	o	Sl
pokretanju	pokretanje	Ncnsl
stegovnog	stegovni	Agpmsgy
postupka	postupak	Ncmsg
izvješćuje	izvješćivati	Vmr3s
čelnika	čelnik	Ncmpg
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
u	u	Sa
koju	koji	Pi-fsa
je	biti	Var3s
stranka	stranka	Ncfsn
raspoređena	rasporediti	Appfsny
na	na	Sa
službu	služba	Ncfsa
,	,	Z
osim	osim	Cs
ako	ako	Cs
nije	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
istom	isti	Agpmsly
čelniku	čelnik	Ncmsl
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Kada	kada	Cs
je	biti	Var3s
stranka	stranka	Ncfsn
stavljena	staviti	Appfsny
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
,	,	Z
razriješena	razriješiti	Appfsny
dužnosti	dužnost	Ncfsg
zbog	zbog	Sg
liječenja	liječenje	Ncnsg
i	i	Cc
bolovanja	bolovanje	Ncnsg
ili	ili	Cc
je	biti	Var3s
udaljena	udaljiti	Appfsny
iz	iz	Sg
službe	služba	Ncfsg
,	,	Z
pokretanje	pokretanje	Ncnsn
stegovnog	stegovni	Agpmsgy
postupka	postupak	Ncmsg
za	za	Sa
kršenje	kršenje	Ncnsa
vojne	vojni	Agpfsgy
stege	stega	Ncfsg
u	u	Sl
ovlasti	ovlast	Ncfsl
je	biti	Var3s
čelnika	čelnik	Ncmpg
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
u	u	Sl
čijoj	čiji	Pi-fsl
se	sebe	Px--sa
evidenciji	evidencija	Ncfsl
stranka	stranka	Ncfsn
vodi	voditi	Vmr3s
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
stranka	stranka	Ncfsn
za	za	Sa
vrijeme	vrijeme	Ncnsa
raspolaganja	raspolaganje	Ncnsg
privremeno	privremeno	Rgp
upućena	uputiti	Appfsny
u	u	Sa
drugu	drugi	Mlofsa
ustrojstvenu	ustrojstven	Agpfsay
jedinicu	jedinica	Ncfsa
,	,	Z
pokretanje	pokretanje	Ncnsa
stegovnog	stegovni	Agpmsgy
postupka	postupak	Ncmsg
provodi	provoditi	Vmr3s
se	sebe	Px--sa
na	na	Sa
način	način	Ncmsan
propisan	propisati	Appmsnn
u	u	Sl
stavku	stavak	Ncmsl
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

II	ii	Mrc
.	.	Z

STEGOVNI	stegovni	Agpmsny
POSTUPAK	postupak	Ncmsn
ZA	za	Sa
STEGOVNE	stegovni	Agpfpay
POGREŠKE	pogreška	Ncfpa

1.	1.	Mdo
Prvostupanjski	prvostupanjski	Agpmsny
postupak	postupak	Ncmsn

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Stegovni	stegovni	Agpmsny
postupak	postupak	Ncmsn
za	za	Sa
stegovne	stegovni	Agpfpay
pogreške	pogreška	Ncfpa
pokreće	pokretati	Vmr3s
se	sebe	Px--sa
donošenjem	donošenje	Ncnsi
zaključka	zaključak	Ncmsg
protiv	protiv	Sg
kojeg	koji	Pi-msg
žalba	žalba	Ncfsn
nije	biti	Var3s
dopuštena	dopustiti	Appfsny
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kada	kada	Cs
