dokaze	dokaz	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
9.	9.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
podstavka	podstavak	Ncmsg
1.	1.	Mdo
,	,	Z
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
te	te	Cc
dati	dati	Vmn
pisanu	pisan	Agpfsay
izjavu	izjava	Ncfsa
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
s	sa	Si
opisom	opis	Ncmsi
svih	sav	Agpfpgy
promjena	promjena	Ncfpg
nastalih	nastao	Agpfpgy
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
izdavanja	izdavanje	Ncnsg
dozvole	dozvola	Ncfsg
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
utječu	utjecati	Vmr3p
na	na	Sa
tehničku	tehnički	Agpfsay
kvalificiranost	kvalificiranost	Ncfsa
,	,	Z
stručnu	stručan	Agpfsay
osposobljenost	osposobljenost	Ncfsa
te	te	Cc
financijsku	financijski	Agpfsay
kvalificiranost	kvalificiranost	Ncfsa
energetskog	energetski	Agpmsgy
subjekta	subjekt	Ncmsg
,	,	Z
a	a	Cc
ako	ako	Cs
takvih	takav	Pd-fpg
promjena	promjena	Ncfpg
nema	nemati	Vmr3s
,	,	Z
dati	dati	Vmn
pisanu	pisan	Agpfsay
izjavu	izjava	Ncfsa
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
da	da	Cs
takvih	takav	Pd-fpg
promjena	promjena	Ncfpg
nema	nemati	Vmr3s
te	te	Cc
pisanu	pisan	Agpfsay
izjavu	izjava	Ncfsa
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
da	da	Cs
nema	nemati	Vmr3s
nepodmirenih	nepodmiren	Agpmpgy
dospjelih	dospjeli	Agpmpgy
novčanih	novčan	Agpmpgy
obveze	obveza	Ncfpg
prema	prema	Sl
drugim	drugi	Agpmply
energetskim	energetski	Agpmply
subjektima	subjekt	Ncmpl
starijih	star	Agcmpgy
od	od	Sg
50	50	Mdc
dana	dan	Ncmpg
,	,	Z
ovjerenu	ovjeriti	Appfsay
od	od	Sg
javnog	javan	Agpmsgy
bilježnika	bilježnik	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Energetski	energetski	Agpmsny
subjekt	subjekt	Ncmsn
dužan	dužan	Agpmsnn
je	biti	Var3s
uz	uz	Sa
izjavu	izjava	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
dostaviti	dostaviti	Vmn
i	i	Cc
dokumentaciju	dokumentacija	Ncfsa
vezanu	vezati	Appfsay
za	za	Sa
promjenu	promjena	Ncfsa
uvjeta	uvjet	Ncmpg
tehničke	tehnički	Agpfsgy
kvalificiranosti	kvalificiranost	Ncfsg
,	,	Z
stručne	stručan	Agpfsgy
osposobljenosti	osposobljenost	Ncfsg
i	i	Cc
financijske	financijski	Agpfsgy
kvalificiranosti	kvalificiranost	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Energetski	energetski	Agpmsny
subjekt	subjekt	Ncmsn
dužan	dužan	Agpmsnn
je	biti	Var3s
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
produženje	produženje	Ncnsa
dozvole	dozvola	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
dati	dati	Vmn
pisanu	pisan	Agpfsay
izjavu	izjava	Ncfsa
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
da	da	Cs
nema	nemati	Vmr3s
neispunjenih	neispunjen	Agpfpgy
dospjelih	dospjeli	Agpfpgy
novčanih	novčan	Agpfpgy
obveza	obveza	Ncfpg
starijih	star	Agcmpgy
od	od	Sg
50	50	Mdc
dana	dan	Ncmpg
prema	prema	Sl
drugim	drugi	Agpmply
energetskim	energetski	Agpmply
subjektima	subjekt	Ncmpl
.	.	Z

Članak	članak	Ncmsn
18.	18.	Mdo

Agencija	agencija	Ncfsn
će	htjeti	Var3s
dozvolu	dozvola	Ncfsa
za	za	Sa
obavljanje	obavljanje	Ncnsa
energetske	energetski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
produžiti	produžiti	Vmn
na	na	Sa
razdoblje	razdoblje	Ncnsa
propisano	propisati	Appnsny
u	u	Sl
Prilogu	prilog	Ncmsl
IX	IX	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
njegov	njegov	Ps3msn
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
će	htjeti	Var3s
odrediti	odrediti	Vmn
na	na	Sl
temelju	temelj	Ncmsl
podataka	podatak	Ncmpg
o	o	Sl
obavljanju	obavljanje	Ncnsl
energetske	energetski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
energetskog	energetski	Agpmsgy
subjekta	subjekt	Ncmsg
u	u	Sl
razdoblju	razdoblje	Ncnsl
trajanja	trajanje	Ncnsg
dozvole	dozvola	Ncfsg
koja	koji	Pi-fsn
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
.	.	Z

Prijenos	prijenos	Ncmsn
