mladima	mlad	Agpmpdy
–	–	Z
8,54	8,54	Mdc
%	%	Z
.	.	Z

4.	4.	Mdo
sredstva	sredstvo	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
4.	4.	Mdo
,	,	Z
u	u	Sl
razdjelu	razdjel	Ncmsl
080	080	Mdc
Ministarstvo	ministarstvo	Ncnsn
znanosti	znanost	Ncfsg
,	,	Z
obrazovanja	obrazovanje	Ncnsg
i	i	Cc
sporta	sport	Ncmsg
,	,	Z
Glavi	glava	Ncfsl
08005	08005	Mdc
Ministarstvo	ministarstvo	Ncnsn
znanosti	znanost	Ncfsg
,	,	Z
obrazovanja	obrazovanje	Ncnsg
i	i	Cc
sporta	sport	Ncmsg
,	,	Z
za	za	Sa
aktivnost	aktivnost	Ncfsa
A578041	A578041	Mdc
–	–	Z
Pomoćnici	pomoćnik	Ncmpn
u	u	Sl
nastavi	nastava	Ncfsl
za	za	Sa
djecu	dijete	Ncnpa
s	sa	Si
teškoćama	teškoća	Ncfpi
u	u	Sl
razvoju	razvoj	Ncmsl
–	–	Z
14,83	14,83	Mdc
%	%	Z
i	i	Cc
za	za	Sa
aktivnost	aktivnost	Ncfsa
A733051	A733051	X
–	–	Z
Programi	program	Ncmpn
izrade	izrada	Ncfsg
udžbenika	udžbenik	Ncmpg
za	za	Sa
slijepe	slijep	Agpmpay
i	i	Cc
slabovidne	slabovidan	Agpmpay
učenike	učenik	Ncmpa
i	i	Cc
studente	student	Ncmpa
–	–	Z
1,58	1,58	Mdc
%	%	Z
,	,	Z
te	te	Cc
u	u	Sl
razdjelu	razdjel	Ncmsl
102	102	Mdc
Ministarstvo	ministarstvo	Ncnsn
socijalne	socijalan	Agpfsgy
politike	politika	Ncfsg
i	i	Cc
mladih	mlad	Agpmpgy
,	,	Z
Glavi	glava	Ncfsl
10205	10205	Mdc
Ministarstvo	ministarstvo	Ncnsn
socijalne	socijalan	Agpfsgy
politike	politika	Ncfsg
i	i	Cc
mladih	mlad	Agpmpgy
,	,	Z
za	za	Sa
aktivnost	aktivnost	Ncfsa
A734189	a73418i	Agpfsgy
–	–	Z
Udruge	udruga	Ncfsg
u	u	Sl
socijalnoj	socijalan	Agpfsly
skrbi	skrb	Ncfsl
–	–	Z
47,86	47,86	Mdc
%	%	Z
i	i	Cc
za	za	Sa
aktivnost	aktivnost	Ncfsa
A754019	A754019	X
–	–	Z
Odobravanje	odobravanje	Ncnsn
financijske	financijski	Agpfsgy
potpore	potpora	Ncfsg
za	za	Sa
programe	program	Ncmpa
i	i	Cc
projekte	projekt	Ncmpa
usmjerene	usmjeriti	Appmpay
djeci	dijete	Ncnpd
s	sa	Si
teškoćama	teškoća	Ncfpi
i	i	Cc
odraslim	odrastao	Agpfply
osobama	osoba	Ncfpl
s	sa	Si
invaliditetom	invaliditet	Ncmsi
–	–	Z
35,73	35,73	Mdc
%	%	Z
.	.	Z

5.	5.	Mdo
sredstva	sredstvo	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
5.	5.	Mdo
,	,	Z
u	u	Sl
razdjelu	razdjel	Ncmsl
080	080	Mdc
Ministarstvo	ministarstvo	Ncnsn
znanosti	znanost	Ncfsg
,	,	Z
obrazovanja	obrazovanje	Ncnsg
i	i	Cc
sporta	sport	Ncmsg
,	,	Z
Glavi	glava	Ncfsl
08005	08005	Mdc
Ministarstvo	ministarstvo	Ncnsn
znanosti	znanost	Ncfsg
,	,	Z
obrazovanja	obrazovanje	Ncnsg
i	i	Cc
sporta	sport	Ncmsg
,	,	Z
za	za	Sa
aktivnost	aktivnost	Ncfsa
A577028	A577028	Mdc
–	–	Z
Poticaji	poticaj	Ncmpn
Hrvatskoj	hrvatski	Agpfsdy
zajednici	zajednica	Ncfsd
tehničke	tehnički	Agpfsgy
kulture	kultura	Ncfsg
–	–	Z
95,00	95,00	Mdc
%	%	Z
i	i	Cc
za	za	Sa
aktivnost	aktivnost	Ncfsa
A577130	a577130	Agpmpny
Poticaji	poticaj	Ncmpn
udrugama	udruga	Ncfpi
za	za	Sa
izvaninstitucionalni	izvaninstitucionalan	Agpmsayn
odgoj	odgoj	Ncmsan
i	i	Cc
obrazovanje	obrazovanje	Ncnsa
djece	dijete	Ncnpg
i	i	Cc
mladih	mlad	Agpmpgy
–	–	Z
5,00	5,00	Mdc
%	%	Z
.	.	Z

6.	6.	Mdo
sredstva	sredstvo	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
6.	6.	Mdo
,	,	Z
u	u	Sl
razdjelu	razdjel	Ncmsl
032	032	Mdc
Državni	državni	Agpmsny
ured	ured	Ncmsn
za	za	Sa
Hrvate	Hrvat	Npmpa
izvan	izvan	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
Glavi	Glavi	Npmsn
03205	03205	Mdc
Državni	državni	Agpmsny
ured	ured	Ncmsn
za	za	Sa
Hrvate	Hrvat	Npmpa
izvan	izvan	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
za	za	Sa
aktivnost	aktivnost	Ncfsa
A862006	a86200e	Ncnsg
–	–	Z
Programi	program	Ncmpn
Hrvata	Hrvat	Npmpg
izvan	izvan	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
–	–	Z
4,92	4,92	Mdc
%	%	Z
i	i	Cc
za	za	Sa
aktivnost	aktivnost	Ncfsa
A862021	A862021	X
–	–	Z
Programi	program	Ncmpn
Hrvata	Hrvat	Npmpg
izvan	izvan	Sg
Republike	republika	Ncfsg
Hrvatske	hrvatski	Agpfsgy
–	–	Z
Međunarodna	međunarodni	Agpfsny
razvojna	razvojan	Agpfsny
suradnja	suradnja	Ncfsn
–	–	Z
7,67	7,67	Mdc
%	%	Z
,	,	Z
u	u	Sl
razdjelu	razdjel	Ncmsl
048	048	Mdc
Ministarstvo	ministarstvo	Ncnsn
vanjskih	vanjski	Agpmpgy
i	i	Cc
europskih	europski	Agpmpgy
poslova	posao	Ncmpg
,	,	Z
Glavi	glava	Ncfsl
04805	04805	Mdc
Ministarstvo	ministarstvo	Ncnsn
vanjskih	vanjski	Agpmpgy
i	i	Cc
europskih	europski	Agpmpgy
poslova	posao	Ncmpg
,	,	Z
za	za	Sa
aktivnost	aktivnost	Ncfsa
A776056	a77605e	Ncnsg
–	–	Z
Programi	program	Ncmpn
društva	društvo	Ncnsg
prijateljstva	prijateljstvo	Ncnsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
–	–	Z
2,52	2,52	Mdc
%	%	Z
,	,	Z
za	za	Sa
aktivnost	aktivnost	Ncfsa
A777060	a77706e	Ncnsg
–	–	Z
Promocija	promocija	Ncfsn
kulture	kultura	Ncfsg
putem	put	Sg
Zaklade	zaklada	Ncfsg
Hrvatska	hrvatski	Agpfsny
kuća	kuća	Ncfsn
–	–	Z
2,52	2,52	Mdc
%	%	Z
,	,	Z
te	te	Cc
u	u	Sl
razdjelu	razdjel	Ncmsl
055	055	Mdc
Ministarstvo	ministarstvo	Ncnsn
kulture	kultura	Ncfsg
,	,	Z
Glavi	glava	Ncfsl
05505	05505	Mdc
Ministarstvo	ministarstvo	Ncnsn
kulture	kultura	Ncfsg
,	,	Z
za	za	Sa
aktivnost	aktivnost	Ncfsa
A565027	a56502e	Ncnsg
–	–	Z
Programi	program	Ncmpn
muzejsko	muzejski	Agpnsny
galerijske	galerijski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
–	–	Z
3,53	3,53	Mdc
%	%	Z
,	,	Z
za	za	Sa
