ovosudnim	ovosudan	Agpnsiy
rješenjem	rješenje	Ncnsi
od	od	Sg
14.	14.	Mdo
svibnja	svibanj	Ncmsg
2014.	2014.	Mdo
godine	godina	Ncfsg
.	.	Z

Tuženik	tuženik	Ncmsn
u	u	Sl
odgovoru	odgovor	Ncmsl
na	na	Sa
tužbu	tužba	Ncfsa
,	,	Z
dajući	davati	Rr
očitovanje	očitovanje	Ncnsa
o	o	Sl
pojedinačnim	pojedinačan	Agpmply
prigovorima	prigovor	Ncmpl
tužitelja	tužitelj	Ncmpg
,	,	Z
u	u	Sl
bitnom	bitan	Agpmsly
navodi	navoditi	Vmr3s
kako	kako	Cs
tužitelj	tužitelj	Ncmsn
u	u	Sl
tužbi	tužba	Ncfsl
niti	niti	Qz
u	u	Sl
jednom	jedan	Mlcmsl
dijelu	dio	Ncmsl
ne	ne	Qz
ističe	isticati	Vmr3s
da	da	Cs
je	biti	Var3s
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
zaista	zaista	Rgp
došlo	doći	Vmp-sn
do	do	Sg
povrede	povreda	Ncfsg
članka	članak	Ncmsg
63.	63.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ZEK-a	ZEK	Npmsg
.	.	Z

U	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
prigovor	prigovor	Ncmsan
da	da	Cs
osporena	osporiti	Appfsny
odluka	odluka	Ncfsn
nije	biti	Var3s
obrazložena	obrazložiti	Appfsny
sukladno	sukladan	Agpnsny
članku	članak	Ncmsd
98.	98.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
i	i	Cc
5.	5.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
općem	opći	Agpmsly
upravnom	upravan	Agpmsly
postupku	postupak	Ncmsl
,	,	Z
odnosno	odnosno	Rgp
da	da	Cs
iz	iz	Sg
iste	isti	Agpfsgy
ne	ne	Qz
proizlazi	proizlaziti	Vmr3s
niti	niti	Qo
je	biti	Var3s
jasno	jasno	Rgp
o	o	Sl
kojim	koji	Agpfply
regulatornim	regulatoran	Agpfply
obvezama	obveza	Ncfpl
se	sebe	Px--sa
radi	raditi	Vmr3s
,	,	Z
na	na	Sa
koji	koji	Pi-msan
način	način	Ncmsan
je	biti	Var3s
tuženik	tuženik	Ncmsn
proveo	provesti	Vmp-sm
analizu	analiza	Ncfsa
cijena	cijena	Ncfpg
usluga	usluga	Ncfpg
tužitelja	tužitelj	Ncmpg
te	te	Cc
koji	koji	Pi-msan
izračun	izračun	Ncmsan
troškova	trošak	Ncmpg
je	biti	Var3s
prihvatio	prihvatiti	Vmp-sm
kao	kao	Cs
mjerodavan	mjerodavan	Agpmsnn
,	,	Z
tuženik	tuženik	Ncmsn
navodi	navoditi	Vmr3s
da	da	Cs
obrazloženje	obrazloženje	Ncnsn
osporene	osporiti	Appfsgy
odluke	odluka	Ncfsg
ima	imati	Vmr3s
sve	sav	Agpmpay
elemente	element	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
propisani	propisati	Appmpny
navedenom	naveden	Agpfsiy
zakonskom	zakonski	Agpfsiy
odredbom	odredba	Ncfsi
,	,	Z
te	te	Cc
da	da	Cs
su	biti	Var3p
takvi	takav	Pd-mpn
navodi	navod	Ncmpn
tužitelja	tužitelj	Ncmsg
netočni	netočan	Agpmsny
,	,	Z
