pravima	prav	Agpmpdy
koji	koji	Pi-mpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
ugovorenih	ugovoriti	Agpmpgy
kolektivnih	kolektivan	Agpmpgy
ugovora	ugovor	Ncmpg
nedvojbeno	nedvojbeno	Rgp
je	biti	Var3s
predstavljala	predstavljati	Vmp-sf
pravno	pravno	Rgp
valjano	valjati	Appnsny
(	(	Z
»	»	Z
zakonito	zakonito	Rgp
«	«	Z
)	)	Z
miješanje	miješanje	Ncnsn
države	država	Ncfsg
u	u	Sa
njihova	njihov	Agpnpay
imovinska	imovinski	Agpnpay
prava	pravo	Ncnpa
.	.	Z

41.1.	41.1.	Mdo

U	u	Sl
pogledu	pogled	Ncmsl
utvrđenja	utvrđenje	Ncnsg
je	biti	Var3s
li	li	Qq
za	za	Sa
takvo	takav	Pd-nsa
miješanje	miješanje	Ncnsa
postojao	postojati	Vmp-sm
legitimni	legitiman	Agpmsayn
cilj	cilj	Ncmsan
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
krenuo	krenuti	Vmp-sm
je	biti	Var3s
od	od	Sg
razloga	razlog	Ncmpg
koje	koji	Pi-mpa
je	biti	Var3s
Vlada	Vlada	Npfsn
,	,	Z
pri	pri	Sl
podnošenju	podnošenje	Ncnsl
prijedloga	prijedlog	Ncmsg
za	za	Sa
donošenje	donošenje	Ncnsa
ZUIMP-a	ZUIMP	Npmsg
(	(	Z
v.	v.	Sa
točku	točka	Ncfsa
9.	9.	Mdo
obrazloženja	obrazloženje	Ncnsg
ove	ovaj	Pd-fsg
odluke	odluka	Ncfsg
)	)	Z
,	,	Z
navela	navesti	Vmp-sf
u	u	Sl
»	»	Z
Ocjeni	ocjena	Ncfsl
stanja	stanje	Ncnsg
,	,	Z
osnovnim	osnovan	Agpnply
pitanjima	pitanje	Ncnpl
koja	koji	Pi-npn
se	sebe	Px--sa
uređuju	uređivati	Vmr3p
predloženim	predložen	Agpmsiy
zakonom	zakon	Ncmsi
,	,	Z
te	te	Cc
posljedicama	posljedica	Ncfpl
koje	koji	Pi-fpn
će	htjeti	Var3p
donošenjem	donošenje	Ncnsi
zakona	zakon	Ncmsg
proisteći	proisteći	Vmn
«	«	Z
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
»	»	Z
Ocjena	ocjena	Ncfsn
stanja	stanje	Ncnsg
«	«	Z
)	)	Z
.	.	Z

Navedene	naveden	Agpmpay
razloge	razlog	Ncmpa
prihvatio	prihvatiti	Vmp-sm
je	biti	Var3s
i	i	Qo
Hrvatski	hrvatski	Agpmsny
sabor	sabor	Ncmsn
činom	čin	Ncmsi
donošenja	donošenje	Ncnsg
ZUIMP-a	ZUIMP	Npmsg
.	.	Z

Većinu	većina	Ncfsa
tih	taj	Pd-mpg
razloga	razlog	Ncmpg
ponovilo	ponoviti	Vmp-sn
je	biti	Var3s
u	u	Sl
svojem	svoj	Px-nsl
očitovanju	očitovanje	Ncnsl
i	i	Cc
Ministarstvo	ministarstvo	Ncnsn
rada	rad	Ncmsg
.	.	Z

Iz	iz	Sg
njih	oni	Pp3-pg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
zakonodavna	zakonodavan	Agpfsny
mjera	mjera	Ncfsn
bila	biti	Vap-sf
nužna	nužan	Agpfsny
u	u	Sl
cilju	cilj	Ncmsl
smanjenja	smanjenje	Ncnsg
negativnog	negativan	Agpmsgy
trenda	trend	Ncmsg
nepovoljnih	nepovoljan	Agpmpgy
gospodarskih	gospodarski	Agpmpgy
i	i	Cc
financijskih	financijski	Agpnpgy
kretanja	kretanje	Ncnpg
s	sa	Si
kojima	koji	Pi-npl
se	sebe	Px--sa
suočila	suočiti	Vmp-sf
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
2011.	2011.	Mdo
godine	godina	Ncfsg
do	do	Sg
