drugim	drugi	Mlomsi
relevantnim	relevantan	Agpmpiy
registrima	registar	Ncmpi
ili	ili	Cc
evidencijama	evidencija	Ncfpd
što	što	Pi3n-n
ih	oni	Pp3-pa
vodi	voditi	Vmr3s
Ministarstvo	ministarstvo	Ncnsn
ili	ili	Cc
ustanove	ustanova	Ncfsg
u	u	Sl
poljoprivredi	poljoprivreda	Ncfsl
,	,	Z
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
primjenjivo	primjenjiv	Agpnsny
.	.	Z

II	ii	Mrc
.	.	Z

KORISNICI	korisnik	Ncmpn

Prihvatljivi	prihvatljiv	Agpmpny
korisnici	korisnik	Ncmpn

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
potpore	potpora	Ncfsg
je	biti	Var3s
poljoprivrednik	poljoprivrednik	Ncmsn
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
2.	2.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
poljoprivredi	poljoprivreda	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
30/15	30/15	Mdc
)	)	Z
te	te	Cc
članka	članak	Ncmsg
9.	9.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1307/2013	1307/2013	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
od	od	Sg
17.	17.	Mdo
prosinca	prosinac	Ncmsg
2013.	2013.	Mdo
o	o	Sl
utvrđivanju	utvrđivanje	Ncnsl
pravila	praviti	Vmp-sf
za	za	Sa
izravna	izravan	Agpnpay
plaćanja	plaćanje	Ncnpa
poljoprivrednicima	poljoprivrednik	Ncmpd
u	u	Sl
programima	program	Ncmpl
potpore	potpora	Ncfsg
u	u	Sl
okviru	okvir	Ncmsl
zajedničke	zajednički	Agpfsgy
poljoprivredne	poljoprivredni	Agpfsgy
politike	politika	Ncfsg
i	i	Cc
o	o	Sl
stavljanju	stavljanje	Ncnsl
izvan	izvan	Sg
snage	snaga	Ncfsg
Uredbe	uredba	Ncfsg
Vijeća	vijeće	Ncnsg
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
637/2008	637/2008	Mdc
i	i	Cc
Uredbe	uredba	Ncfsg
Vijeća	vijeće	Ncnsg
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
73/2009	73/2009	Mdc
(	(	Z
SL	SL	Npmsn
L	L	Npmsn
347	347	Mdc
,	,	Z
20.	20.	Mdo
12.	12.	Mdo
2013.	2013.	Mdo
)	)	Z
,	,	Z
čija	čiji	Pi-fsn
se	sebe	Px--sa
poljoprivredna	poljoprivredni	Agpfsny
proizvodnja	proizvodnja	Ncfsn
osigurava	osiguravati	Vmr3s
i	i	Cc
koji	koji	Pi-msn
plaća	plaćati	Vmr3s
premiju	premija	Ncfsa
osiguranja	osiguranje	Ncnsg
u	u	Sl
svojstvu	svojstvo	Ncnsl
osiguranika	osiguranik	Ncmpg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
korisnik	korisnik	Ncmsn
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
proizvođačke	proizvođački	Agpfpny
organizacije	organizacija	Ncfpn
nisu	biti	Var3p
prihvatljivi	prihvatljiv	Agpmpny
korisnici	korisnik	Ncmpn
za	za	Sa
potporu	potpora	Ncfsa
u	u	Sl
okviru	okvir	Ncmsl
ove	ovaj	Pd-fsg
mjere	mjera	Ncfsg
.	.	Z

III	III	Mrc
.	.	Z

OPĆI	opći	Agpmpny
UVJETI	uvjet	Ncmpn

Polica	polica	Ncfsn
osiguranja	osiguranje	Ncnsg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
potpore	potpora	Ncfsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
37.	37.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1305/2013	1305/2013	Mdc
mora	morati	Vmr3s
imati	imati	Vmn
važeću	važeći	Agpfsay
policu	polica	Ncfsa
osiguranja	osiguranje	Ncnsg
poljoprivredne	poljoprivredni	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
u	u	Sl
razdoblju	razdoblje	Ncnsl
za	za	Sa
koji	koji	Pi-msn
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
potporom	potpora	Ncfsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Polica	polica	Ncfsn
osiguranja	osiguranje	Ncnsg
pokriva	pokrivati	Vmr3s
isključivo	isključivo	Rgp
štete	štetiti	Vmr3p
nastale	nastao	Agpfpay
uslijed	uslijed	Sg
gubitka	gubitak	Ncmsg
poljoprivredne	poljoprivredni	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
od	od	Sg
jednog	jedan	Mlcmsg
ili	ili	Cc
više	mnogo	Rgc
štetnih	štetan	Agpmpgy
događaja	događaj	Ncmpg
,	,	Z
i	i	Cc
to	to	Qo
:	:	Z

–	–	Z
nepovoljne	nepovoljan	Agpfsgy
klimatske	klimatski	Agpfsgy
prilike	prilika	Ncfsg

–	–	Z
životinjske	životinjski	Agpfsgy
i	i	Cc
biljne	biljan	Agpfsgy
bolesti	bolest	Ncfsg

–	–	Z
najezda	najezda	Ncfsn
nametnika	nametnik	Ncmpg

–	–	Agpmpny
okološni	okološan	Agpmpny
incidenti	incident	Ncmpn
i	i	Cc
/	/	Z
ili	ili	Cc

–	i	Agpfpay
mjere	mjera	Ncfpa
protiv	protiv	Sg
unošenja	unošenje	Ncnsg
u	u	Sa
Uniju	unija	Ncfsa
organizama	organizam	Ncmpg
štetnih	štetan	Agpmpgy
za	za	Sa
bilje	bilje	Ncnsa
ili	ili	Cc
biljne	biljan	Agpmpay
proizvode	proizvod	Ncmpa
i	i	Cc
protiv	protiv	Sg
njihovog	njihov	Ps3nsg
širenja	širenje	Ncnsg
unutar	unutar	Sg
Unije	unija	Ncfsg
sukladno	sukladno	Rgp
Zakonu	zakon	Ncmsl
o	o	Sl
biljnom	biljan	Agpnsly
zdravstvu	zdravstvo	Ncnsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
75/05	75/05	Mdc
,	,	Z
25/09	25/09	Mds
,	,	Z
55/11	55/11	Mdc
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Polica	polica	Ncfsn
osiguranja	osiguranje	Ncnsg
pokriva	pokrivati	Vmr3s
isključivo	isključivo	Rgp
štete	štetiti	Vmr3p
nastale	nastao	Agpfpay
uslijed	uslijed	Sg
gubitka	gubitak	Ncmsg
poljoprivredne	poljoprivredni	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
veće	velik	Agcfpny
od	od	Sg
30	30	Mdc
%	%	Z
prosječne	prosječan	Agpfsgy
godišnje	godišnji	Agpfsgy
poljoprivredne	poljoprivredni	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Opći	opći	Agpmpny
uvjeti	uvjet	Ncmpn
iz	iz	Sg
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
moraju	morati	Vmr3p
biti	biti	Van
jasno	jasno	Rgp
navedeni	navesti	Appmpny
na	na	Sl
polici	polica	Ncfsl
osiguranja	osiguranje	Ncnsg
.	.	Z

IV	IV	Mrc
.	.	Z

POSEBNI	poseban	Agpmpny
UVJETI	uvjet	Ncmpn

Nadležna	nadležan	Agpnpny
tijela	tijelo	Ncnpn

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sa
svrhu	svrha	Ncfsa
stjecanja	stjecanje	Ncnsg
prava	pravo	Ncnsg
korisnika	korisnik	Ncmpg
na	na	Sa
nadoknadu	nadoknada	Ncfsa
štete	šteta	Ncfsg
po	po	Sl
polici	polica	Ncfsl
osiguranja	osiguranje	Ncnsg
od	od	Sg
strane	strana	Ncfsg
osiguravatelja	osiguravatelj	Ncmpg
,	,	Z
nepovoljnu	nepovoljan	Agpfsay
klimatsku	klimatski	Agpfsay
priliku	prilika	Ncfsa
,	,	Z
izbijanje	izbijanje	Ncnsa
bolesti	bolest	Ncfsg
životinja	životinja	Ncfpg
ili	ili	Cc
biljaka	biljka	Ncfpg
,	,	Z
najezdu	najezda	Ncfsa
nametnika	nametnik	Ncmpg
ili	ili	Cc
okolišni	okolišni	Agpmsny
incident	incident	Ncmsn
mora	morati	Vmr3s
službeno	službeno	Rgp
proglasiti	proglasiti	Vmn
nadležno	nadležan	Agpnsay
tijelo	tijelo	Ncnsa
sukladno	sukladan	Agpnsay
članku	članak	Ncmsd
37.	37.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
