suradnike	suradnik	Ncmpa
,	,	Z
fizičke	fizički	Agpfpay
i	i	Cc
pravne	pravni	Agpfpay
osobe	osoba	Ncfpa
sa	sa	Si
specijalističkim	specijalistički	Agpmpiy
znanjima	znanje	Ncmpi
u	u	Sl
određenim	određen	Agpnply
područjima	područje	Ncnpl
.	.	Z

Sadržaj	sadržaj	Ncmsn
Zahtjeva	zahtjev	Ncmsg

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
sljedeće	sljedeći	Agpnsay
:	:	Z

1.	1.	Mdo
osnovne	osnovan	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
kreditnoj	kreditan	Agpfsly
instituciji	institucija	Ncfsl
koja	koji	Pi-fsn
posluje	poslovati	Vmr3s
s	sa	Si
poteškoćama	poteškoća	Ncfpi
uključujući	uključivati	Rr
podatke	podatak	Ncmpa
o	o	Sl
vlasnicima	vlasnik	Ncmpl
,	,	Z
odnosno	odnosno	Rgp
dioničarima	dioničar	Ncmpd
,	,	Z
upravi	uprava	Ncfsl
,	,	Z
nadzornom	nadzorni	Agpmsly
odboru	odbor	Ncmsl
,	,	Z
njezinoj	njezin	Agpfsly
imovini	imovina	Ncfsl
,	,	Z
strukturi	struktura	Ncfsl
kapitala	kapital	Ncmsg
,	,	Z
rizičnim	rizičan	Agpmply
plasmanima	plasman	Ncmpl
i	i	Cc
ostale	ostali	Agpmpay
podatke	podatak	Ncmpa
koji	koji	Pi-mpn
detaljno	detaljno	Rgp
opisuju	opisivati	Vmr3p
kreditnu	kreditan	Agpfsay
instituciju	institucija	Ncfsa

2.	2.	Mdo
izjavu	izjava	Ncfsa
uprave	uprava	Ncfsg
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
koja	koji	Pi-fsn
posluje	poslovati	Vmr3s
s	sa	Si
poteškoćama	poteškoća	Ncfpi
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
uvjeta	uvjet	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavaka	stavak	Ncmpg
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
,	,	Z
4.	4.	Mdo
,	,	Z
6.	6.	Mdo
i	i	Cc
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg

3.	3.	Mdo
podatke	podatak	Ncmpa
o	o	Sl
financijskim	financijski	Agpmply
rezultatima	rezultat	Ncmpl
poslovanja	poslovanje	Ncnsg
u	u	Sa
protekle	protekao	Agpfpay
tri	tri	Mlc
godine	godina	Ncfsg
i	i	Cc
kreditnoj	kreditan	Agpfsly
aktivnosti	aktivnost	Ncfsl
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
koja	koji	Pi-fsn
posluje	poslovati	Vmr3s
s	sa	Si
poteškoćama	poteškoća	Ncfpi
prema	prema	Sl
klasifikaciji	klasifikacija	Ncfsl
i	i	Cc
broju	broj	Ncmsl
klijenata	klijent	Ncmpg
(	(	Z
veliki	velik	Agpmsny
,	,	Z
mali	mali	Agpmpny
i	i	Cc
srednji	srednji	Agpmpny
poduzetnici	poduzetnica	Ncmpn
,	,	Z
građani	građanin	Ncmpn
)	)	Z

4.	4.	Mdo
podatke	podatak	Ncmpa
o	o	Sl
manjku	manjak	Ncmsl
kapitala	kapital	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
utvrđeni	utvrditi	Appmpny
od	od	Sg
strane	strana	Ncfsg
