STAVLJENIM	stavljen	Agpmsiy
NA	na	Sa
TRŽIŠTE	tržište	Ncnsa
NA	na	Sl
PODRUČJU	područje	Ncnsl
REPUBLIKE	republika	Ncfsg
HRVATSKE	hrvatski	Agpfsgy

Za	za	Sa
razdoblje	razdoblje	Ncnsa
:	:	Z
Proizvodnja	proizvodnja	Ncfsn
u	u	Sl
RH	RH	Npfsl
__	__	Z
Uvoz	uvoz	Ncmsn
/	/	Z
Unos	unos	Ncmsn
u	u	Sa
RH	rh	Agpmsayn
__	__	Agpmsayn
Izvoz	izvoz	Ncmsan
/	/	Z
Iznos	iznos	Ncmsn
iz	iz	Sg
RH	RH	Npfsg
__	_i	Agpmpay
PODATKE	podatak	Ncmpa
POPUNJAVA	popunjavati	Vmr3s
:	:	Z
–	–	Z
PROIZVOĐAČ	proizvođač	Ncmsn
S	sa	Si
POSLOVNIM	poslovan	Agpnsiy
SJEDIŠTEM	sjedište	Ncnsi
U	u	Sl
RH	ra	Ncfsl
–	–	Z
FIZIČKA	fizički	Agpfsny
OSOBA	osoba	Ncfsn
–	–	Z
GRAĐANIN	građanin	Ncmsn
S	sa	Si
PREBIVALIŠTEM	prebivalište	Ncnsi
U	u	Sa
RH	rh	Agpmsayn
Naziv	naziv	Ncmsan
obveznika	obveznik	Ncmpg
:	:	Z
Adresa	adresa	Ncfsn
:	:	Z
Osoba	osoba	Ncfsn
za	za	Sa
kontakt	kontakt	Ncmsan
:	:	Z
Telefon	telefon	Ncmsn
:	:	Z
Telefaks	telefaks	Ncmsn
:	:	Z
E-mail	e-mail	Ncmsn
adresa	adresa	Ncfsn
:	:	Z
OIB	oib	Ncmsn
:	:	Z
NKD	nkd	Ncmsn
:	:	Z
PODATKE	podatak	Ncmpa
POPUNJAVA	popunjavati	Vmr3s
:	:	Z
–	–	Z
PROIZVOĐAČ	proizvođač	Ncmsn
S	sa	Si
POSLOVNIM	poslovan	Agpnsiy
SJEDIŠTEM	sjedište	Ncnsi
U	u	Sl
DRUGOJ	drugi	Agpfsly
DRŽAVI	država	Ncfsl
ČLANICI	članica	Ncfsl
EU	E	Npmsd
ILI	ili	Cc
TREĆE	treći	Mlonsn
ZEMLJE	zemlja	Ncfsg
PODACI	podatak	Ncmpn
O	o	Sl
PROIZVOĐAČU	proizvođač	Ncmsl
:	:	Z
Naziv	naziv	Ncmsn
obveznika	obveznik	Ncmpg
:	:	Z
Adresa	adresa	Ncfsn
:	:	Z
OIB	oib	Ncmsn
/	/	Z
Identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
:	:	Z
PODACI	podatak	Ncmpn
O	o	Sl
OVLAŠTENOM	ovlašten	Agpmsly
PREDSTAVNIKU	predstavnik	Ncmsl
PROIZVOĐAČA	proizvođač	Ncmpg
U	u	Sl
RH	RH	Npfsl
:	:	Z
Naziv	naziv	Ncmsn
ovlaštenog	ovlašten	Agpmsgy
predstavnika	predstavnik	Ncmsg
:	:	Z
Adresa	adresa	Ncfsn
:	:	Z
Osoba	osoba	Ncfsn
za	za	Sa
kontakt	kontakt	Ncmsan
:	:	Z
Telefon	telefon	Ncmsn
:	:	Z
Telefaks	telefaks	Ncmsn
:	:	Z
E-mail	e-mail	Ncmsn
adresa	adresa	Ncfsn
:	:	Z
OIB	OIB	Npmsn
:	:	Z

IZVJEŠĆE	izvješće	Ncnsn
O	o	Sl
KOLIČINAMA	količina	Ncfpl
VOZILA	vozilo	Ncnsg
Kategorija	kategorija	Ncfsn
vozila	vozilo	Ncnsg
Broj	broj	Ncmsan
vozila	vozilo	Ncnsg
(	(	Z
kom	kom	Ncmsan
)	)	Z
Masa	masa	Ncfsn
vozila	vozilo	Ncnsg
(	(	Z
kg	kg	Agpmsgy
)	)	Z
*	*	Z
Broj	broj	Ncmsn
guma	guma	Ncfpg
(	(	Z
kom	kom	Ncmsn
)	)	Z
M1	m1	Ncfsn
N1	N1	Ps1nsg
Vozila	vozilo	Ncnsg
na	na	Sa
tri	tri	Mlc
kotača	kotač	Ncmsg
isključujući	isključivati	Rr
motorne	motoran	Agpmpay
tricikle	tricikl	Ncmpa

*		Aspfsny
Masa	masa	Ncfsn
vozila	voziti	Vmp-sf
je	biti	Var3s
masa	masa	Ncfsn
vozila	vozilo	Ncnpg
iz	iz	Sg
homologacijskih	homologacijski	Agpmpgy
dokumenta	dokument	Ncmpg
ili	ili	Cc
tehničke	tehnički	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
umanjena	umanjiti	Appfsny
za	za	Sa
:	:	Z

–	–	Z
do	do	Sg
23.10.2015.	23.10.2015.	Mdo
godine	godina	Ncfsg
za	za	Sa
prosječnu	prosječan	Agpfsay
težinu	težina	Ncfsa
vozača	vozač	Ncmpg
od	od	Sg
75	75	Mdc
kg	kg	Ncmpg
,	,	Z

–	–	Z
od	od	Sg
24.10.2015.	24.10.2015.	Mdo
godine	godina	Ncfsg
za	za	Sa
prosječnu	prosječan	Agpfsay
težinu	težina	Ncfsa
vozača	vozač	Ncmpg
od	od	Sg
75	75	Mdc
kg	kg	Ncmpg
i	i	Cc
prosječnu	prosječan	Agpfsay
masu	masa	Ncfsa
goriva	gorivo	Ncnsg
od	od	Sg
40	40	Mdc
kg	kg	Ncmpg
.	.	Z

**	*i	Agpfpny
Uz	uz	Sa
Obrazac	obrazac	Ncmsan
OV1	OV	Npmsl
obvezna	obvezan	Agpfsny
je	biti	Var3s
dostava	dostava	Ncfsn
podataka	podatak	Ncmpg
o	o	Sl
uvozu	uvoz	Ncmsl
guma	guma	Ncfpg
na	na	Sl
propisanom	propisati	Agpmsly
obrascu	obrazac	Ncmsl
.	.	Z

Mjesto	mjesto	Ncnsn
:	:	Z
_____________________	_____________________	Z

Datum	datum	Ncmsn
:	:	Z
_____________________	_____________________	Z

M.	M.	Y
P.	P.	Y
Potpis	potpis	Ncmsn
:	:	Z

__________________________	__________________________	Ncfsn

Dostaviti	dostaviti	Vmn
:	:	Z

–	–	Agpmpny
Proizvođači	proizvođač	Ncmpn
:	:	Z

a	a	Cc
)	)	Z
prilikom	prilikom	Sg
uvoza	uvoz	Ncmsg
vozila	vozilo	Ncnsg
za	za	Sa
daljnju	daljnji	Agpfsay
prodaju	prodaja	Ncfsa
u	u	Sa
Fond	fond	Ncmsan
za	za	Sa
zaštitu	zaštita	Ncfsa
okoliša	okoliš	Ncmsg
i	i	Cc
energetsku	energetski	Agpfsay
učinkovitost	učinkovitost	Ncfsa
,	,	Z
Radnička	radnički	Agpfsny
cesta	cesta	Ncfsn
80	80	Mdc
,	,	Z
10	10	Mdc
000	000	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
zajedno	zajedno	Rgp
s	sa	Si
prijavom	prijava	Ncfsi
podataka	podatak	Ncmpg
o	o	Sl
uvozu	uvoz	Ncmsl
guma	guma	Ncfpg
,	,	Z

b	b	Npmsn
)	)	Z
prilikom	prilikom	Sg
uvoza	uvoz	Ncmsg
vozila	vozilo	Ncnsg
za	za	Sa
vlastite	vlastit	Agpfpay
potrebe	potreba	Ncfpa
u	u	Sa
nadležni	nadležan	Agpmsayn
carinski	carinski	Agpmsayn
ured	ured	Ncmsan
prema	prema	Sl
mjestu	mjesto	Ncnsl
sjedišta	sjedište	Ncnsg
u	u	Sl
kojem	koji	Pi-nsl
se	sebe	Px--sa
vrši	vršiti	Vmr3s
obračun	obračun	Ncmsan
i	i	Cc
plaćanje	plaćanje	Ncnsa
posebnog	poseban	Agpmsgy
poreza	porez	Ncmsg
na	na	Sa
motorna	motoran	Agpnpay
vozila	vozilo	Ncnpa
.	.	Z

–	i	Agpfpny
Fizičke	fizički	Agpfpny
osobe	osoba	Ncfpn
–	–	Z
građani	građanin	Ncmpn
:	:	Z

U	u	Sa
nadležni	nadležan	Agpmsayn
carinski	carinski	Agpmsayn
ured	ured	Ncmsan
prema	prema	Sl
mjestu	mjesto	Ncnsl
prebivališta	prebivalište	Ncnsg
u	u	Sl
kojem	koji	Pi-nsl
se	sebe	Px--sa
vrši	vršiti	Vmr3s
obračun	obračun	Ncmsan
i	i	Cc
plaćanje	plaćanje	Ncnsa
posebnog	poseban	Agpmsgy
poreza	porez	Ncmsg
na	na	Sa
motorna	motoran	Agpnpay
vozila	vozilo	Ncnpa
.	.	Z

PRILOG	prilog	Ncmsn
III	III	Mrc
.	.	Z

Obrazac	obrazac	Ncmsn
OV3	ova	Ncfsg

IZVJEŠĆE	izvješće	Ncnsn
O	o	Sl
SAKUPLJENIM	sakupiti	Ncmsl
OTPADNIM	otpadni	Agpnply
VOZILIMA	vozilo	Ncnpl

I.	I.	Y
PODACI	podatak	Ncmpn
O	o	Sl
SAKUPLJAČU	sakupljač	Ncmsl
Za	za	Sa
mjesec	mjesec	Ncmsan
:	:	Z
Godina	godina	Ncfsn
:	:	Z
Telefon	telefon	Ncmsn
:	:	Z
Naziv	naziv	Ncmsn
sakupljača	sakupljač	Ncmsg
:	:	Z
Faks	faks	Ncmsn
:	:	Z
Adresa	adresa	Ncfsn
sjedišta	sjedište	Ncnsg
sakupljača	sakupljač	Ncmpg
:	:	Z
E-mail	e-mail	Ncmsn
adresa	adresa	Ncfsn
:	:	Z
Lokacija	lokacija	Ncfsn
skladišta	skladište	Ncnsg
sakupljača	sakupljač	Ncmpg
:	:	Z
IBAN	IBAN	Npmsn
:	:	Z
Osoba	osoba	Ncfsn
za	za	Sa
kontakt	kontakt	Ncmsan
:	:	Z
OIB	OIB	Npmsn
:	:	Z

II	ii	Mrc
.	.	Z

PODACI	podatak	Ncmpn
O	o	Sl
KOLIČINAMA	količina	Ncfpl
SAKUPLJENIH	sakupiti	Appmpgy
OTPADNIH	otpadni	Agpnpgy
VOZILA	vozilo	Ncnpg
1.	1.	Mdo
2.	2.	Mdo
3.	3.	Mdo
4.	4.	Mdo
5.	5.	Mdo
6.	6.	Mdo
7.	7.	Mdo
8.	8.	Mdo
9.	9.	Mdo
