pogonskim	pogonski	Agpnsiy
vratilom	vratilo	Ncnsi
čija	čiji	Pi-fsn
tehnički	tehnički	Rgp
dozvoljena	dozvoliti	Appfsny
masa	masa	Ncfsn
nije	biti	Var3s
veća	velik	Agcfsny
od	od	Sg
10	10	Mdc
tona	tona	Ncfpg
ili	ili	Cc
s	sa	Si
više	mnogo	Rgc
takvih	takav	Pd-npg
vratila	vratilo	Ncnpg
,	,	Z
kod	kod	Sg
kojih	koji	Pi-mpg
je	biti	Var3s
omjer	omjer	Ncmsn
te	taj	Pd-fsg
mase	masa	Ncfsg
i	i	Cc
najveće	velik	Agsfsgy
mase	masa	Ncfsg
neopterećenog	neopterećen	Agpnsgy
vozila	vozilo	Ncnsg
u	u	Sl
voznom	vozan	Agpnsly
stanju	stanje	Ncnsl
manji	mali	Agcmsny
od	od	Sg
2,5	2,5	Mdc
,	,	Z
i	i	Cc
imaju	imati	Vmr3p
težište	težište	Ncnsa
,	,	Z
izmjereno	izmjeriti	Appnsny
od	od	Sg
tla	tlo	Ncnsg
pri	pri	Sl
uporabi	uporaba	Ncfsl
uobičajenih	uobičajen	Agpmpgy
pneumatika	pneumatik	Ncmpg
,	,	Z
na	na	Sl
visini	visina	Ncfsl
od	od	Sg
najmanje	malo	Rgs
850	850	Mdc
mm	mm	Y
.	.	Z
a	a	Cc
Traktori	traktor	Ncmpn
na	na	Sl
kotačima	kotač	Ncmpl
s	sa	Si
najvećom	velik	Ncmpi
konstrukcijski	konstrukcijski	Rgp
određenom	određen	Agpfsiy
brzinom	brzina	Ncfsi
manjom	mali	Agcfsiy
ili	ili	Cc
jednakom	jednak	Agpmsly
40	40	Mdc
km	km	Y
/	/	Z
h	h	Y
b	b	Y
Traktori	traktor	Ncmpn
na	na	Sl
kotačima	kotač	Ncmpl
s	sa	Si
najvećom	velik	Ncmpi
konstrukcijski	konstrukcijski	Rgp
određenom	određen	Agpfsiy
brzinom	brzina	Ncfsi
većom	velik	Agcfsiy
od	od	Sg
40	40	Mdc
km	km	Y
/	/	Z
h	h	Y
T5	T5	Y
Traktori	traktor	Ncmpn
na	na	Sl
kotačima	kotač	Ncmpl
najveće	velik	Agsfsgy
konstrukcijske	konstrukcijski	Agpfsgy
brzine	brzina	Ncfsg
veće	velik	Agcfpny
od	od	Sg
40	40	Mdc
km	km	Y
/	/	Z
h	h	Y
C	C	Agpmpny
TRAKTORI	traktor	Ncmpn
GUSJENIČARI	gusjeničar	Agpmpny
Traktori	traktor	Ncmpn
gusjeničari	gusjeničar	Ncmpn
kojima	koji	Pi-mpi
se	sebe	Px--sa
kategorija	kategorija	Ncfsn
definira	definirati	Vmr3s
analogno	analogno	Rgp
kategorijama	kategorija	Ncfpi
T1		Agpfpiy
do	do	Sg
T4	ti	Agpfsgy
R	a	Ncfsg
TRAKTORSKA	traktorski	Agpfsny
PRIKOLICA	prikolica	Ncfsn
R1	ri	Agpfsny
Traktorska	traktorski	Agpfsny
prikolica	prikolica	Ncfsn
kojoj	koji	Pi-fsd
zbroj	zbroj	Ncmsan
najvećih	velik	Agsnpgy
tehničkih	tehnički	Agpnpgy
dopuštenih	dopustiti	Agpnpgy
osovinskih	osovinski	Agpnpgy
opterećenja	opterećenje	Ncnpg
ne	ne	Qz
prelazi	prelaziti	Vmr3s
1500	1500	Mdc
kg	kg	Cc
R2	ri	Agpfsny
Traktorska	traktorski	Agpfsny
prikolica	prikolica	Ncfsn
kojoj	koji	Pi-fsd
zbroj	zbroj	Ncmsan
najvećih	velik	Agsnpgy
tehničkih	tehnički	Agpnpgy
dopuštenih	dopustiti	Agpnpgy
osovinskih	osovinski	Agpnpgy
opterećenja	opterećenje	Ncnpg
prelazi	prelaziti	Vmr3s
1500	1500	Mdc
kg	kg	Ncmpg
ali	ali	Cc
ne	ne	Qz
prelazi	prelaziti	Vmr3s
3500	3500	Mdc
kg	kg	Cc
R3	ri	Agpfsny
Traktorska	traktorski	Agpfsny
prikolica	prikolica	Ncfsn
kojoj	koji	Pi-fsd
zbroj	zbroj	Ncmsan
najvećih	velik	Agsnpgy
tehničkih	tehnički	Agpnpgy
dopuštenih	dopustiti	Agpnpgy
osovinskih	osovinski	Agpnpgy
opterećenja	opterećenje	Ncnpg
prelazi	prelaziti	Vmr3s
3500	3500	Mdc
kg	kg	Ncmpg
ali	ali	Cc
ne	ne	Qz
prelazi	prelaziti	Vmr3s
21	21	Mdc
000	000	Mdc
kg	kg	Ncfpg
R4	ri	Agpfsny
Traktorska	traktorski	Agpfsny
prikolica	prikolica	Ncfsn
kojoj	koji	Pi-fsd
zbroj	zbroj	Ncmsan
najvećih	velik	Agsnpgy
tehničkih	tehnički	Agpnpgy
dopuštenih	dopustiti	Agpnpgy
osovinskih	osovinski	Agpnpgy
opterećenja	opterećenje	Ncnpg
prelazi	prelaziti	Vmr3s
21	21	Mdc
000	000	Mdc
kg	kg	Ncfpg
a	a	Cc
Traktorske	traktorski	Agpfpny
prikolice	prikolica	Ncfpn
s	sa	Si
maksimalnom	maksimalan	Agpfsiy
konstrukcijskom	konstrukcijski	Agpfsiy
brzinom	brzina	Ncfsi
manjom	mali	Agpfsiy
ili	ili	Cc
jednakom	jednak	Agpmsly
40	40	Mdc
km	km	Y
/	/	Z
h	h	Y
b	b	Y
Traktorske	traktorski	Agpfsgy
prikolice	prikolica	Ncfsg
s	sa	Si
maksimalnom	maksimalan	Agpfsiy
konstrukcijskom	konstrukcijski	Agpfsiy
brzinom	brzina	Ncfsi
većom	velik	Agcfsiy
od	od	Sg
40	40	Mdc
km	km	Y
/	/	Z
h	h	Y
Npr.	Npr.	Y
Rb3	rti	Appnsny
je	biti	Var3s
traktorska	traktorski	Agpfsny
prikolica	prikolica	Ncfsn
kojoj	koji	Pi-fsd
zbroj	zbroj	Ncmsan
najvećih	velik	Agsnpgy
tehničkih	tehnički	Agpnpgy
dopuštenih	dopustiti	Agpnpgy
osovinskih	osovinski	Agpnpgy
opterećenja	opterećenje	Ncnpg
prelazi	prelaziti	Vmr3s
3500	3500	Mdc
kg	kg	Ncmpg
,	,	Z
ali	ali	Cc
ne	ne	Qz
prelazi	prelaziti	Vmr3s
21	21	Mdc
000	000	Mdc
kg	kg	Ncmpg
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
je	biti	Var3s
konstruirana	konstruirati	Appfsny
da	da	Cs
je	biti	Var3s
vuče	vući	Vmr3s
traktor	traktor	Ncmsan
kategorije	kategorija	Ncfsg
T5	t5	Agpmsny
S	sa	Agpmsny
IZMJENJIVI	izmjenjiv	Agpmsny
RADNI	radni	Agpmsny
PRIKLJUČAK	priključak	Ncmsn
S1	s1	Agpmsny
Izmjenjivi	izmjenjiv	Agpmsny
radni	radni	Agpmsny
priključak	priključak	Ncmsn
za	za	Sa
uporabu	uporaba	Ncfsa
u	u	Sl
poljoprivredi	poljoprivreda	Ncfsl
ili	ili	Cc
šumarstvu	šumarstvo	Ncnsl
kojem	koji	Pi-msl
zbroj	zbroj	Ncmsan
najvećih	velik	Agsnpgy
tehničkih	tehnički	Agpnpgy
dopuštenih	dopustiti	Agpnpgy
osovinskih	osovinski	Agpnpgy
opterećenja	opterećenje	Ncnpg
ne	ne	Qz
prelazi	prelaziti	Vmr3s
3500	3500	Mdc
kg	kg	Ncmsn
S2	s2	Agpmsny
