starijih	star	Agcmpgy
od	od	Sg
65	65	Mdc
godina	godina	Ncfpg
te	te	Cc
zaštiti	zaštita	Ncfsl
mentalnog	mentalan	Agpnsgy
zdravlja	zdravlje	Ncnsg
sudjeluju	sudjelovati	Vmr3p
psiholog	psiholog	Ncmsn
,	,	Z
logoped	logoped	Ncmsn
,	,	Z
socijalni	socijalan	Agpmsny
pedagog	pedagog	Ncmsn
i	i	Cc
socijalni	socijalan	Agpmsny
radnik	radnik	Ncmsn
,	,	Z
odnosno	odnosno	Rgp
drugi	drugi	Mlompn
stručnjaci	stručnjak	Ncmpn
za	za	Sa
pojedina	pojedini	Agpnpay
specifična	specifičan	Agpnpay
pitanja	pitanje	Ncnpa
i	i	Cc
zaštitu	zaštita	Ncfsa
.	.	Z

Zdravstveni	zdravstven	Agpmpny
radnici	radnik	Ncmpn
u	u	Sl
zdravstvenoj	zdravstven	Agpfsly
djelatnosti	djelatnost	Ncfsl
na	na	Sl
primarnoj	primaran	Agpfsly
razini	razina	Ncfsl
u	u	Sl
timskom	timski	Agpmsly
radu	rad	Ncmsl
surađuju	surađivati	Vmr3p
sa	sa	Si
zdravstvenim	zdravstven	Agpmpiy
radnicima	radnik	Ncmpi
drugih	drugi	Mlofpg
specijalnosti	specijalnost	Ncfpg
u	u	Sl
specijalističko-konzilijarnoj	specijalističko-konzilijaran	Agpfsly
i	i	Cc
bolničkoj	bolnički	Agpfsly
zdravstvenoj	zdravstven	Agpfsly
zaštiti	zaštita	Ncfsl
.	.	Z

Centri	centar	Ncmpn
za	za	Sa
mentalno	mentalan	Agpnsay
zdravlje	zdravlje	Ncnsa
u	u	Sl
županijama	županija	Ncfpl
imaju	imati	Vmr3p
imenovane	imenovati	Agpmpay
koordinatore	koordinator	Ncmpa
za	za	Sa
međuresornu	međuresorni	Agpfsay
suradnju	suradnja	Ncfsa
u	u	Sl
području	područje	Ncnsl
obiteljskopravne	obiteljskopravna	Ncfsg
i	i	Cc
