stranicama	stranica	Ncfpl
Ministarstva	ministarstvo	Ncnsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
iz	iz	Sg
objektivnih	objektivan	Agpmpgy
razloga	razlog	Ncmpg
nije	biti	Var3s
moguće	moguć	Agpnsny
osigurati	osigurati	Vmn
prevoditelja	prevoditelj	Ncmsay
za	za	Sa
određeni	određen	Agpmsayn
jezik	jezik	Ncmsan
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
zatražiti	zatražiti	Vmn
pomoć	pomoć	Ncfsa
druge	drugi	Mlofsg
države	država	Ncfsg
članice	članica	Ncfsg
Europskoga	europski	Agpmsgy
gospodarskog	gospodarski	Agpmsgy
prostora	prostor	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Visina	visina	Ncfsn
plaćanja	plaćanje	Ncnsg
usluge	usluga	Ncfsg
prevođenja	prevođenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
odredit	odrediti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
izravnom	izravan	Agpfsiy
pogodbom	pogodba	Ncfsi
sukladno	sukladno	Rgp
propisu	propis	Ncmsl
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
javna	javan	Agpfsny
nabava	nabava	Ncfsn
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Usluge	usluga	Ncfpn
prevođenja	prevođenje	Ncnsg
moguće	moguć	Agpnsny
je	biti	Var3s
pružati	pružati	Vmn
putem	put	Sg
telekomunikacijskih	telekomunikacijski	Agpfpgy
ili	ili	Cc
audiovizualnih	audiovizualan	Agpmpgy
elektroničkih	elektronički	Agpmpgy
uređaja	uređaj	Ncmpg
.	.	Z

Jezik	jezik	Ncmsn
i	i	Cc
pismo	pismo	Ncnsa
u	u	Sl
postupku	postupak	Ncmsl

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Postupak	postupak	Ncmsn
odobrenja	odobrenje	Ncnsg
međunarodne	međunarodni	Agpfsgy
zaštite	zaštita	Ncfsg
vodi	voditi	Vmr3s
se	sebe	Px--sa
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
i	i	Cc
latiničnom	latinični	Agpnsly
pismu	pismo	Ncnsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
tražitelj	tražitelj	Ncmsn
ne	ne	Qz
razumije	razumjeti	Vmr3s
hrvatski	hrvatski	Agpmsayn
jezik	jezik	Ncmsan
,	,	Z
osigurat	osigurati	Vmn
će	htjeti	Var3s
mu	on	Pp3msd
se	sebe	Px--sa
prevoditelj	prevoditelj	Ncmsn
za	za	Sa
jezik	jezik	Ncmsan
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
opravdano	opravdati	Appnsny
pretpostavlja	pretpostavljati	Vmr3s
da	da	Cs
ga	on	Pp3msa
razumije	razumjeti	Vmr3s
i	i	Cc
na	na	Sl
kojem	koji	Pi-msl
može	moći	Vmr3s
komunicirati	komunicirati	Vmn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
moguće	moguć	Agpnsny
,	,	Z
tražitelju	tražitelj	Ncmsl
će	htjeti	Var3s
se	sebe	Px--sa
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
osigurati	osigurati	Vmn
prevoditelj	prevoditelj	Ncmsn
istog	isti	Agpmsgy
spola	spol	Ncmsg
radi	radi	Sg
osiguranja	osiguranje	Ncnsg
cjelovitog	cjelovit	Agpnsgy
obrazlaganja	obrazlaganje	Ncnsg
zahtjeva	zahtjev	Ncmpg
ili	ili	Cc
drugih	drugi	Mlompg
opravdanih	opravdati	Agpmpgy
razloga	razlog	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Tražitelj	tražitelj	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
surađivati	surađivati	Vmn
s	sa	Si
prevoditeljem	prevoditelj	Ncmsi
,	,	Z
osim	osim	Cs
ako	ako	Cs
se	sebe	Px--sa
ocjeni	ocjena	Ncfsl
da	da	Cs
bi	biti	Vaa3s
ta	taj	Pd-fsn
suradnja	suradnja	Ncfsn
mogla	moći	Vmp-sf
negativno	negativno	Rgp
utjecati	utjecati	Vmn
na	na	Sa
cjelovito	cjelovit	Agpnsay
obrazlaganje	obrazlaganje	Ncnsa
njegovog	njegov	Ps3msg
zahtjeva	zahtjev	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ako	ako	Cs
tražitelj	tražitelj	Ncmsn
ocjeni	ocjena	Ncfsl
da	da	Cs
bi	biti	Vaa3s
suradnja	suradnja	Ncfsn
s	sa	Si
prevoditeljem	prevoditelj	Ncmsi
mogla	moći	Vmp-sf
negativno	negativno	Rgp
utjecati	utjecati	Vmn
na	na	Sa
cjelovito	cjelovit	Agpnsay
obrazlaganje	obrazlaganje	Ncnsa
njegova	njegov	Ncmpg
zahtjeva	zahtjev	Ncmpg
te	te	Cc
odbije	odbiti	Vmr3s
surađivati	surađivati	Vmn
s	sa	Si
prevoditeljem	prevoditelj	Ncmsi
,	,	Z
obavijestit	obavijestiti	Vmn
će	htjeti	Var3s
o	o	Sl
tome	taj	Pd-nsl
Ministarstvo	ministarstvo	Ncnsa
navodeći	navoditi	Rr
pri	pri	Sl
tome	taj	Pd-nsl
obrazložene	obrazložiti	Agpmpay
razloge	razlog	Ncmpa
zbog	zbog	Sg
kojih	koji	Pi-mpg
odbija	odbijati	Vmr3s
surađivati	surađivati	Vmn
s	sa	Si
prevoditeljem	prevoditelj	Ncmsi
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
obrazložene	obrazložiti	Appfpny
razloge	razlog	Ncmpa
odbijanja	odbijanje	Ncnsg
suradnje	suradnja	Ncfsg
s	sa	Si
prevoditeljem	prevoditelj	Ncmsi
razmotriti	razmotriti	Vmn
te	te	Cc
će	htjeti	Var3s
o	o	Sl
svojoj	svoj	Px-fsl
odluci	odluka	Ncfsl
obavijestiti	obavijestiti	Vmn
tražitelja	tražitelj	Ncmsay
usmeno	usmeno	Rgp
na	na	Sa
zapisnik	zapisnik	Ncmsan
.	.	Z

Ako	ako	Cs
Ministarstvo	ministarstvo	Ncnsn
ocjeni	ocjena	Ncfsl
da	da	Cs
tražitelj	tražitelj	Ncmsn
neopravdano	neopravdano	Rgp
odbija	odbijati	Vmr3s
surađivati	surađivati	Vmn
