postaje	postajati	Vmr3s
proces	proces	Ncmsan
stalne	stalan	Agpfsgy
evolucije	evolucija	Ncfsg
.	.	Z

O	o	Sl
tome	taj	Pd-nsl
svjedoče	svjedočiti	Vmr3p
iskustva	iskustvo	Ncnsg
hrvatskih	hrvatski	Agpmpgy
vrtića	vrtić	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
posljednjih	posljednji	Agpfpgy
desetak	desetak	Mls
godina	godina	Ncfpg
predstavljali	predstavljati	Vmp-pm
predvodnike	predvodnik	Ncmpa
pozitivnih	pozitivan	Agpfpgy
promjena	promjena	Ncfpg
u	u	Sl
razvoju	razvoj	Ncmsl
kvalitetne	kvalitetan	Agpfsgy
odgojno-obrazovne	odgojno-obrazovan	Agpfsgy
prakse	praksa	Ncfsg
i	i	Cc
kurikuluma	kurikulum	Ncmsg
.	.	Z

Oni	oni	Pp3mpn
potvrđuju	potvrđivati	Vmr3p
da	da	Cs
je	biti	Var3s
Nacionalni	nacionalan	Agpmsny
kurikulum	kurikulum	Ncmsn
za	za	Sa
rani	ran	Agpmsayn
i	i	Cc
predškolski	predškolski	Agpmsayn
odgoj	odgoj	Ncmsan
i	i	Cc
obrazovanje	obrazovanje	Ncnsa
u	u	Sl
hrvatskoj	hrvatski	Agpfsly
praksi	praksa	Ncfsl
ostvariv	ostvariv	Agpmsnn
te	te	Cc
mogu	moći	Vmr3p
predstavljati	predstavljati	Vmn
inspiraciju	inspiracija	Ncfsa
i	i	Cc
putokaz	putokaz	Ncmsan
drugim	drugi	Mlompl
vrtićima	vrtić	Ncmpl
u	u	Sl
procesu	proces	Ncmsl
njegove	njegov	Ps3fsg
implementacije	implementacija	Ncfsg
.	.	Z

Rani	ran	Agpmpny
i	i	Cc
predškolski	predškolski	Agpmsayn
odgoj	odgoj	Ncmsan
i	i	Cc
obrazovanje	obrazovanje	Ncnsa
te	te	Cc
skrb	skrb	Ncfsn
o	o	Sl
djeci	dijete	Ncnpl
dio	dio	Ncmsan
su	biti	Var3p
sustava	sustav	Ncmsg
odgoja	odgoj	Ncmsg
i	i	Cc
obrazovanja	obrazovanje	Ncnsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
namijenjenoga	namijenjen	Ncmsg
djeci	dijete	Ncnpd
u	u	Sl
dobi	doba	Ncfsl
od	od	Sg
navršenih	navršiti	Agpmpgy
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
do	do	Sg
polaska	polazak	Ncmsg
u	u	Sa
osnovnu	osnovan	Agpfsay
školu	škola	Ncfsa
.	.	Z

Godina	godina	Ncfsn
prije	prije	Sg
polaska	polazak	Ncmsg
u	u	Sa
školu	škola	Ncfsa
je	biti	Var3s
obvezna	obvezan	Agpfsny
godina	godina	Ncfsn
predškolskog	predškolski	Agpmsgy
odgoja	odgoj	Ncmsg
i	i	Cc
obrazovanja	obrazovanje	Ncnsg
za	za	Sa
svu	sav	Agpfsay
djecu	dijete	Ncnpa
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
