izvanrednim	izvanredan	Agpfpiy
okolnostima	okolnost	Ncfpi
uvjetovanim	uvjetovati	Appfply
elementarnim	elementaran	Agpfply
ili	ili	Cc
drugim	drugi	Mlofpl
nepogodama	nepogoda	Ncfpl
ili	ili	Cc
u	u	Sl
drugim	drugi	Mlofpl
iznimnim	izniman	Agpfply
situacijama	situacija	Ncfpl
osoba	osoba	Ncfpg
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
i	i	Cc
u	u	Sl
policijskoj	policijski	Agpfsly
upravi	uprava	Ncfsl
odnosno	odnosno	Rgp
policijskoj	policijski	Agpfsly
postaji	postaja	Ncfsl
koja	koji	Pi-fsn
nije	biti	Var3s
mjesno	mjesno	Rgp
nadležna	nadležan	Agpfsny
prema	prema	Sl
mjestu	mjesto	Ncnsl
njezina	njezin	Ps3nsg
prebivališta	prebivalište	Ncnsg
ili	ili	Cc
boravišta	boravište	Ncnsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Osoba	osoba	Ncfsn
koja	koji	Pi-fsn
nema	nemati	Vmr3s
prijavljeno	prijaviti	Agpnsay
prebivalište	prebivalište	Ncnsa
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
zahtjev	zahtjev	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
podnosi	podnositi	Vmr3s
bilo	bilo	Qo
kojoj	koji	Pi-fsl
policijskoj	policijski	Agpfsly
upravi	uprava	Ncfsl
odnosno	odnosno	Rgp
policijskoj	policijski	Agpfsly
postaji	postaja	Ncfsl
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
izdavanje	izdavanje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
osoba	osoba	Ncfsn
je	biti	Var3s
dužna	dužan	Agpfsny
dati	dati	Vmn
točne	točan	Agpfpay
i	i	Cc
istinite	istinit	Agpmpay
podatke	podatak	Ncmpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Nakon	nakon	Sg
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
izdavanje	izdavanje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
osobni	osoban	Agpmpny
podaci	podatak	Ncmpn
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
ispisuju	ispisivati	Vmr3p
se	sebe	Px--sa
na	na	Sl
propisanom	propisati	Agpmsly
obrascu	obrazac	Ncmsl
iz	iz	Sg
evidencija	evidencija	Ncfpg
Ministarstva	ministarstvo	Ncnsg
,	,	Z
koje	koji	Pi-fpn
se	sebe	Px--sa
vode	voditi	Vmr3p
u	u	Sl
informacijskom	informacijski	Agpmsly
sustavu	sustav	Ncmsl
,	,	Z
a	a	Cc
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
svojim	svoj	Px-msi
potpisom	potpis	Ncmsi
na	na	Sl
obrascu	obrazac	Ncmsl
potvrđuje	potvrđivati	Vmr3s
točnost	točnost	Ncfsa
ispisanih	ispisan	Agpmpgy
podataka	podatak	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
izdavanje	izdavanje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
koja	koji	Pi-fsn
sadržava	sadržavati	Vmr3s
jedan	jedan	Mlcmsn
ili	ili	Cc
dva	dva	Mlc
certifikata	certifikat	Ncmsg
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
s	sa	Si
davateljem	davatelj	Ncmsi
usluge	usluga	Ncfsg
certificiranja	certificiranje	Ncnsg
sklopiti	sklopiti	Vmn
ugovor	ugovor	Ncmsan
o	o	Sl
obavljanju	obavljanje	Ncnsl
usluga	usluga	Ncfpg
certificiranja	certificiranje	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Protiv	protiv	Sg
odluke	odluka	Ncfsg
kojom	koji	Pi-fsi
se	sebe	Px--sa
odbija	odbijati	Vmr3s
zahtjev	zahtjev	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
žalba	žalba	Ncfsn
nije	biti	Var3s
dopuštena	dopustiti	Appfsny
,	,	Z
ali	ali	Cc
se	sebe	Px--sa
može	moći	Vmr3s
pokrenuti	pokrenuti	Vmn
upravni	upravan	Agpmsayn
spor	spor	Ncmsan
.	.	Z

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
osoba	osoba	Ncfsn
podnosi	podnositi	Vmr3s
osobno	osobno	Rgp
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
za	za	Sa
dijete	dijete	Ncnsa
odnosno	odnosno	Rgp
osobu	osoba	Ncfsa
lišenu	lišiti	Appfsay
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
u	u	Sl
dijelu	dio	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
osobna	osoban	Agpnpay
stanja	stanje	Ncnpa
podnosi	podnositi	Vmr3s
zakonski	zakonski	Agpmsny
zastupnik	zastupnik	Ncmsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Dijete	dijete	Ncnsn
do	do	Sg
navršenih	navršiti	Agpfsgy
12	12	Mdc
godina	godina	Ncfpg
ne	ne	Qz
mora	morati	Vmr3s
biti	biti	Van
nazočno	nazočan	Agpnsny
prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
izdavanje	izdavanje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Zakonski	zakonski	Agpmsny
zastupnik	zastupnik	Ncmsn
djeteta	dijete	Ncnsg
može	moći	Vmr3s
biti	biti	Van
roditelj	roditelj	Ncmsn
,	,	Z
skrbnik	skrbnik	Ncmsn
ili	ili	Cc
osoba	osoba	Ncfsn
kojoj	koji	Pi-fsd
je	biti	Var3s
