grupe	grupa	Ncfpa
birača	birač	Ncmpg
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
prijavljivanja	prijavljivanje	Ncnsg
većeg	velik	Agcmsgy
broja	broj	Ncmsg
promatrača	promatrač	Ncmpg
(	(	Z
više	mnogo	Rgc
od	od	Sg
20	20	Mdc
promatrača	promatrač	Ncmpg
po	po	Sl
izbornoj	izborni	Agpfsly
jedinici	jedinica	Ncfsl
)	)	Z
,	,	Z
Državno	državni	Agpnsny
izborno	izborni	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
omogućuje	omogućivati	Vmr3s
sastavljanje	sastavljanje	Ncnsa
popisa	popis	Ncmpg
promatrača	promatrač	Ncmpg
putem	put	Sg
aplikacije	aplikacija	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
na	na	Sl
internetskoj	internetski	Agpfsly
stranici	stranica	Ncfsl
Državnog	državni	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
www.izbori.hr	www.izbori.hr	X
.	.	Z

Za	za	Sa
pristupanje	pristupanje	Ncnsa
istoj	isti	Agpfsly
potrebno	potreban	Agpnsny
je	biti	Var3s
putem	put	Sg
elektroničke	elektronički	Agpfsgy
pošte	pošta	Ncfsg
od	od	Sg
Državnog	državni	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
dip@izbori.hr	dip@izbori.hr	X
zatražiti	zatražiti	Vmn
lozinku	lozinka	Ncfsa
.	.	Z

Službenu	služben	Agpfsay
iskaznicu	iskaznica	Ncfsa
promatraču	promatrač	Ncmsd
izdaje	izdaja	Ncfsg
i	i	Cc
uručuje	uručivati	Vmr3s
općinsko	općinski	Agpnsny
ili	ili	Cc
gradsko	gradski	Agpnsny
izborno	izborni	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
za	za	Sa
koje	koji	Pi-nsa
je	biti	Var3s
prijavljen	prijaviti	Appmsnn
kao	kao	Cs
promatrač	promatrač	Ncmsn
.	.	Z

Promatrač	promatrač	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
imati	imati	Vmn
vidljivo	vidljiv	Agpnsny
istaknutu	istaknuti	Agpfsay
službenu	služben	Agpfsay
iskaznicu	iskaznica	Ncfsa
cijelo	cijel	Agpnsay
vrijeme	vrijeme	Ncnsa
promatranja	promatranje	Ncnsg
izbornog	izborni	Agpmsgy
postupka	postupak	Ncmsg
i	i	Cc
rada	rad	Ncmsg
izbornih	izborni	Agpnpgy
tijela	tijelo	Ncnpg
.	.	Z

Ako	ako	Cs
nadležno	nadležan	Agpnsny
izborno	izborni	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
promatraču	promatrač	Ncmsd
nije	biti	Var3s
izdalo	izdati	Vmp-sn
iskaznicu	iskaznica	Ncfsa
,	,	Z
promatrač	promatrač	Ncmsn
će	htjeti	Var3s
se	sebe	Px--sa
identificirati	identificirati	Vmn
rješenjem	rješenje	Ncnsi
nadležnog	nadležan	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
izborne	izborni	Agpfsgy
jedinice	jedinica	Ncfsg
i	i	Cc
javnom	javan	Agpfsiy
ispravom	isprava	Ncfsi
na	na	Sl
temelju	temelj	Ncmsl
koje	koji	Pi-mpa
se	sebe	Px--sa
može	moći	Vmr3s
nedvojbeno	nedvojbeno	Rgp
utvrditi	utvrditi	Vmn
identitet	identitet	Ncmsan
promatrača	promatrač	Ncmpg
.	.	Z

3.	3.	Mdo
Promatrači	promatrač	Ncmpn
nevladinih	nevladin	Agpfpgy
udruga	udruga	Ncfpg

Nevladine	nevladin	Agpfpny
udruge	udruga	Ncfpn
mogu	moći	Vmr3p
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
promatranje	promatranje	Ncnsa
izbora	izbor	Ncmpg
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
odluke	odluka	Ncfsg
o	o	Sl
raspisivanju	raspisivanje	Ncnsl
izbora	izbor	Ncmpg
.	.	Z

Uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
promatranje	promatranje	Ncnsa
izbora	izbor	Ncmpg
nevladina	nevladin	Agpfsny
udruga	udruga	Ncfsn
će	htjeti	Var3s
dostaviti	dostaviti	Vmn
presliku	preslika	Ncfsa
rješenja	rješenje	Ncnsg
o	o	Sl
upisu	upis	Ncmsl
u	u	Sa
registar	registar	Ncmsan
udruga	udruga	Ncfpg
.	.	Z

Zahtjev	zahtjev	Ncmsn
za	za	Sa
promatranje	promatranje	Ncnsa
izbora	izbor	Ncmpg
i	i	Cc
popis	popis	Ncmsn
promatrača	promatrač	Ncmpg
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
nadležnom	nadležan	Agpnsdy
izbornom	izborni	Agpnsly
povjerenstvu	povjerenstvo	Ncnsl
izborne	izborni	Agpfsgy
jedinice	jedinica	Ncfsg
na	na	Sl
čijem	čiji	Pi-nsl
se	sebe	Px--sa
području	područje	Ncnsl
namjeravaju	namjeravati	Vmr3p
promatrati	promatrati	Vmn
izbori	izbor	Ncmpn
,	,	Z
najkasnije	kasno	Rgs
5	5	Mdc
dana	dan	Ncmpg
prije	prije	Sg
dana	dan	Ncmsg
održavanja	održavanje	Ncnsg
izbora	izbor	Ncmpg
.	.	Z

Obrazac	obrazac	Ncmsn
zahtjeva	zahtjev	Ncmpg
za	za	Sa
promatranje	promatranje	Ncnsa
izbora	izbor	Ncmpg
dostupan	dostupan	Agpmsnn
je	biti	Var3s
na	na	Sl
internetskoj	internetski	Agpfsly
stranici	stranica	Ncfsl
Državnog	državni	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
www.izbori.hr	www.izbori.hr	X
.	.	Z

Popis	popis	Ncmsn
promatrača	promatrač	Ncmpg
treba	trebati	Vmr3s
sadržavati	sadržavati	Vmn
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
promatrača	promatrač	Ncmpg
,	,	Z
OIB	OIB	Npmsn
i	i	Cc
naziv	naziv	Ncmsn
nevladine	nevladin	Agpfsgy
udruge	udruga	Ncfsg
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
prijavljivanja	prijavljivanje	Ncnsg
većeg	velik	Agcmsgy
broja	broj	Ncmsg
promatrača	promatrač	Ncmpg
(	(	Z
više	mnogo	Rgc
od	od	Sg
20	20	Mdc
promatrača	promatrač	Ncmpg
po	po	Sl
izbornoj	izborni	Agpfsly
jedinici	jedinica	Ncfsl
)	)	Z
,	,	Z
Državno	državni	Agpnsny
izborno	izborni	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
omogućuje	omogućivati	Vmr3s
sastavljanje	sastavljanje	Ncnsa
popisa	popis	Ncmpg
promatrača	promatrač	Ncmpg
putem	put	Sg
aplikacije	aplikacija	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
na	na	Sl
internetskoj	internetski	Agpfsly
stranici	stranica	Ncfsl
Državnog	državni	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
www.izbori.hr	www.izbori.hr	X
.	.	Z

Za	za	Sa
pristupanje	pristupanje	Ncnsa
istoj	isti	Agpfsly
potrebno	potreban	Agpnsny
je	biti	Var3s
putem	put	Sg
elektroničke	elektronički	Agpfsgy
pošte	pošta	Ncfsg
od	od	Sg
Državnog	državni	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
dip@izbori.hr	dip@izbori.hr	X
zatražiti	zatražiti	Vmn
lozinku	lozinka	Ncfsa
.	.	Z

Službenu	služben	Agpfsay
iskaznicu	iskaznica	Ncfsa
promatraču	promatrač	Ncmsd
izdaje	izdaja	Ncfsg
i	i	Cc
uručuje	uručivati	Vmr3s
općinsko	općinski	Agpnsny
ili	ili	Cc
gradsko	gradski	Agpnsny
izborno	izborni	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
za	za	Sa
koje	koji	Pi-nsa
je	biti	Var3s
prijavljen	prijaviti	Appmsnn
kao	kao	Cs
promatrač	promatrač	Ncmsn
.	.	Z

Promatrač	promatrač	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
imati	imati	Vmn
vidljivo	vidljiv	Agpnsny
istaknutu	istaknuti	Agpfsay
službenu	služben	Agpfsay
iskaznicu	iskaznica	Ncfsa
cijelo	cijel	Agpnsay
vrijeme	vrijeme	Ncnsa
