informacijskim	informacijski	Agpfpiy
tehnologijama	tehnologija	Ncfpi
–	–	Z
APIS	APIS	Npmsn
IT	IT	Npmsn
d.o.o.	d.o.o.	Y

Zadužuju	zaduživati	Vmr3p
se	sebe	Px--sa
čelnici	čelnik	Ncmpn
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
da	da	Cs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
tri	tri	Mlc
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
donošenja	donošenje	Ncnsg
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
odrede	odrediti	Vmr3p
predstavnike	predstavnik	Ncmpa
ministarstava	ministarstvo	Ncnpg
i	i	Cc
državnog	državni	Agpmsgy
ureda	ured	Ncmsg
na	na	Sl
razini	razina	Ncfsl
dužnosnika	dužnosnik	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
rukovodećeg	rukovodeći	Agpmsgy
državnog	državni	Agpmsgy
službenika	službenik	Ncmsg
,	,	Z
a	a	Cc
čelnici	čelnik	Ncmpn
pravnih	pravni	Agpfpgy
osoba	osoba	Ncfpg
predstavnike	predstavnik	Ncmpa
pravnih	pravni	Agpfpgy
osoba	osoba	Ncfpg
više	mnogo	Rgc
rukovodeće	rukovodeći	Agpfsgy
razine	razina	Ncfsg
koji	koji	Pi-mpn
će	htjeti	Var3p
biti	biti	Van
članovi	član	Ncmpn
Povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
informatizaciju	informatizacija	Ncfsa
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
.	.	Z

XVII	xvii	Mrc
.	.	Z

Zadaće	zadaća	Ncfpn
Povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
informatizaciju	informatizacija	Ncfsa
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
su	biti	Var3p
:	:	Z

–	–	Pq3n-a
pripremiti	pripremiti	Vmn
akcijski	akcijski	Agpmsayn
plan	plan	Ncmsan
kojim	koji	Pi-msi
će	htjeti	Var3s
se	sebe	Px--sa
detaljnije	detaljno	Rgc
utvrditi	utvrditi	Vmn
aktivnosti	aktivnost	Ncfsd
i	i	Cc
rokovi	rok	Ncmpn
za	za	Sa
provedbu	provedba	Ncfsa
mjera	mjera	Ncfpg
iz	iz	Sg
točke	točka	Ncfsg
V.	va	Ncfsg
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
i	i	Cc
dostaviti	dostaviti	Vmn
ga	on	Pp3msa
Vladi	vlada	Ncfsd
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
na	na	Sa
usvajanje	usvajanje	Ncnsa

–	–	Z
mjesečno	mjesečno	Rgp
izvještavati	izvještavati	Vmn
u	u	Sl
pisanom	pisan	Agpmsly
obliku	oblik	Ncmsl
potpredsjednike	potpredsjednik	Agpfsgy
Vlade	vlada	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
o	o	Sl
rezultatima	rezultat	Ncmpl
provedbe	provedba	Ncfsg
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
.	.	Z

Akcijski	akcijski	Agpmsny
plan	plan	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
Vlada	vlada	Ncfsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
usvojit	usvojiti	Vmn
će	htjeti	Var3s
do	do	Sg
15.	15.	Mdo
travnja	travanj	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
.	.	Z

Predsjednik	predsjednik	Ncmsn
Povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
informatizaciju	informatizacija	Ncfsa
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
na	na	Sa
sjednice	sjednica	Ncfpa
i	i	Cc
/	/	Z
ili	ili	Cc
u	u	Sa
rad	rad	Ncmsan
Povjerenstva	povjerenstvo	Ncnsg
može	moći	Vmr3s
po	po	Sl
potrebi	potreba	Ncfsl
uključiti	uključiti	Vmn
i	i	Cc
predstavnike	predstavnik	Ncmpa
drugih	drugi	Mlofpg
državnih	državni	Agpmpgy
i	i	Cc
javnopravnih	javnopravni	Agpnpgy
tijela	tijelo	Ncnpg
,	,	Z
stručnjake	stručnjak	Ncmpa
iz	iz	Sg
različitih	različit	Agpnpgy
područja	područje	Ncnpg
,	,	Z
osim	osim	Sg
predstavnika	predstavnik	Ncmpg
tijela	tijelo	Ncnsg
iz	iz	Sg
točke	točka	Ncfsg
XVI	XVI	Mro
.	.	Z
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
.	.	Z

XVIII	xviii	Mrc
.	.	Z

Stručne	stručan	Agpfpny
i	i	Cc
tehničke	tehnički	Agpmpay
poslove	posao	Ncmpa
za	za	Sa
potrebe	potreba	Ncfpa
rada	rad	Ncmsg
Povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
informatizaciju	informatizacija	Ncfsa
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
obavljat	obavljati	Vmn
će	htjeti	Var3s
Hrvatska	hrvatski	Agpfsny
akademska	akademski	Agpfsny
i	i	Cc
istraživačka	istraživački	Agpfsny
mreža	mreža	Ncfsn
–	–	Z
CARNet	CARNet	Npmsn
.	.	Z

XIX	xix	Mrc
.	.	Z

S	sa	Si
ciljem	cilj	Ncmsi
osiguranja	osiguranje	Ncnsg
informacija	informacija	Ncfpg
potrebnih	potreban	Agpfpgy
za	za	Sa
ispunjenje	ispunjenje	Ncnsa
obveza	obveza	Ncfpg
iz	iz	Sg
točaka	točka	Ncfpg
IX	IX	Mrc
.	.	Z
,	,	Z
XIII	XIII	Qr
.	.	Z
i	i	Cc
XVII	XVII	Npmsn
.	.	Z
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
,	,	Z
predsjednici	predsjednik	Ncmpn
povjerenstava	povjerenstvo	Ncnpg
ovlašćuju	ovlašćivati	Vmr3p
se	sebe	Px--sa
u	u	Sa
ime	ime	Ncnsa
Vlade	vlada	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
obavljati	obavljati	Vmn
sljedeće	sljedeći	Agpmpay
poslove	posao	Ncmpa
:	:	Z

–	–	Z
prikupljati	prikupljati	Vmn
sve	sav	Agpfpay
relevantne	relevantan	Agpfpay
informacije	informacija	Ncfpa
,	,	Z
dokumentaciju	dokumentacija	Ncfsa
,	,	Z
zakonske	zakonski	Agpfsgy
i	i	Cc
podzakonske	podzakonski	Agpmpay
propise	propis	Ncmpa
,	,	Z
analize	analiza	Ncfpa
,	,	Z
izvješća	izvješće	Ncnsg
i	i	Cc
druge	drugi	Agpmpay
podatke	podatak	Ncmpa
vezane	vezan	Agpmpay
uz	uz	Sa
djelokrug	djelokrug	Ncmsan
rada	rad	Ncmsg
povjerenstava	povjerenstvo	Ncnpg

–	–	Z
obavljati	obavljati	Vmn
i	i	Cc
koordinirati	koordinirati	Vmn
prikupljanje	prikupljanje	Ncnsa
,	,	Z
analiziranje	analiziranje	Ncnsa
i	i	Cc
obradu	obrada	Ncfsa
svih	sav	Agpmpgy
primljenih	primljen	Agpmpgy
podataka	podatak	Ncmpg
.	.	Z

XX	xx	Mrc
.	.	Z

Članovi	član	Ncmpn
povjerenstava	povjerenstvo	Ncnpg
obvezuju	obvezivati	Vmr3p
se	sebe	Px--sa
Povjerenstvu	povjerenstvo	Ncnsd
dostaviti	dostaviti	Vmn
sve	sav	Agpmpay
zatražene	zatražiti	Agpmpay
podatke	podatak	Ncmpa
i	i	Cc
u	u	Sl
zatraženom	zatražiti	Agpmsly
formatu	format	Ncmsl
u	u	Sl
najkraćem	kratak	Agpmsly
mogućem	moguć	Agpmsly
roku	rok	Ncmsl
,	,	Z
ali	ali	Cc
ne	ne	Qz
dužem	dug	Vmr1s
od	od	Sg
5	5	Mdc
radnih	radni	Agpmpgy
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
primanja	primanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
dostavu	dostava	Ncfsa
.	.	Z

XXI	xxi	Mrc
.	.	Z

Ova	ovaj	Pd-fsn
Odluka	odluka	Ncfsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
danom	dan	Ncmsi
