denominiranog	denominirati	Appmsgy
u	u	Sl
kunama	kuna	Ncfpl
s	sa	Si
valutnom	valutni	Agpfsiy
klauzulom	klauzula	Ncfsi
u	u	Sl
CHF	CH	Npmsl
uključujući	uključivati	Rr
sve	sav	Agpfpay
njegove	njegov	Ncfpa
izmjene	izmjena	Ncfpa
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
kojeg	koji	Pi-msg
su	biti	Var3p
izračunati	izračunati	Appmpny
obroci	obrok	Ncmpn
odnosno	odnosno	Rgp
anuiteti	anuitet	Ncmpn
u	u	Sl
CHF	cha	Ncfsl
i	i	Cc
u	u	Sl
kunama	kuna	Ncfpl
s	sa	Si
valutnom	valutni	Agpfsiy
klauzulom	klauzula	Ncfsi
u	u	Sl
CHF	CH	Npmsl
,	,	Z
ne	ne	Qz
zamijeni	zamijeniti	Vmr3s
novim	nov	Agpmsiy
otplatnim	otplatni	Agpmsiy
planom	plan	Ncmsi
izračunatim	izračunati	Appmsiy
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
19.	19.	Mdo
c	C	Si
stavkom	stavak	Ncmsi
1.	1.	Mdo
točkama	točka	Ncfpi
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
Zakona	zakon	Ncmsg
i	i	Cc
na	na	Sl
temelju	temelj	Ncmsl
kojeg	koji	Pi-msg
se	sebe	Px--sa
izračunavaju	izračunavati	Vmr3p
novi	nov	Agpmpny
obroci	obrok	Ncmpn
odnosno	odnosno	Rgp
anuiteti	anuitet	Ncmpn
u	u	Sa
EUR	EUR	Ncmsan
i	i	Cc
u	u	Sl
kunama	kuna	Ncfpl
s	sa	Si
valutnom	valutni	Agpfsiy
klauzulom	klauzula	Ncfsi
u	u	Sa
EUR	EUR	Npmsan
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
sve	sav	Agpfpay
izmjene	izmjena	Ncfpa
ugovornih	ugovoran	Agpmpgy
uvjeta	uvjet	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
iznos	iznos	Ncmsan
,	,	Z
namjenu	namjena	Ncfsa
i	i	Cc
rokove	rok	Ncmpa
dospijeća	dospijeće	Ncnsg
glavnice	glavnica	Ncfsg
te	te	Cc
iznos	iznos	Ncmsan
,	,	Z
vrstu	vrsta	Ncfsa
i	i	Cc
razdoblje	razdoblje	Ncnsa
promjene	promjena	Ncfsg
kamatnih	kamatan	Agpfpgy
stopa	stopa	Ncfpg
i	i	Cc
ostale	ostali	Agpfpay
promjene	promjena	Ncfpa
