Prijavi	prijava	Ncfsl
za	za	Sa
pisani	pisan	Agpmsayn
dio	dio	Ncmsan
specijalističkog	specijalistički	Agpmsgy
ispita	ispit	Ncmsg
prilaže	prilagati	Vmr3s
se	sebe	Px--sa
preslik	preslik	Ncmsn
rješenja	rješenje	Ncnsg
o	o	Sl
odobrenju	odobrenje	Ncnsl
specijalizacije	specijalizacija	Ncfsg
,	,	Z
preslik	preslik	Sg
važećeg	važeći	Agpnsgy
odobrenja	odobrenje	Ncnsg
za	za	Sa
samostalan	samostalan	Agpmsann
rad	rad	Ncmsan
(	(	Z
licenca	licenca	Ncfsn
)	)	Z
,	,	Z
preslika	preslika	Ncfsn
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
,	,	Z
putovnice	putovnica	Ncfpa
,	,	Z
rodnog	rodan	Agpmsgy
lista	list	Ncmsg
ili	ili	Cc
domovnice	domovnica	Ncfsg
te	te	Cc
presliku	preslika	Ncfsa
popunjene	popuniti	Agpfpay
knjižice	knjižica	Ncfpa
o	o	Sl
specijalističkom	specijalistički	Agpnsly
usavršavanju	usavršavanje	Ncnsl
doktora	doktor	Ncmsg
medicine	medicina	Ncfsg
,	,	Z
preslika	preslika	Ncfsn
popunjenog	popuniti	Agpmsgy
dnevnika	dnevnik	Ncmsg
rada	rad	Ncmsg
doktora	doktor	Ncmsg
medicine	medicina	Ncfsg
na	na	Sl
specijalističkom	specijalistički	Agpnsly
usavršavanju	usavršavanje	Ncnsl
i	i	Cc
preslika	preslika	Ncfsn
dokumentacije	dokumentacija	Ncfsg
o	o	Sl
ocjenjivanju	ocjenjivanje	Ncnsl
dijelova	dio	Ncmpg
programa	program	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

U	u	Sl
članku	članak	Ncmsl
22.	22.	Mdo
u	u	Sl
stavcima	stavak	Ncmpl
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
,	,	Z
4.	4.	Mdo
i	i	Cc
5.	5.	Mdo
,	,	Z
u	u	Sl
članku	članak	Ncmsl
23.	23.	Mdo
u	u	Sl
stavcima	stavak	Ncmpl
1.	1.	Mdo
i	i	Cc
