razine	razina	Ncfpa
i	i	Cc
opsega	opseg	Ncmpg
grupnog	grupni	Agpmsgy
nadzora	nadzor	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člancima	članak	Ncmpi
298.	298.	Mdo
–	–	Z
302.	302.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

2.	2.	Mdo
određivanje	određivanje	Ncnsa
nadzornog	nadzorni	Agpnsgy
tijela	tijelo	Ncnsg
grupe	grupa	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
329.	329.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

3.	3.	Mdo
uspostavljanje	uspostavljanje	Ncnsa
kolegija	kolegij	Ncmpg
nadzornih	nadzorni	Agpnpgy
tijela	tijelo	Ncnpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
330.	330.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
od	od	Sg
1.	1.	Mdo
srpnja	srpanj	Ncmsg
2015.	2015.	Mdo
na	na	Sa
zahtjev	zahtjev	Ncmsan
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosno	Rgp
društva	društvo	Ncnsg
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
donijeti	donijeti	Vmn
rješenje	rješenje	Ncnsa
kojim	koji	Pi-nsi
odlučuje	odlučivati	Vmr3s
o	o	Sl
izdavanju	izdavanje	Ncnsl
odobrenja	odobrenje	Ncnsg
odnosno	odnosno	Rgp
davanju	davanje	Ncnsd
suglasnosti	suglasnost	Ncfsg
za	za	Sa
:	:	Z

1.	1.	Mdo
umanjenje	umanjenje	Ncnsa
bilo	bilo	Qo
kojeg	koji	Pi-nsg
sudjelovanja	sudjelovanje	Ncnsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
313.	313.	Mdo
stavkom	stavak	Ncmsi
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

2.	2.	Mdo
određivanje	određivanje	Ncnsa
izbora	izbor	Ncmpg
metode	metoda	Ncfsg
izračuna	izračun	Ncmsg
solventnosti	solventnost	Ncfsg
grupe	grupa	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
305.	305.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

3.	3.	Mdo
istovjetnosti	istovjetnost	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
