odnose	odnositi	Vmr3p
na	na	Sa
te	taj	Agpmpay
ugovore	ugovor	Ncmpa
o	o	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
a	a	Cc
taj	taj	Pd-msn
zahtjev	zahtjev	Ncmsn
ne	ne	Qz
predstavlja	predstavljati	Vmr3s
prethodni	prethodan	Agpmsayn
uvjet	uvjet	Ncmsan
koji	koji	Pi-msn
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
mora	morati	Vmr3s
ispuniti	ispuniti	Vmn
da	da	Cs
bi	biti	Vaa3s
moglo	moći	Vmp-sn
poslovati	poslovati	Vmn
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
djelatnost	djelatnost	Ncfsa
osiguranja	osiguranje	Ncnsg
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
dužno	dužan	Agpnsny
je	biti	Var3s
Agenciji	agencija	Ncfsl
,	,	Z
na	na	Sa
njezin	njezin	Agpmsayn
zahtjev	zahtjev	Ncmsan
,	,	Z
dostaviti	dostaviti	Vmn
obavijest	obavijest	Ncfsn
o	o	Sl
namjeravanom	namjeravati	Agpnsly
povećanju	povećanje	Ncnsl
premijskih	premijski	Agpfpgy
stopa	stopa	Ncfpg
u	u	Sl
sklopu	sklop	Ncmsl
općeg	opći	Agpmsgy
sustava	sustav	Ncmsg
nadzora	nadzor	Ncmsg
premija	premija	Ncfpg
osiguranja	osiguranje	Ncnsg
.	.	Z

Društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
koja	koji	Pi-npn
nisu	biti	Var3p
usklađena	uskladiti	Appfsny
s	sa	Si
propisima	propis	Ncmpi

Članak	članak	Ncmsn
73.	73.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kad	kad	Cs
Agencija	agencija	Ncfsn
utvrdi	utvrditi	Vmr3s
da	da	Cs
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
iz	iz	Sg
druge	drugi	Mlofsg
države	država	Ncfsg
članice	članica	Ncfsg
koje	koji	Pi-fpa
ima	imati	Vmr3s
podružnicu	podružnica	Ncfsa
ili	ili	Cc
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
djelatnost	djelatnost	Ncfsn
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
slobodom	sloboda	Ncfsi
pružanja	pružanje	Ncnsg
usluga	usluga	Ncfpg
na	na	Sl
njezinu	njezin	Agpnsly
državnom	državni	Agpnsly
području	područje	Ncnsl
nije	biti	Var3s
usklađeno	uskladiti	Appnsny
sa	sa	Si
zakonskim	zakonski	Agpmsiy
i	i	Cc
podzakonskim	podzakonski	Agpmpiy
propisima	propis	Ncmpi
koji	koji	Pi-mpn
se	sebe	Px--sa
na	na	Sa
njega	on	Pp3msa
primjenjuju	primjenjivati	Vmr3p
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
zahtijevati	zahtijevati	Vmn
da	da	Cs
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
otkloni	otkloniti	Vmr3s
takvu	takav	Pd-fsa
nepravilnost	nepravilnost	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kad	kad	Cs
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
propusti	propustiti	Vmr3s
poduzeti	poduzeti	Vmn
potrebne	potreban	Agpfpay
aktivnosti	aktivnost	Ncfpa
,	,	Z
Agencija	agencija	Ncfsn
o	o	Sl
navedenom	naveden	Agpmsly
obavješćuje	obavješćivati	Vmr3s
nadležno	nadležan	Agpnsay
nadzorno	nadzorni	Agpnsay
tijelo	tijelo	Ncnsa
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
iz	iz	Sg
druge	drugi	Mlofsg
države	država	Ncfsg
članice	članica	Ncfsg
koje	koji	Pi-fsg
će	htjeti	Var3s
poduzeti	poduzeti	Vmn
što	što	Pi3n-n
je	biti	Var3s
prije	prije	Rgp
moguće	moguć	Agpnsny
sve	sav	Agpnsny
potrebne	potreban	Agpfpay
mjere	mjera	Ncfpa
kako	kako	Cs
bi	biti	Vaa3s
osiguralo	osigurati	Vmp-sn
da	da	Cs
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
otkloni	otkloniti	Vmr3s
navedenu	naveden	Agpfsay
nepravilnost	nepravilnost	Ncfsa
i	i	Cc
o	o	Sl
tome	taj	Pd-nsl
obavijestiti	obavijestiti	Vmn
Agenciju	agencija	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kad	kad	Rgp
,	,	Z
unatoč	unatoč	Agpfply
mjerama	mjera	Ncfpl
koje	koji	Pi-fpa
poduzme	poduzeti	Vmr3s
nadležno	nadležan	Agpnsay
nadzorno	nadzorni	Agpnsay
tijelo	tijelo	Ncnsa
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
iz	iz	Sg
druge	drugi	Mlofsg
države	država	Ncfsg
članice	članica	Ncfsg
ili	ili	Cc
zbog	zbog	Sg
toga	taj	Pd-nsg
što	što	Cs
su	biti	Var3p
te	taj	Pd-fpn
mjere	mjera	Ncfpn
bile	biti	Vap-pf
neodgovarajuće	neodgovarajući	Agpfpny
ili	ili	Cc
nedostatne	nedostatan	Agpfpny
u	u	Sl
