potreban	potreban	Agpmsnn
pristanak	pristanak	Ncmsn
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
imenuje	imenovati	Vmr3s
skrbnikom	skrbnik	Ncmsi
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Ista	isti	Agpfsny
osoba	osoba	Ncfsn
može	moći	Vmr3s
biti	biti	Van
skrbnik	skrbnik	Ncmsn
većem	velik	Agcmsly
broju	broj	Ncmsl
štićenika	štićenik	Ncmpg
ako	ako	Cs
to	taj	Pd-nsn
nije	biti	Var3s
u	u	Sl
suprotnosti	suprotnost	Ncfsl
s	sa	Sg
dobrobiti	dobrobit	Ncfsg
štićenika	štićenik	Ncmpg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
upoznat	upoznati	Vmn
će	htjeti	Var3s
štićenika	štićenik	Ncmpg
s	sa	Si
osobom	osoba	Ncfsi
koju	koji	Pi-fsa
namjerava	namjeravati	Vmr3s
imenovati	imenovati	Vmn
skrbnikom	skrbnik	Ncmsi
i	i	Cc
od	od	Sg
njega	njega	Ncfpg
o	o	Sl
toj	taj	Pd-fsl
osobi	osoba	Ncfsl
zatražiti	zatražiti	Vmn
mišljenje	mišljenje	Ncnsa
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
može	moći	Vmr3s
zatražiti	zatražiti	Vmn
mišljenje	mišljenje	Ncnsa
od	od	Sg
posebnog	poseban	Agpmsgy
skrbnika	skrbnik	Ncmsg
,	,	Z
srodnika	srodnik	Ncmpg
ili	ili	Cc
drugih	drugi	Mlofpg
bliskih	blizak	Agpfpgy
osoba	osoba	Ncfpg
o	o	Sl
osobi	osoba	Ncfsl
koju	koji	Pi-fsa
namjerava	namjeravati	Vmr3s
imenovati	imenovati	Vmn
skrbnikom	skrbnik	Ncmsi
.	.	Z

Zapreke	zapreka	Ncfpn
za	za	Sa
imenovanje	imenovanje	Ncnsa
osobe	osoba	Ncfsg
skrbnika	skrbnik	Ncmpg

Članak	članak	Ncmsn
248.	248.	Mdo

Skrbnik	skrbnik	Ncmsn
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
osoba	osoba	Ncfsn
:	:	Z

1.	1.	Mdo
koja	koji	Pi-fsn
je	biti	Var3s
lišena	lišiti	Appfsny
prava	prav	Agpfsny
na	na	Sa
roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa

2.	2.	Mdo
koja	koji	Pi-fsn
je	biti	Var3s
lišena	lišiti	Appfsny
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg

3.	3.	Mdo
čiji	čiji	Pi-mpn
su	biti	Var3p
interesi	interes	Ncmpn
u	u	Sl
suprotnosti	suprotnost	Ncfsl
s	sa	Si
interesima	interes	Ncmpi
štićenika	štićenik	Ncmpg

4.	4.	Mdo
od	od	Sg
koje	koji	Pi-fsg
se	sebe	Px--sa
,	,	Z
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
njezino	njezin	Agpnsay
ponašanje	ponašanje	Ncnsa
i	i	Cc
osobine	osobina	Ncfpa
te	te	Cc
odnose	odnositi	Vmr3p
sa	sa	Si
štićenikom	štićenik	Ncmsi
,	,	Z
ne	ne	Qz
može	moći	Vmr3s
očekivati	očekivati	Vmn
da	da	Cs
će	htjeti	Var3s
pravilno	pravilno	Rgp
obavljati	obavljati	Vmn
dužnosti	dužnost	Ncfpa
skrbnika	skrbnik	Ncmpg

5.	5.	Mdo
s	sa	Si
kojom	koji	Pi-fsi
je	biti	Var3s
štićenik	štićenik	Ncmsn
sklopio	sklopiti	Vmp-sm
ugovor	ugovor	Ncmsan
o	o	Sl
doživotnom	doživotan	Agpmsly
ili	ili	Cc
dosmrtnom	dosmrtan	Agpnsly
uzdržavanju	uzdržavanje	Ncnsl
i	i	Cc

6.	6.	Mdo
s	sa	Si
čijim	čiji	Pi-msi
je	biti	Var3s
bračnim	bračni	Agpmsiy
,	,	Z
odnosno	odnosno	Rgp
izvanbračnim	izvanbračni	Agpmsiy
drugom	drug	Ncmsi
štićenik	štićenik	Ncmsn
sklopio	sklopiti	Vmp-sm
ugovor	ugovor	Ncmsan
o	o	Sl
doživotnom	doživotan	Agpmsly
ili	ili	Cc
dosmrtnom	dosmrtan	Agpnsly
uzdržavanju	uzdržavanje	Ncnsl
.	.	Z

Dužnosti	dužnost	Ncfpn
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
prigodom	prigoda	Sg
imenovanja	imenovanje	Ncnsg
skrbnika	skrbnik	Ncmpg

Članak	članak	Ncmsn
249.	249.	Mdo

Centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
