dvojnom	dvojni	Agpfsiy
namjenom	namjena	Ncfsi
.	.	Z

ML14	ML14	Mdm
.	.	Z

»	»	Z
Specijalizirana	specijaliziran	Agpfsny
oprema	oprema	Ncfsn
za	za	Sa
vojnu	vojni	Agpfsay
obuku	obuka	Ncfsa
«	«	Z
ili	ili	Cc
za	za	Sa
simuliranje	simuliranje	Ncnsa
vojnih	vojni	Agpmpgy
scenarija	scenarij	Ncmpg
,	,	Z
simulatori	simulator	Ncmpn
posebno	posebno	Rgp
namijenjeni	namijeniti	Appmpny
obuci	obuka	Ncfsl
uz	uz	Sa
korištenje	korištenje	Ncnsa
bilo	bilo	Qo
koje	koji	Pi-fpa
vrste	vrsta	Ncfpa
vatrenog	vatren	Agpnsgy
oružja	oružje	Ncnsg
ili	ili	Cc
naoružanja	naoružanje	Ncnsg
navedenih	naveden	Agpfpgy
u	u	Sa
ML1	ml1	Ncnsa
.	.	Z
ili	ili	Cc
ML2	mle	Ncnsl
.	.	Z
te	te	Cc
za	za	Sa
to	taj	Pd-nsa
posebno	posebno	Rgp
konstruirane	konstruirati	Agpfpay
komponente	komponenta	Ncfpa
i	i	Cc
pribor	pribor	Ncmsan
.	.	Z

Tehnička	tehnički	Agpfsny
napomena	napomena	Ncfsn
:	:	Z

Izraz	izraz	Ncmsn
»	»	Z
specijalizirana	specijaliziran	Agpfsny
oprema	oprema	Ncfsn
za	za	Sa
vojnu	vojni	Agpfsay
obuku	obuka	Ncfsa
«	«	Z
uključuje	uključivati	Vmr3s
vojne	vojni	Agpfpay
vrste	vrsta	Ncfpa
trenažera	trenažer	Ncmsg
napada	napad	Ncmsg
,	,	Z
trenažera	trenažer	Ncmsg
leta	let	Ncmsg
,	,	Z
trenažera	trenažer	Ncmsg
radarskih	radarski	Agpmpgy
ciljeva	cilj	Ncmpg
,	,	Z
generatore	generator	Ncmpa
radarskih	radarski	Agpmpgy
ciljeva	cilj	Ncmpg
,	,	Z
naprave	naprava	Ncfpn
za	za	Sa
obuku	obuka	Ncfsa
na	na	Sl
oružju	oružje	Ncnsl
,	,	Z
trenažere	trenažer	Ncmpa
protupodmorničkog	protupodmornički	Agpnsgy
ratovanja	ratovanje	Ncnsg
,	,	Z
simulatore	simulator	Ncmpa
leta	let	Ncmsg
(	(	Z
uključujući	uključivati	Rr
centrifuge	centrifuga	Ncfpa
za	za	Sa
obuku	obuka	Ncfsa
pilota	pilot	Ncmsg
/	/	Z
astronauta	astronaut	Ncmsg
)	)	Z
,	,	Z
trenažere	trenažer	Ncmpa
radara	radar	Ncmsg
,	,	Z
trenažere	trenažer	Ncmpa
instrumenata	instrument	Ncmpg
leta	let	Ncmsg
,	,	Z
navigacijske	navigacijski	Agpmpay
trenažere	trenažer	Ncmpa
,	,	Z
trenažere	trenažer	Ncmpa
lansiranja	lansiranje	Ncnsg
projektila	projektil	Ncmsg
,	,	Z
opremu	oprema	Ncfsa
za	za	Sa
ciljeve	cilj	Ncmpa
,	,	Z
automatske	automatski	Agpmpay
»	»	Z
zrakoplove	zrakoplov	Ncmpa
«	«	Z
,	,	Z
trenažere	trenažer	Ncmpa
naoružanja	naoružanje	Ncnsg
,	,	Z
trenažere	trenažer	Ncmpa
bespilotnih	bespilotan	Agpmpgy
»	»	Z
zrakoplova	zrakoplov	Ncmpg
«	«	Z
,	,	Z
pokretne	pokretan	Agpmpay
trenažere	trenažer	Ncmpa
i	i	Cc
opremu	oprema	Ncfsa
za	za	Sa
obuku	obuka	Ncfsa
za	za	Sa
kopnene	kopnen	Agpfpay
vojne	vojni	Agpfpay
operacije	operacija	Ncfpa
.	.	Z

Napomena	napomena	Ncfsn
1.	1.	Mdo
:	:	Z
ML14	ML14	X
.	.	Z
uključuje	uključivati	Vmr3s
generatore	generator	Agpfpay
slike	slika	Ncfpa
i	i	Cc
interaktivne	interaktivan	Agpmpay
sustave	sustav	Ncmpa
okoliša	okoliš	Ncmsg
za	za	Sa
simulatore	simulator	Ncmpa
ako	ako	Cs
su	biti	Var3p
posebno	posebno	Rgp
konstruirani	konstruirati	Appmpny
ili	ili	Cc
modificirani	modificirati	Appmpny
za	za	Sa
vojnu	vojni	Agpfsay
uporabu	uporaba	Ncfsa
.	.	Z

Napomena	napomena	Ncfsn
2.	2.	Mdo
:	:	Z
ML14	ML14	I
.	.	Z
ne	ne	Qz
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
opremu	oprema	Ncfsa
posebno	posebno	Rgp
konstruiranu	konstruirati	Appfsay
