uvjete	uvjet	Ncmpa
za	za	Sa
polaganje	polaganje	Ncnsa
ispita	ispit	Ncmpg
i	i	Cc
o	o	Sl
tome	taj	Pd-nsl
obavještava	obavještavati	Vmr3s
kandidata	kandidat	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Vrijeme	vrijeme	Ncnsn
polaganja	polaganje	Ncnsg
ispita	ispit	Ncmpg
određuje	određivati	Vmr3s
rasporedom	raspored	Ncmsi
predsjednik	predsjednik	Ncmsn
Povjerenstva	povjerenstvo	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Obavijest	obavijest	Ncfsn
o	o	Sl
mjestu	mjesto	Ncnsl
i	i	Cc
danu	dan	Ncmsl
polaganja	polaganje	Ncnsg
ispita	ispit	Ncmsg
mora	morati	Vmr3s
biti	biti	Van
dostavljena	dostaviti	Appfsny
kandidatu	kandidat	Ncmsd
najmanje	malo	Rgs
15	15	Mdc
dana	dan	Ncmpg
prije	prije	Sg
dana	dan	Ncmsg
određenog	odrediti	Appmsgy
za	za	Sa
polaganje	polaganje	Ncnsa
ispita	ispit	Ncmpg
,	,	Z
a	a	Cc
objavljuje	objavljivati	Vmr3s
se	sebe	Px--sa
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
Zavoda	zavod	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Održavanje	održavanje	Ncnsn
ispita	ispit	Ncmpg
organizira	organizirati	Vmr3s
Zavod	zavod	Ncmsan
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kandidat	kandidat	Ncmsn
može	moći	Vmr3s
iz	iz	Sg
opravdanih	opravdati	Agpmpgy
razloga	razlog	Ncmpg
u	u	Sl
pisanom	pisan	Agpmsly
obliku	oblik	Ncmsl
odgoditi	odgoditi	Vmn
polaganje	polaganje	Ncnsa
ispita	ispit	Ncmpg
,	,	Z
a	a	Cc
o	o	Sl
tome	taj	Pd-nsl
je	biti	Var3s
dužan	dužan	Agpmsnn
obavijestiti	obavijestiti	Agpmsny
Zavod	zavod	Ncmsn
najkasnije	kasno	Rgs
do	do	Sg
dana	dan	Ncmsg
određenog	odrediti	Appmsgy
za	za	Sa
polaganje	polaganje	Ncnsa
ispita	ispit	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
kandidat	kandidat	Ncmsn
tijekom	tijekom	Sg
polaganja	polaganje	Ncnsg
ispita	ispit	Ncmpg
odustane	odustati	Vmr3s
od	od	Sg
polaganja	polaganje	Ncnsg
,	,	Z
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
da	da	Cs
ispit	ispit	Ncmsn
nije	biti	Var3s
položio	položiti	Vmp-sm
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
O	o	Sl
odgađanju	odgađanje	Ncnsl
odnosno	odnosno	Rgp
odustanku	odustanak	Ncmsl
od	od	Sg
polaganja	polaganje	Ncnsg
ispita	ispit	Ncmpg
službenik	službenik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
obavijestiti	obavijestiti	Vmn
ovlašteno	ovlastiti	Appnsny
tijelo	tijelo	Ncnsa
koje	koji	Pi-nsn
ga	on	Pp3msa
je	biti	Var3s
uputilo	uputiti	Vmp-sn
na	na	Sa
polaganje	polaganje	Ncnsa
ispita	ispit	Ncmpg
.	.	Z

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nakon	nakon	Sg
polaganja	polaganje	Ncnsg
odnosno	odnosno	Rgp
pristupanja	pristupanje	Ncnsg
ispitu	ispit	Ncmsl
kandidat	kandidat	Ncmsn
koji	koji	Pi-msn
nije	biti	Var3s
položio	položiti	Vmp-sm
ispit	ispit	Ncmsan
ima	imati	Vmr3s
pravo	pravo	Ncnsa
ponovo	ponovo	Rgp
pristupiti	pristupiti	Vmn
ispitu	ispit	Ncmsd
(	(	Z
popravni	popravni	Agpmsny
ispit	ispit	Ncmsn
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Nakon	nakon	Sg
polaganja	polaganje	Ncnsg
odnosno	odnosno	Rgp
pristupanja	pristupanje	Ncnsg
ispitu	ispit	Ncmsl
kandidat	kandidat	Ncmsn
koji	koji	Pi-msn
ne	ne	Qz
položi	položiti	Vmr3s
ispit	ispit	Ncmsan
iz	iz	Sg
jednog	jedan	Mlcmsg
ili	ili	Cc
dva	dva	Mlc
predmeta	predmet	Ncmsg
,	,	Z
ima	imati	Vmr3s
pravo	pravo	Ncnsa
pristupiti	pristupiti	Vmn
na	na	Sa
popravni	popravni	Agpmsayn
ispit	ispit	Ncmsan
iz	iz	Sg
tih	taj	Pd-mpg
predmeta	predmet	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kandidat	kandidat	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ima	imati	Vmr3s
pravo	pravo	Ncnsa
ponovo	ponovo	Rgp
pristupiti	pristupiti	Vmn
ispitu	ispit	Ncmsd
odnosno	odnosno	Rgp
popravnom	popravni	Agpmsly
ispitu	ispit	Ncmsl
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
polaganja	polaganje	Ncnsg
ispita	ispit	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
o	o	Sl
obavijesti	obavijest	Ncfsl
o	o	Sl
mjestu	mjesto	Ncnsl
i	i	Cc
danu	dan	Ncmsl
polaganja	polaganje	Ncnsg
ispita	ispit	Ncmsg
te	te	Cc
o	o	Sl
odgađanju	odgađanje	Ncnsl
i	i	Cc
odustanku	odustanak	Ncmsl
od	od	Sg
polaganja	polaganje	Ncnsg
ispita	ispit	Ncmpg
odgovarajuće	odgovarajući	Agpfsgy
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
na	na	Sa
postupak	postupak	Ncmsan
i	i	Cc
način	način	Ncmsan
polaganja	polaganje	Ncnsg
popravnog	popravni	Agpmsgy
ispita	ispit	Ncmsg
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Uspjeh	uspjeh	Ncmsn
na	na	Sl
ispitu	ispit	Ncmsl
ocjenjuje	ocjenjivati	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
rezultatu	rezultat	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
kandidat	kandidat	Ncmsn
pokazao	pokazati	Vmp-sm
na	na	Sl
ispitu	ispit	Ncmsl
ocjenom	ocjena	Ncfsi
»	»	Z
položio	položiti	Vmp-sm
«	«	Z
ili	ili	Cc
»	»	Z
nije	biti	Var3s
položio	položiti	Vmp-sm
«	«	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kandidat	kandidat	Ncmsn
je	biti	Var3s
položio	položiti	Vmp-sm
ispit	ispit	Ncmsan
ukoliko	ukoliko	Cs
je	biti	Var3s
na	na	Sl
ispitu	ispit	Ncmsl
ostvario	ostvariti	Vmp-sm
rezultat	rezultat	Ncmsan
bolji	dobar	Agcmsny
od	od	Sg
60	60	Mdc
%	%	Z
iz	iz	Sg
svakog	svaki	Pi-msg
predmeta	predmet	Ncmsg
predviđenog	predvidjeti	Appmsgy
Programom	program	Ncmsi
ispita	ispit	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Rezultat	rezultat	Ncmsn
ispita	ispit	Ncmpg
priopćuje	priopćivati	Vmr3s
se	sebe	Px--sa
kandidatu	kandidat	Ncmsd
odmah	odmah	Rgp
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
vrijeme	vrijeme	Ncnsa
ispita	ispit	Ncmsg
tajnik	tajnik	Ncmsn
Povjerenstva	povjerenstvo	Ncnsg
vodi	voditi	Vmr3s
zapisnik	zapisnik	Ncmsan
posebno	posebno	Rgp
za	za	Sa
svakog	svaki	Pi-msg
kandidata	kandidat	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sa
zapisnik	zapisnik	Ncmsan
se	sebe	Px--sa
upisuju	upisivati	Vmr3p
osobni	osoban	Agpmpny
podaci	podatak	Ncmpn
kandidata	kandidat	Ncmpg
,	,	Z
sastav	sastav	Ncmsn
Povjerenstva	povjerenstvo	Ncnsg
,	,	Z
pitanja	pitanje	Ncnpn
koja	koji	Pi-npn
su	biti	Var3p
kandidatu	kandidat	Ncmsd
postavljena	postaviti	Appfsny
te	te	Cc
ocjena	ocjena	Ncfsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Zapisnik	zapisnik	Ncmsn
potpisuju	potpisivati	Vmr3p
predsjednik	predsjednik	Ncmsn
i	i	Cc
članovi	član	Ncmpn
Povjerenstva	povjerenstvo	Ncnsg
koji	koji	Pi-mpn
su	biti	Var3p
kandidata	kandidat	Ncmsay
ispitivali	ispitivati	Vmp-pm
,	,	Z
tajnik	tajnik	Ncmsn
Povjerenstva	povjerenstvo	Ncnsg
i	i	Cc
kandidat	kandidat	Ncmsn
.	.	Z

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Troškove	trošak	Ncmpa
polaganja	polaganje	Ncnsg
ispita	ispit	Ncmpg
snosi	snositi	Vmr3s
ovlašteno	ovlašten	Agpnsny
tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
upućuje	upućivati	Vmr3s
djelatnika	djelatnik	Ncmpg
na	na	Sa
polaganje	polaganje	Ncnsa
ispita	ispit	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kandidatu	kandidat	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
prijavio	prijaviti	Vmp-sm
ispit	ispit	Ncmsan
i	i	Cc
odgodio	odgoditi	Vmp-sm
njegovo	njegov	Ps3nsa
polaganje	polaganje	Ncnsa
,	,	Z
uplaćeni	uplatiti	Appmsayn
iznos	iznos	Ncmsan
troškova	trošak	Ncmpg
polaganja	polaganje	Ncnsg
priznaje	priznavati	Vmr3s
se	sebe	Px--sa
za	za	Sa
naknadno	naknadan	Agpnsay
polaganje	polaganje	Ncnsa
ispita	ispit	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Troškove	trošak	Ncmpa
polaganja	polaganje	Ncnsg
ispita	ispit	Ncmpg
i	i	Cc
troškove	trošak	Ncmpa
izobrazbe	izobrazba	Ncfsg
za	za	Sa
polaganje	polaganje	Ncnsa
ispita	ispit	Ncmpg
utvrđuje	utvrđivati	Vmr3s
rješenjem	rješenje	Ncnsi
ravnatelj	ravnatelj	Ncmsn
Zavoda	zavod	Ncmsg
.	.	Z

IV	IV	Mrc
.	.	Z

UVJERENJE	uvjerenje	Ncnsn

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kandidatu	kandidat	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
položio	položiti	Vmp-sm
ispit	ispit	Ncmsan
Zavod	zavod	Ncmsn
izdaje	izdavati	Vmr3s
uvjerenje	uvjerenje	Ncnsa
