sadržaj	sadržaj	Ncmsn
okvira	okvir	Ncmsg
za	za	Sa
razvoj	razvoj	Ncmsan
sustava	sustav	Ncmsg
unutarnjih	unutarnji	Agpfpgy
kontrola	kontrola	Ncfpg
te	te	Cc
smjernice	smjernica	Ncfsg
za	za	Sa
rad	rad	Ncmsan
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
nadležnih	nadležan	Agpfpgy
za	za	Sa
financije	financije	Ncfpa
korisnika	korisnik	Ncmpg
proračuna	proračun	Ncmsg
,	,	Z
u	u	Sl
dijelu	dio	Ncmsl
aktivnosti	aktivnost	Ncfpg
vezanih	vezan	Agpfpgy
uz	uz	Sa
koordinaciju	koordinacija	Ncfsa
razvoja	razvoj	Ncmsg
sustava	sustav	Ncmsg
unutarnjih	unutarnji	Agpfpgy
kontrola	kontrola	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
18.	18.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

b	b	Npmsn
)	)	Z
pravilnik	pravilnik	Ncmsan
i	i	Cc
program	program	Ncmsan
izobrazbe	izobrazba	Ncfsg
u	u	Sl
području	područje	Ncnsl
razvoja	razvoj	Ncmsg
sustava	sustav	Ncmsg
unutarnjih	unutarnji	Agpfpgy
kontrola	kontrola	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

c	C	Npmsn
)	)	Z
pravilnik	pravilnik	Ncmsan
kojim	koji	Pi-msi
će	htjeti	Var3s
propisati	propisati	Vmn
kriterije	kriterij	Ncmpa
za	za	Sa
uspostavu	uspostava	Ncfsa
i	i	Cc
međusobnu	međusoban	Agpfsay
suradnju	suradnja	Ncfsa
unutarnjih	unutarnji	Agpfpgy
revizija	revizija	Ncfpg
te	te	Cc
druga	drugi	Mlonpn
pitanja	pitanje	Ncnpa
vezana	vezan	Agpnpny
uz	uz	Sa
organizacijsku	organizacijski	Agpfsay
i	i	Cc
funkcionalnu	funkcionalan	Agpfsay
neovisnost	neovisnost	Ncfsa
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
25.	25.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

d	d	Qr
)	)	Z
pravilnik	pravilnik	Ncmsan
i	i	Cc
program	program	Ncmsn
izobrazbe	izobrazba	Ncfsg
prema	prema	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
stječe	stjecati	Vmr3s
stručno	stručan	Agpnsny
ovlaštenje	ovlaštenje	Ncnsn
ministra	ministar	Ncmsg
financija	financije	Ncfpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
27.	27.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

e	e	I
)	)	Z
pravilnik	pravilnik	Ncmsan
kojim	koji	Pi-msi
će	htjeti	Var3s
propisati	propisati	Vmn
uvjete	uvjet	Ncmpa
i	i	Cc
način	način	Ncmsan
priznavanja	priznavanje	Ncnsg
inozemnih	inozeman	Agpfpgy
stručnih	stručan	Agpfpgy
kvalifikacija	kvalifikacija	Ncfpg
za	za	Sa
unutarnje	unutarnji	Agpmpay
revizore	revizor	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
27.	27.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

f	f	Qr
)	)	Z
Kodeks	kodeks	Ncmsn
strukovne	strukovni	Agpfsgy
etike	etika	Ncfsg
unutarnjih	unutarnji	Agpmpgy
revizora	revizor	Ncmpg
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
32.	32.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

g	g	Npmsn
)	)	Z
pravilnik	pravilnik	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
41.	41.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
kojim	koji	Pi-msi
će	htjeti	Var3s
propisati	propisati	Vmn
način	način	Ncmsan
vođenja	vođenje	Ncnsg
registara	registar	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
41.	41.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
g	g	Npfsn
)	)	Z
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

h	h	Npmsn
)	)	Z
pravilnik	pravilnik	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
41.	41.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
kojim	koji	Pi-msi
