vodiču	vodič	Ncmsd
o	o	Sl
dobroj	dobar	Agpfsly
praksi	praksa	Ncfsl
za	za	Sa
provedbu	provedba	Ncfsa
Direktive	direktiva	Ncfsg
2013/35	2013/35	Mdc
/	/	Z
EU	E	Npmsg
,	,	Z
za	za	Sa
područje	područje	Ncnsa
elektromagnetskih	elektromagnetski	Agpnpgy
polja	polje	Ncnpg
za	za	Sa
mala	mali	Agpnpay
i	i	Cc
srednja	srednji	Agpnpay
poduzeća	poduzeće	Ncnpa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
praktične	praktičan	Agpfpny
smjernice	smjernica	Ncfpn
)	)	Z
i	i	Cc
druge	drugi	Mlofpn
odgovarajuće	odgovarajući	Agpfpay
nacionalne	nacionalan	Agpfpay
norme	norma	Ncfpa
ili	ili	Cc
nacionalne	nacionalan	Agpfpay
smjernice	smjernica	Ncfpa
,	,	Z
uključujući	uključivati	Rr
baze	baza	Ncfpa
podataka	podatak	Ncmpg
izloženosti	izloženost	Ncfsg
.	.	Z

Poslodavac	poslodavac	Ncmsn
je	biti	Var3s
također	također	Rgp
obvezan	obvezan	Agpmsnn
,	,	Z
kad	kad	Cs
je	biti	Var3s
to	taj	Pd-nsn
primjereno	primjeren	Agpnsny
,	,	Z
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
vrijednosti	vrijednost	Ncfsg
razina	razina	Ncfsn
elektromagnetskih	elektromagnetski	Agpnpgy
polja	polje	Ncnpg
i	i	Cc
druge	drugi	Mlofpn
odgovarajuće	odgovarajući	Agpmpay
sigurnosne	sigurnosni	Agpmpay
podatke	podatak	Ncmpa
proizvođača	proizvođač	Ncmsg
ili	ili	Cc
distributera	distributer	Ncmpg
za	za	Sa
opremu	oprema	Ncfsa
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
posebnih	poseban	Agpmpgy
propisa	propis	Ncmpg
,	,	Z
uključujući	uključivati	Rr
prema	prema	Sl
potrebi	potreba	Ncfsl
procjenu	procjena	Ncfsa
rizika	rizik	Ncmsg
za	za	Sa
uvjete	uvjet	Ncmpa
izloženosti	izloženost	Ncfsg
na	na	Sl
radnom	radni	Agpnsly
mjestu	mjesto	Ncnsl
ili	ili	Cc
mjestu	mjesto	Ncnsl
postavljanja	postavljanje	Ncnsg
opreme	oprema	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
sukladnost	sukladnost	Ncfsn
s	sa	Si
graničnim	graničan	Agpfpiy
vrijednostima	vrijednost	Ncfpi
izloženosti	izloženost	Ncfsg
ne	ne	Qz
može	moći	Vmr3s
pouzdano	pouzdano	Rgp
odrediti	odrediti	Vmn
na	na	Sl
temelju	temelj	Ncmsl
već	već	Rgp
dostupnih	dostupan	Agpfpgy
informacija	informacija	Ncfpg
,	,	Z
procjena	procjena	Ncfsn
izloženosti	izloženost	Ncfsg
izvodi	izvoditi	Vmr3s
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
mjerenja	mjerenje	Ncnsg
i	i	Cc
proračuna	proračun	Ncmsg
.	.	Z

U	u	Sl
tom	taj	Pd-msl
slučaju	slučaj	Ncmsl
,	,	Z
procjena	procjena	Ncfsn
uzima	uzimati	Vmr3s
u	u	Sa
obzir	obzir	Ncmsan
odstupanja	odstupanje	Ncnsg
u	u	Sl
pogledu	pogled	Ncmsl
mjerenja	mjerenje	Ncnsg
ili	ili	Cc
proračuna	proračun	Ncmsg
kao	kao	Cs
što	što	Cs
su	biti	Var3p
numeričke	numerički	Agpfpny
metode	metoda	Ncfpn
,	,	Z
modeliranje	modeliranje	Ncnsa
izvora	izvor	Ncmpg
,	,	Z
geometrija	geometrija	Ncfpg
modela	model	Ncmpg
i	i	Cc
električna	električan	Agpnpay
svojstva	svojstvo	Ncnpa
tkiva	tkivo	Ncnsg
i	i	Cc
materijala	materijal	Ncmpg
,	,	Z
utvrđena	utvrditi	Appfsny
u	u	Sl
