Norditropin	norditropin	Agpmsny
SimpleXx	simplexx	Agpmsny
uložak	uložak	Ncmsn
stakl	staka	Ncfsg
.	.	Z
1	1	Mdc
x15	x15	X
mg	mg	Xf
/	/	Z
1,5	1,5	Mdc
ml	ml	Y
(	(	Z
1	1	Mdc
mg	mg	Y
=	=	Z
3	3	Mdc
i.	i.	Y
j.	j.	Y
)	)	Z
J05AE14	J05AE14	Mdc
161	161	Mdc
simeprevir	simeprevir	Y
Olysio	Olysio	Npmsn
caps	capsti	Vmr3s
.	.	Z
tvrda	tvrd	Agpfsny
28	28	Mdc
x150	x150	Mdc
mg	mg	Y
J05AX15	J05AX15	Mdc
161	161	Mdc
sofosbuvir	sofosbuvir	Ncmsn
Sovaldi	sovald	Agpmsny
tbl	tbl	Agpmsny
film	film	Ncmsn
obl	oba	Ncfsg
.	.	Z
28	28	Mdc
x400	x400	Mdc
mg	mg	Y
J05AX16	J05AX16	Mdc
161	161	Mdc
dasabuvir	dasabuvir	Ncmpg
Exviera	Exvier	Npmsg
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
56	56	Mdc
x250	x250	Mdc
mg	mg	Y
J05AX66	J05AX66	Mdc
161	161	Mdc
ledipasvir	ledipasvir	Y
+	+	Z
sofosbuvir	sofosbuvir	Ncmsn
Harvoni	harvon	Agpmsny
tbl	tbl	Ncmsn
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
28	28	Mdc
x	X	X
(	(	Z
90	90	Mdc
mg	mg	Y
+	+	Z
400	400	Mdc
mg	mg	Ncfpg
)	)	Z
J05AX66	J05AX66	Mdc
162	162	Mdc
ledipasvir	ledipasvir	Y
+	+	Z
sofosbuvir	sofosbuvir	Ncmsn
Harvoni	harvon	Agpmsny
tbl	tbl	Ncmsn
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
28	28	Mdc
x	X	X
(	(	Z
90	90	Mdc
mg	mg	Y
+	+	Z
400	400	Mdc
mg	mg	Ncfpg
)	)	Z
J05AX66	J05AX66	Mdc
163	163	Mdc
ledipasvir	ledipasvir	Y
+	+	Z
sofosbuvir	sofosbuvir	Ncmsn
