građenje	građenje	Ncnsn
građevina	građevina	Ncfpg
iz	iz	Sg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
promjenu	promjena	Ncfsa
ponuditelja	ponuditelj	Ncmpg
i	i	Cc
ostalih	ostali	Agpmpgy
općih	opći	Agpmpgy
podataka	podatak	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
sadržani	sadržati	Appmpny
u	u	Sl
odluci	odluka	Ncfsl
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
izuzev	izuzev	Rgp
podataka	podatak	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
21.	21.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
promjene	promjena	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
od	od	Sg
trenutka	trenutak	Ncmsg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
Odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncmsg
do	do	Sg
dana	dan	Ncmsg
roka	rok	Ncmsg
za	za	Sa
podnošenje	podnošenje	Ncnsa
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
podnijeti	podnijeti	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
promjenu	promjena	Ncfsa
.	.	Z

Zahtjev	zahtjev	Ncmsn
za	za	Sa
promjenu	promjena	Ncfsa
popunjava	popunjavati	Vmr3s
se	sebe	Px--sa
u	u	Sl
AGRONET-u	AGRONET	Npmsl
,	,	Z
a	a	Cc
nakon	nakon	Sg
popunjavanja	popunjavanje	Ncnsg
potrebno	potreban	Agpnsny
je	biti	Var3s
u	u	Sa
Agenciju	agencija	Ncfsa
za	za	Sa
plaćanja	plaćanje	Ncnpa
dostaviti	dostaviti	Vmn
ovjerenu	ovjeriti	Agpfsay
Potvrdu	potvrda	Ncfsa
o	o	Sl
podnošenju	podnošenje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
promjenu	promjena	Ncfsa
preporučenom	preporučiti	Agpfsiy
poštom	pošta	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
ili	ili	Cc
neposredno	neposredno	Rgp
u	u	Sa
Agenciju	agencija	Ncfsa
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Promjene	promjena	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
korisnik	korisnik	Ncmsn
je	biti	Var3s
ovlašten	ovlastiti	Appmsnn
zatražiti	zatražiti	Vmn
dva	dva	Mlc
puta	puta	Rgp
podnošenjem	podnošenje	Ncnsi
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
promjenu	promjena	Ncfsa
putem	put	Sg
AGRONET-a	AGRONET	Npmsg
na	na	Sa
način	način	Ncmsan
opisan	opisati	Appmsnn
u	u	Sl
Vodiču	vodič	Ncmsl
za	za	Sa
korisnike	korisnik	Ncmpa
kojeg	koji	Pi-msay
korisnik	korisnik	Ncmsn
može	moći	Vmr3s
preuzeti	preuzeti	Vmn
sa	sa	Sg
službene	služben	Agpfsgy
mrežne	mrežni	Agpfsgy
stranice	stranica	Ncfsg
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
(	(	Z
www.apprrr.hr	www.apprrr.hr	X
)	)	Z
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3p
za	za	Sa
zaprimljene	zaprimiti	Agpmpay
zahtjeve	zahtjev	Ncmpa
za	za	Sa
promjenu	promjena	Ncfsa
ovisno	ovisno	Rgp
o	o	Sl
zatraženoj	zatražiti	Agpfsly
promjeni	promjena	Ncfsl
izdati	izdati	Vmn
Izmjenu	izmjena	Ncfsa
odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
ili	ili	Cc
pismo	pismo	Ncnsa
odobrenja	odobrenje	Ncnsg
u	u	Sl
slučaju	slučaj	Ncmsl
odobrenja	odobrenje	Ncnsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
promjenu	promjena	Ncfsa
ili	ili	Cc
pismo	pismo	Ncnsa
odbijanja	odbijanje	Ncnsg
u	u	Sl
slučaju	slučaj	Ncmsl
odbijanja	odbijanje	Ncnsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
promjenu	promjena	Ncfsa
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Izmjenom	izmjena	Ncfsi
Odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
odobriti	odobriti	Vmn
iznos	iznos	Ncmsn
potpore	potpora	Ncfsg
veći	velik	Agcmsny
od	od	Sg
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
koji	koji	Pi-msn
je	biti	Var3s
već	već	Rgp
određen	odrediti	Appmsnn
Odlukom	odluka	Ncfsi
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ostale	ostali	Agpfpny
promjene	promjena	Ncfpn
u	u	Sl
projektu	projekt	Ncmsl
bez	bez	Sg
kojih	koji	Pi-mpg
se	sebe	Px--sa
projekt	projekt	Ncmsn
ne	ne	Qz
može	moći	Vmr3s
provesti	provesti	Vmn
ili	ili	Cc
koji	koji	Pi-msn
imaju	imati	Vmr3p
utjecaj	utjecaj	Ncmsan
na	na	Sa
poboljšanje	poboljšanje	Ncnsa
projekta	projekt	Ncmsg
moraju	morati	Vmr3p
biti	biti	Van
obrazložene	obrazložiti	Appfpny
prilikom	prilikom	Sg
dostavljanja	dostavljanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Promjene	promjena	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
korisnik	korisnik	Ncmsn
mora	morati	Vmr3s
prijaviti	prijaviti	Vmn
Agenciji	agencija	Ncfsd
za	za	Sa
plaćanja	plaćanje	Ncnpa
najmanje	malo	Rgs
45	45	Mdc
dana	dan	Ncmpg
prije	prije	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
za	za	Sa
predaju	predaja	Ncfsa
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
promjena	promjena	Ncfpg
odluke	odluka	Ncfsg
iniciranih	inicirati	Appfpgy
od	od	Sg
strane	strana	Ncfsg
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
,	,	Z
korisniku	korisnik	Ncmsl
će	htjeti	Var3s
biti	biti	Van
izdana	izdati	Appfsny
Odluka	odluka	Ncfsn
o	o	Sl
izmjeni	izmjena	Ncfsl
odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
u	u	Sl
obvezi	obveza	Ncfsl
provesti	provesti	Vmn
postupak	postupak	Ncmsan
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
,	,	Z
uz	uz	Sa
Zahtjev	zahtjev	Ncmsan
za	za	Sa
promjenu	promjena	Ncfsa
ponuditelja	ponuditelj	Ncmpg
u	u	Sl
obvezi	obveza	Ncfsl
je	biti	Var3s
dostaviti	dostaviti	Vmn
i	i	Cc
dokumentaciju	dokumentacija	Ncfsa
iz	iz	Sg
provedenog	provesti	Agpmsgy
postupka	postupak	Ncmsg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
.	.	Z

ODUSTAJANJE	odustajanje	Ncnsn
OD	od	Sg
ZAHTJEVA	zahtjev	Ncmpg
ZA	za	Sa
POTPORU	potpora	Ncfsa
I	i	Cc
IZJAVA	izjava	Ncfsn
O	o	Sl
PONIŠTENJU	poništenje	Ncnsl
OBVEZE	obveza	Ncfsg

Članak	članak	Ncmsn
23.	23.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
korisnik	korisnik	Ncmsn
želi	željeti	Vmr3s
odustati	odustati	Vmn
od	od	Sg
dodjele	dodjela	Ncfsg
sredstava	sredstvo	Ncnpg
iz	iz	Sg
EPFRR	EPFRR	Npfsg
dužan	dužan	Agpmsnn
je	biti	Var3s
podnijeti	podnijeti	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
odustajanje	odustajanje	Ncnsa
putem	put	Sg
AGRONET-a	AGRONET	Npmsg
na	na	Sa
način	način	Ncmsan
opisan	opisati	Appmsnn
u	u	Sl
Vodiču	vodič	Ncmsl
za	za	Sa
korisnike	korisnik	Ncmpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
korisnik	korisnik	Ncmsn
podnese	podnijeti	Vmr3s
Zahtjev	zahtjev	Ncmsan
za	za	Sa
odustajanje	odustajanje	Ncnsa
tijekom	tijekom	Sg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
odnosno	odnosno	Rgp
prije	prije	Sg
izdavanja	izdavanje	Ncnsg
Odluke	odluka	Ncfsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
obustaviti	obustaviti	Vmn
postupak	postupak	Ncmsan
nad	nad	Si
Zahtjevom	zahtjev	Ncmsi
za	za	Sa
potporu	potpora	Ncfsa
te	te	Cc
o	o	Sl
istome	isti	Ncmsl
obavijestiti	obavijestiti	Vmn
korisnika	korisnik	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
korisnik	korisnik	Ncmsn
podnese	podnijeti	Vmr3s
Zahtjev	zahtjev	Ncmsan
za	za	Sa
odustajanje	odustajanje	Ncnsa
nakon	nakon	Sg
izdavanja	izdavanje	Ncnsg
Odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
odlučiti	odlučiti	Vmn
o	o	Sl
poništenju	poništenje	Ncnsl
obveze	obveza	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
poništiti	poništiti	Vmn
obveze	obveza	Ncfpa
u	u	Sl
sljedećim	sljedeći	Agpmply
slučajevima	slučaj	Ncmpl
:	:	Z

–	–	Pq3m-n
u	u	Sl
slučaju	slučaj	Ncmsl
negativnog	negativan	Agpmsgy
nalaza	nalaz	Ncmsg
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
kada	kada	Cs
je	biti	Var3s
utvrđena	utvrditi	Appfsny
nepravilnost	nepravilnost	Ncfsn
koja	koji	Pi-fsn
prelazi	prelaziti	Vmr3s
50	50	Mdc
%	%	Z
ukupne	ukupan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
odnosno	odnosno	Rgp
kada	kada	Cs
korisnik	korisnik	Ncmsn
prekrši	prekršiti	Vmr3s
odredbe	odredba	Ncfpa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
natječaja	natječaj	Ncmsg
ili	ili	Cc
nije	biti	Var3s
ispunio	ispuniti	Vmp-sm
obveze	obveza	Ncfpa
određene	određen	Agpfsgy
odlukom	odluka	Ncfsi
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
ili	ili	Cc
ako	ako	Cs
je	biti	Var3s
utvrđena	utvrditi	Appfsny
