zamjenjuje	zamjenjivati	Vmr3s
se	sebe	Px--sa
riječju	riječ	Ncfsi
:	:	Z
»	»	Z
R2	R2	Xf
«	«	Z
.	.	Z

Članak	članak	Ncmsn
66.	66.	Mdo

Iza	iza	Sg
članka	članak	Ncmsg
234.	234.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
članak	članak	Ncmsn
234.	234.	Mdo
a	a	Cc
s	sa	Si
naslovom	naslov	Ncmsi
iznad	iznad	Sg
njega	on	Pp3msg
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
33.	33.	Mdo
a	a	Cc
Upisnik	upisnik	Ncmsn
o	o	Sl
izdanim	izdan	Agpfply
i	i	Cc
primljenim	primljen	Agpfply
potvrdama	potvrda	Ncfpl
u	u	Sa
svrhu	svrha	Ncfsa
priznanja	priznanje	Ncnsg
i	i	Cc
izvršenja	izvršenje	Ncnsg
odluka	odluka	Ncfpg
o	o	Sl
novčanoj	novčan	Agpfsly
kazni	kazna	Ncfsl
između	između	Sg
država	država	Ncfpg
članica	članica	Ncfpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
(	(	Z
Ikp-eu	ikp-e	Ncmsl
)	)	Z

Članak	članak	Ncmsn
234.	234.	Mdo
a	a	Cc

U	u	Sa
upisnik	upisnik	Ncmsan
Ikp-eu	ikp-e	Ncmsl
prekršajni	prekršajni	Agpmpny
sudovi	sud	Ncmpn
upisuju	upisivati	Vmr3p
predmete	predmet	Ncmpa
vezano	vezan	Agpnsny
za	za	Sa
postupanje	postupanje	Ncnsa
po	po	Sl
izdanim	izdan	Agpfply
i	i	Cc
primljenim	primljen	Agpfply
potvrdama	potvrda	Ncfpl
u	u	Sa
svrhu	svrha	Ncfsa
priznanja	priznanje	Ncnsg
i	i	Cc
izvršenja	izvršenje	Ncnsg
odluka	odluka	Ncfpg
o	o	Sl
novčanoj	novčan	Agpfsly
kazni	kazna	Ncfsl
između	između	Sg
država	država	Ncfpg
članica	članica	Ncfpg
