pažnjom	pažnja	Ncfsi
prema	prema	Sl
imovini	imovina	Ncfsl
ugostiteljskog	ugostiteljski	Agpmsgy
objekta	objekt	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Osoblje	osoblje	Ncnsn
ne	ne	Qz
smije	smjeti	Vmr3s
:	:	Z

1.	1.	Mdo
pušiti	pušiti	Vmn
i	i	Cc
jesti	jesti	Vmn
za	za	Sa
vrijeme	vrijeme	Ncnsa
obavljanja	obavljanje	Ncnsg
poslova	posao	Ncmpg
na	na	Sl
radnom	radni	Agpnsly
mjestu	mjesto	Ncnsl
,	,	Z

2.	2.	Mdo
zadržavati	zadržavati	Vmn
se	sebe	Px--sa
u	u	Sl
ugostiteljskom	ugostiteljski	Agpmsly
objektu	objekt	Ncmsl
izvan	izvan	Sg
svog	svoj	Px-nsg
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
,	,	Z
osim	osim	Cs
po	po	Sl
potrebi	potreba	Ncfsl
.	.	Z

Članak	članak	Ncmsn
27.	27.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Osoblje	osoblje	Ncnsn
na	na	Sl
pripremi	priprema	Ncfsl
jela	jelo	Ncnpg
ne	ne	Qz
smije	smjeti	Vmr3s
prolaziti	prolaziti	Vmn
prostorijama	prostorija	Ncfpi
za	za	Sa
goste	gost	Ncmpa
i	i	Cc
ostalo	ostali	Agpnsay
osoblje	osoblje	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Osoblje	osoblje	Ncnsn
na	na	Sl
pripremi	priprema	Ncfsl
i	i	Cc
usluživanju	usluživanje	Ncnsl
jela	jelo	Ncnsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
u	u	Sl
funkcionalnoj	funkcionalan	Agpfsly
cjelini	cjelina	Ncfsl
kuhinje	kuhinja	Ncfsg
mora	morati	Vmr3s
imati	imati	Vmn
:	:	Z

1.	1.	Mdo
sanitarni	sanitaran	Agpmsayn
čvor	čvor	Ncmsan
,	,	Z
sukladno	sukladno	Rgp
