primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
postupci	postupak	Ncmpn
iz	iz	Sg
članaka	članak	Ncmsg
15.	15.	Mdo
do	do	Sg
19.	19.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

2.1.2.	2.1.2.	Mdo

Utvrđivanje	utvrđivanje	Ncnsn
adrese	adresa	Ncfsg
prebivališta	prebivalište	Ncnsg

Članak	članak	Ncmsn
15.	15.	Mdo

Ako	ako	Cs
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
u	u	Sl
svojim	svoj	Px-fpl
evidencijama	evidencija	Ncfpl
imaju	imati	Vmr3p
podatke	podatak	Ncmpa
o	o	Sl
sadašnjoj	sadašnji	Agpfsly
adresi	adresa	Ncfsl
prebivališta	prebivalište	Ncnsg
fizičke	fizički	Agpfsgy
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
imatelj	imatelj	Ncmsn
računa	račun	Ncmsg
na	na	Sl
temelju	temelj	Ncmsl
dokumentiranog	dokumentiran	Agpmsgy
dokaza	dokaz	Ncmsg
,	,	Z
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
mogu	moći	Vmr3p
fizičku	fizički	Agpfsay
osobu	osoba	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
imatelj	imatelj	Ncmsn
računa	račun	Ncmsg
smatrati	smatrati	Vmn
u	u	Sa
svrhu	svrha	Ncfsa
oporezivanja	oporezivanje	Ncnsg
rezidentom	rezidentoi	Agpfsgy
države	država	Ncfsg
članice	članica	Ncfsg
i	i	Cc
druge	drugi	Agpfsgy
jurisdikcije	jurisdikcija	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
ta	taj	Pd-fsn
adresa	adresa	Ncfsn
nalazi	nalaziti	Vmr3s
u	u	Sa
svrhu	svrha	Ncfsa
utvrđivanja	utvrđivanje	Ncnsg
je	biti	Var3s
li	li	Qq
imatelj	imatelj	Ncmsn
računa	račun	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
,	,	Z
osoba	osoba	Ncfsn
o	o	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
izvješćuje	izvješćivati	Vmr3s
.	.	Z

2.1.3.	2.1.3.	Mdo

Pretraživanje	pretraživanje	Ncnsn
elektroničkih	elektronički	Agpfpgy
baza	baza	Ncfpg
podataka	podatak	Ncmpg

Članak	članak	Ncmsn
16.	16.	Mdo

Ako	ako	Cs
se	sebe	Px--sa
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
ne	ne	Qz
oslanjaju	oslanjati	Vmr3p
na	na	Sa
podatke	podatak	Ncmpa
o	o	Sl
sadašnjoj	sadašnji	Agpfsly
adresi	adresa	Ncfsl
prebivališta	prebivalište	Ncnsg
fizičke	fizički	Agpfsgy
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
imatelj	imatelj	Ncmsn
računa	račun	Ncmsg
na	na	Sl
temelju	temelj	Ncmsl
dokumentiranog	dokumentiran	Agpmsgy
dokaza	dokaz	Ncmsg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
15.	15.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
tada	tada	Rgp
su	biti	Var3p
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
obvezne	obvezan	Agpfpny
provjeriti	provjeriti	Vmn
svoje	svoj	Px-mpa
podatke	podatak	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
mogu	moći	Vmr3p
pretraživati	pretraživati	Vmn
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
svaku	svaki	Pi-fsa
od	od	Sg
sljedećih	sljedeći	Agpfpgy
indicija	indicija	Ncfpg
,	,	Z
te	te	Cc
postupiti	postupiti	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člancima	članak	Ncmpi
17.	17.	Mdo
do	do	Sg
19.	19.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
:	:	Z

1.	1.	Mdo
za	za	Sa
imatelja	imatelj	Ncmsay
računa	račun	Ncmsg
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
da	da	Cs
je	biti	Var3s
rezident	rezident	Ncmsn
određene	određen	Agpfsgy
države	država	Ncfsg
članice	članica	Ncfsg
i	i	Cc
druge	drugi	Mlofpn
jurisdikcije	jurisdikcija	Ncfpn
,	,	Z

2.	2.	Mdo
sadašnja	sadašnji	Agpfsny
poštanska	poštanski	Agpfsny
adresa	adresa	Ncfsn
ili	ili	Cc
adresa	adresa	Ncfsn
prebivališta	prebivalište	Ncnsg
(	(	Z
uključujući	uključivati	Agpmsny
poštanski	poštanski	Agpmsny
pretinac	pretinac	Ncmsn
)	)	Z
je	biti	Var3s
u	u	Sl
određenoj	određen	Agpfsly
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
,	,	Z

3.	3.	Mdo
jedan	jedan	Mlcmsan
ili	ili	Cc
više	mnogo	Rgc
telefonskih	telefonski	Agpmpgy
brojeva	broj	Ncmpg
je	biti	Var3s
u	u	Sl
određenoj	određen	Agpfsly
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
,	,	Z
a	a	Cc
ne	ne	Qz
postoji	postojati	Vmr3s
telefonski	telefonski	Agpmsny
broj	broj	Ncmsn
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z

4.	4.	Mdo
trajni	trajan	Agpmsayn
nalog	nalog	Ncmsan
(	(	Z
osim	osim	Sg
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
depozitni	depozitni	Agpmsayn
račun	račun	Ncmsan
)	)	Z
za	za	Sa
prijenos	prijenos	Ncmsan
sredstava	sredstvo	Ncnpg
na	na	Sa
račun	račun	Ncmsan
vodi	voditi	Vmr3s
se	sebe	Px--sa
u	u	Sl
određenoj	određen	Agpfsly
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
,	,	Z

5.	5.	Mdo
sadašnja	sadašnji	Agpfsny
važeća	važeći	Agpfsny
punomoć	punomoć	Ncfsn
ili	ili	Cc
ovlaštenje	ovlaštenje	Ncnsn
za	za	Sa
potpisivanje	potpisivanje	Ncnsa
