objektivnosti	objektivnost	Ncfsg
i	i	Cc
nepristranosti	nepristranost	Ncfsg
te	te	Cc
štititi	štititi	Vmn
tajnost	tajnost	Ncfsa
prikupljenih	prikupiti	Appmpgy
podataka	podatak	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
provodi	provoditi	Vmr3s
prijavljivanje	prijavljivanje	Ncnsa
mora	morati	Vmr3s
biti	biti	Van
uspostavljeno	uspostaviti	Appnsny
na	na	Sa
način	način	Ncmsan
da	da	Cs
nije	biti	Var3s
u	u	Sl
sukobu	sukob	Ncmsl
interesa	interes	Ncmsg
s	sa	Si
tijelima	tijelo	Ncnpi
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
provodi	provoditi	Vmr3s
prijavljivanje	prijavljivanje	Ncnsa
mora	morati	Vmr3s
biti	biti	Van
organizirano	organiziran	Agpnsny
i	i	Cc
djelovati	djelovati	Vmn
na	na	Sa
način	način	Ncmsan
da	da	Cs
svaku	svaki	Agpfsay
odluku	odluka	Ncfsa
koja	koji	Pi-fsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
prijavljivanje	prijavljivanje	Ncnsa
tijela	tijelo	Ncnsg
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
donose	donositi	Vmr3p
mjerodavne	mjerodavan	Agpfpny
osobe	osoba	Ncfpn
različite	različit	Agpfpny
od	od	Sg
onih	onaj	Pd-mpg
koje	koji	Pi-fpn
provode	provoditi	Vmr3p
ocjenjivanje	ocjenjivanje	Ncnsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
provodi	provoditi	Vmr3s
prijavljivanje	prijavljivanje	Ncnsa
ne	ne	Qz
smije	smjeti	Vmr3s
nuditi	nuditi	Vmn
niti	niti	Cc
obavljati	obavljati	Vmn
poslove	posao	Ncmpa
koje	koji	Pi-mpa
obavljaju	obavljati	Vmr3p
tijela	tijelo	Ncnpa
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
kao	kao	Cs
ni	ni	Qo
usluge	usluga	Ncfpn
savjetovanja	savjetovanje	Ncnsg
na	na	Sl
tržišnoj	tržišni	Agpfsly
ili	ili	Cc
konkurentskoj	konkurentski	Agpfsly
osnovi	osnova	Ncfsl
.	.	Z

Obveze	obveza	Ncfpn
obavješćivanja	obavješćivanje	Ncnsg
za	za	Sa
nadležno	nadležan	Agpnsay
tijelo	tijelo	Ncnsa
koje	koji	Pi-nsn
provode	provoditi	Vmr3p
prijavljivanje	prijavljivanje	Ncnsa

Članak	članak	Ncmsn
27.	27.	Mdo

Središnje	središnji	Agpnsny
tijelo	tijelo	Ncnsn
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
obavješćuje	obavješćivati	Vmr3s
Europsku	europski	Agpfsay
komisiju	komisija	Ncfsa
o	o	Sl
svojim	svoj	Px-mpl
postupcima	postupak	Ncmpl
vezanim	vezan	Agpmsiy
uz	uz	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
i	i	Cc
prijavljivanje	prijavljivanje	Ncnsa
tijela	tijelo	Ncnsg
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
te	te	Cc
o	o	Sl
praćenju	praćenje	Ncnsl
rada	rad	Ncmsg
tih	taj	Pd-npg
tijela	tijelo	Ncnsg
kao	kao	Cs
i	i	Qo
o	o	Sl
svim	sav	Agpfply
promjenama	promjena	Ncfpl
koje	koji	Pi-fpn
se	sebe	Px--sa
na	na	Sa
njih	oni	Agpmpay
odnose	odnos	Ncmpa
te	te	Cc
o	o	Sl
tome	taj	Pd-nsl
obavješćuje	obavješćivati	Vmr3s
središnje	središnji	Agpnsay
tijelo	tijelo	Ncnsa
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
gospodarstvo	gospodarstvo	Ncnsa
.	.	Z

Zahtjevi	zahtjev	Ncmpn
koje	koji	Pi-fpn
moraju	morati	Vmr3p
ispunjavati	ispunjavati	Vmn
prijavljena	prijaviti	Agpnpay
tijela	tijelo	Ncnpa

Članak	članak	Ncmsn
28.	28.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
rješenja	rješenje	Ncnsg
o	o	Sl
ovlaštenju	ovlaštenje	Ncnsl
koje	koji	Pi-nsn
je	biti	Var3s
donijelo	donijeti	Vmp-sn
središnje	središnji	Agpnsny
tijelo	tijelo	Ncnsn
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
,	,	Z
da	da	Cs
bi	biti	Vaa3s
moglo	moći	Vmp-sn
biti	biti	Van
prijavljeno	prijaviti	Appnsny
,	,	Z
mora	morati	Vmr3s
ispunjavati	ispunjavati	Vmn
uvjete	uvjet	Ncmpa
utvrđene	utvrditi	Appmpay
u	u	Sl
stavcima	stavak	Ncmpl
3.	3.	Mdo
do	do	Sg
11.	11.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
mora	morati	Vmr3s
biti	biti	Van
osnovano	osnovati	Appnsny
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
i	i	Cc
imati	imati	Vmn
pravnu	pravni	Agpfsay
osobnost	osobnost	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
za	za	Sa
ocjenjivane	ocjenjivati	Agpfpay
sukladnosti	sukladnost	Ncfpa
mora	morati	Vmr3s
biti	biti	Van
tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
ima	imati	Vmr3s
svojstvo	svojstvo	Ncnsa
treće	treći	Mlofsg
strane	strana	Ncfsg
