prsa	prsa	Ncnpn
ili	ili	Cc
trbuh	trbuh	Ncmsan
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Pacijent	pacijent	Ncmsn
se	sebe	Px--sa
s	sa	Sg
poda	pod	Ncmsg
podiže	podizati	Vmr3s
na	na	Sa
krevet	krevet	Ncmsan
i	i	Cc
postavlja	postavljati	Vmr3s
u	u	Sa
ležeći	ležeći	Agpmsayn
položaj	položaj	Ncmsan
na	na	Sl
leđima	leđa	Ncnpl
,	,	Z
a	a	Cc
najprije	najprije	Rgp
se	sebe	Px--sa
veže	vezati	Vmr3s
zdjelični	zdjelični	Agpmsny
pojas	pojas	Ncmsn
,	,	Z
zatim	zatim	Rgp
ručni	ručni	Agpmpny
zglobovi	zglob	Ncmpn
i	i	Cc
nakon	nakon	Sg
toga	taj	Pd-nsg
skočni	skočni	Agpmpny
zglobovi	zglob	Ncmpn
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Vezivanje	vezivanje	Ncnsn
se	sebe	Px--sa
provodi	provoditi	Vmr3s
uvijek	uvijek	Rgp
na	na	Sl
velikim	velik	Agpmply
zglobovima	zglob	Ncmpl
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
mogla	moći	Vmp-sf
primijeniti	primijeniti	Vmn
farmakoterapija	farmakoterapija	Ncfsn
i	i	Cc
kako	kako	Cs
bi	biti	Vaa3s
uvijek	uvijek	Rgp
bio	biti	Vap-sm
dostupan	dostupan	Agpmsnn
intravenski	intravenski	Agpmsny
put	put	Ncmsn
.	.	Z

Pritom	pritom	Rgp
se	sebe	Px--sa
mora	morati	Vmr3s
paziti	paziti	Vmn
na	na	Sa
čvrstoću	čvrstoća	Ncfsa
zategnutosti	zategnutost	Ncfsg
fizičkih	fizički	Agpnpgy
pomagala	pomagalo	Ncnpg
(	(	Z
ne	ne	Qz
stegnuti	stegnuti	Vmn
prejako	prejak	Agpnsay
niti	niti	Cc
prelabavo	prelabav	Agpnsny
)	)	Z
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Vezivanje	vezivanje	Ncnsn
se	sebe	Px--sa
može	moći	Vmr3s
provesti	provesti	Vmn
oblačenjem	oblačenje	Ncnsi
pacijenta	pacijent	Ncmsg
u	u	Sa
zaštitnu	zaštitni	Agpfsay
košulju	košulja	Ncfsa
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Sve	sav	Agpfpay
vrijednosti	vrijednost	Ncfpa
i	i	Cc
dragocjenosti	dragocjenost	Ncfpg
koje	koji	Pi-fpa
pacijent	pacijent	Ncmsn
ima	imati	Vmr3s
na	na	Sa
sebi	sebe	Px--sl
treba	trebati	Vmr3s
s	sa	Sg
njega	on	Pp3msg
skinuti	skinuti	Vmn
i	i	Cc
pohraniti	pohraniti	Vmn
na	na	Sa
sigurno	siguran	Agpnsay
mjesto	mjesto	Ncnsa
na	na	Sl
odjelu	odjel	Ncmsl
u	u	Sa
odjelni	odjelni	Agpmsayn
sef	sef	Ncmsan
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kako	kako	Cs
se	sebe	Px--sa
pacijent	pacijent	Ncmsn
smiruje	smirivati	Vmr3s
tako	tako	Rgp
se	sebe	Px--sa
smanjuje	smanjivati	Vmr3s
i	i	Qo
broj	broj	Ncmsn
točaka	točka	Ncfpg
sputavanja	sputavanje	Ncnsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
procjena	procjena	Ncfsn
takva	takav	Pd-fsn
da	da	Cs
se	sebe	Px--sa
može	moći	Vmr3s
osloboditi	osloboditi	Vmn
samo	samo	Rgp
jedna	jedan	Mlcfsn
točka	točka	Ncfsn
sputavanja	sputavanje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
nema	nemati	Vmr3s
mogućnosti	mogućnost	Ncfsg
smanjenja	smanjenje	Ncnsg
broja	broj	Ncmsg
točaka	točka	Ncfpg
sputavanja	sputavanje	Ncnsg
,	,	Z
povremeno	povremeno	Rgp
se	sebe	Px--sa
oslobađaju	oslobađati	Vmr3p
jedna	jedan	Mlcfsn
po	po	Sa
jedna	jedan	Mlcfsn
točka	točka	Ncfsn
sputavanja	sputavanje	Ncnsg
i	i	Cc
to	taj	Pd-nsn
naizmjenično	naizmjeničan	Agpnsny
svakih	svaki	Pi-mpg
sat	sat	Ncmsan
vremena	vrijeme	Ncnsg
,	,	Z
kada	kada	Cs
se	sebe	Px--sa
obvezno	obvezno	Rgp
masiraju	masirati	Vmr3p
ili	ili	Cc
razgibavaju	razgibavati	Vmr3p
radi	radi	Sg
održavanja	održavanje	Ncnsg
cirkulacije	cirkulacija	Ncfsg
i	i	Cc
sprečavanja	sprečavanje	Ncnsg
oštećenja	oštećenje	Ncnsg
ekstremiteta	ekstremitet	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Pacijentu	pacijent	Ncmsd
koji	koji	Pi-msn
je	biti	Var3s
sputan	sputati	Appmsnn
u	u	Sl
pravilu	pravilo	Ncnsl
se	sebe	Px--sa
omogućava	omogućavati	Vmr3s
razgibavanje	razgibavanje	Ncnsa
svaka	svaki	Pi-fsn
dva	dva	Mlc
sata	sat	Ncmsg
po	po	Sa
15	15	Mdc
minuta	minuta	Ncfpg
i	i	Cc
obavljanje	obavljanje	Ncnsa
ostalih	ostali	Agpfpgy
potreba	potreba	Ncfpg
pod	pod	Si
nadzorom	nadzor	Ncmsi
zdravstvenih	zdravstven	Agpmpgy
radnika	radnik	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Uvijek	uvijek	Rgp
kada	kada	Cs
je	biti	Var3s
to	taj	Pd-nsn
moguće	moguć	Agpnsny
,	,	Z
pacijenta	pacijent	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
sputan	sputati	Appmsnn
treba	trebati	Vmr3s
smjestiti	smjestiti	Vmn
samog	sam	Agpnsgy
u	u	Sa
sobu	soba	Ncfsa
te	te	Cc
osigurati	osigurati	Vmn
stalni	stalan	Agpmsayn
video	video	Ncmsan
nadzor	nadzor	Ncmsan
i	i	Cc
promatranje	promatranje	Ncnsa
zdravstvenih	zdravstven	Agpmpgy
radnika	radnik	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Pacijentu	pacijent	Ncmsd
koji	koji	Pi-msn
je	biti	Var3s
sputan	sputati	Appmsnn
mora	morati	Vmr3s
se	sebe	Px--sa
osigurati	osigurati	Vmn
dovoljan	dovoljan	Agpmsann
unos	unos	Ncmsan
tekućine	tekućina	Ncfsg
te	te	Cc
pratiti	pratiti	Vmn
njegov	njegov	Ps3msan
