roditeljima	roditelj	Ncmpd
i	i	Cc
djeci	dijete	Ncnpd
.	.	Z

Dužnost	dužnost	Ncfsn
suradnje	suradnja	Ncfsg
roditelja	roditelj	Ncmpg
i	i	Cc
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
skrbe	skrbiti	Vmr3p
o	o	Sl
djetetu	dijete	Ncnsl

Članak	članak	Ncmsn
133.	133.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Roditelji	roditelj	Ncmpn
i	i	Cc
druge	drugi	Mlofpn
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
skrbe	skrbiti	Vmr3p
o	o	Sl
djetetu	dijete	Ncnsl
dužne	dužan	Agpfsgy
su	biti	Var3p
u	u	Sl
postupcima	postupak	Ncmpl
radi	radi	Sg
zaštite	zaštita	Ncfsg
prava	pravo	Ncnsg
i	i	Cc
dobrobiti	dobrobit	Ncfsg
djeteta	dijete	Ncnsg
surađivati	surađivati	Vmn
te	te	Cc
omogućiti	omogućiti	Vmn
centru	centar	Ncmsd
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
uvid	uvid	Ncmsan
u	u	Sa
stambene	stambeni	Agpfpay
prilike	prilika	Ncfpa
,	,	Z
davati	davati	Vmn
istinite	istinit	Agpfpay
osobne	osoban	Agpfpay
i	i	Cc
obiteljske	obiteljski	Agpmpay
podatke	podatak	Ncmpa
,	,	Z
kao	kao	Cs
i	i	Qo
podatke	podatak	Ncmpa
o	o	Sl
prihodima	prihod	Ncmpl
i	i	Cc
imovini	imovina	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Roditelji	roditelj	Ncmpn
i	i	Cc
druge	drugi	Mlofpn
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
skrbe	skrbiti	Vmr3p
o	o	Sl
djetetu	dijete	Ncnsl
dužne	dužan	Agpfsgy
su	biti	Var3p
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
postupcima	postupak	Ncmpi
radi	radi	Sg
zaštite	zaštita	Ncfsg
prava	pravo	Ncnsg
i	i	Cc
