nadležnom	nadležan	Agpnsly
tijelu	tijelo	Ncnsl
zbog	zbog	Sg
kaznenog	kazneni	Agpmsgy
dijela	dio	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
60.	60.	Mdo

U	u	Sl
članku	članak	Ncmsl
259.	259.	Mdo
iza	iza	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
stavak	stavak	Ncmsn
4.	4.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
4	4	Mdc
)	)	Z
Za	za	Sa
prekršaj	prekršaj	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
podstavka	podstavak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
kaznit	kazniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
i	i	Qo
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
–	–	Z
obrtnik	obrtnik	Ncmsn
novčanom	novčan	Agpfsiy
kaznom	kazna	Ncfsi
od	od	Sg
5000,00	5000,00	Mdc
do	do	Sg
10.000,00	10.000,00	Mdc
kuna	kuna	Ncfpg
.	.	Z
«	«	Z

Članak	članak	Ncmsn
61.	61.	Mdo

U	u	Sl
članku	članak	Ncmsl
260.	260.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
podstavci	podstavak	Ncmpn
15.	15.	Mdo
,	,	Z
16.	16.	Mdo
i	i	Cc
17.	17.	Mdo
mijenjaju	mijenjati	Vmr3p
se	sebe	Px--sa
i	i	Cc
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
15.	15.	Mdo
utvrdi	utvrditi	Vmr3s
prisutnost	prisutnost	Ncfsn
velikih	velik	Agpfpgy
količina	količina	Ncfpg
opasnih	opasan	Agpfpgy
tvari	tvar	Ncfpg
,	,	Z
a	a	Cc
ne	ne	Qz
izradi	izraditi	Vmr3s
Izvješće	izvješće	Ncnsn
o	o	Sl
sigurnosti	sigurnost	Ncfsl
(	(	Z
članak	članak	Ncmsn
122.	122.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
)	)	Z
,	,	Z

16.	16.	Mdo
ne	ne	Qz
izradi	izraditi	Vmr3s
Politiku	politika	Ncfsa
sprječavanja	sprječavanje	Ncnsg
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
u	u	Sl
kojoj	koji	Pi-fsl
utvrđuje	utvrđivati	Vmr3s
svoje	svoj	Px-nsa
postupanje	postupanje	Ncnsa
u	u	Sl
vezi	veza	Ncfsl
sa	sa	Si
sprječavanjem	sprječavanje	Ncnsi
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
,	,	Z
odnosno	odnosno	Rgp
ne	ne	Qz
postupa	postupati	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tom	taj	Pd-fsi
Politikom	politika	Ncfsi
(	(	Z
članak	članak	Ncmsn
121.	121.	Mdo
stavak	stavak	Ncmsn
