automatski	automatski	Rgp
isključiti	isključiti	Vmn
kad	kad	Cs
se	sebe	Px--sa
uključe	uključiti	Vmr3p
glavna	glavni	Agpnpny
svjetla	svjetlo	Ncnpn
,	,	Z
osim	osim	Cs
kad	kad	Cs
se	sebe	Px--sa
glavna	glavni	Agpnpny
svjetla	svjetlo	Ncnpn
koriste	koristiti	Vmr3p
za	za	Sa
davanje	davanje	Ncnsa
isprekidanih	isprekidan	Agpnpgy
svjetlosnih	svjetlosni	Agpnpgy
upozorenja	upozorenje	Ncnpg
u	u	Sl
kratkim	kratak	Agpmply
razmacima	razmak	Ncmpl
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
vojna	vojni	Agpnpay
vozila	vozilo	Ncnpa
oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

Članak	članak	Ncmsn
46.	46.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Označavanje	označavanje	Ncnsn
visoke	visok	Agpfsgy
uočljivosti	uočljivost	Ncfsg
(	(	Z
retroreflektirajuće	retroreflektirajući	Agpfsgy
trake	traka	Ncfsg
za	za	Sa
označavanje	označavanje	Ncnsa
konture	kontura	Ncfsg
vozila	vozilo	Ncnsg
)	)	Z
mogu	moći	Vmr3p
se	sebe	Px--sa
postavljati	postavljati	Vmn
na	na	Sa
sva	sav	Agpnpay
vozila	vozilo	Ncnpa
osim	osim	Cs
na	na	Sa
vozila	vozilo	Ncnpa
kategorija	kategorija	Ncfpg
M1	M1	Pi-fpa
i	i	Cc
O1	oi	Agpnsny
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Označavanje	označavanje	Ncnsn
visoke	visok	Agpfsgy
uočljivosti	uočljivost	Ncfsg
(	(	Z
retroreflektirajuće	retroreflektirajući	Agpfsgy
trake	traka	Ncfsg
za	za	Sa
označavanje	označavanje	Ncnsa
konture	kontura	Ncfsg
vozila	vozilo	Ncnsg
)	)	Z
postavlja	postavljati	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
:	:	Z

–	–	Z
straga	straga	Rgp
cjelovito	cjelovit	Agpnsny
rubno	rubni	Agpnsny
označavanje	označavanje	Ncnsn
na	na	Sl
vozilima	vozilo	Ncfpl
širine	širina	Ncfsg
veće	veliko	Rgc
od	od	Sg
2100	2100	Mdc
mm	mm	Y
sljedećih	sljedeći	Agpfpgy
kategorija	kategorija	Ncfpg
:	:	Z

a	a	Cc
)	)	Z
N2	na	Ncfpn
mase	masa	Ncfsg
veće	veliko	Rgc
od	od	Sg
7,5	7,5	Mdc
t	t	Y
i	i	Cc
N3	N3	Pq3n-n
(	(	Z
s	sa	Si
iznimkom	iznimka	Ncfsi
šasije	šasija	Ncfsg
s	sa	Si
kabinom	kabina	Ncfsi
,	,	Z
nepotpunih	nepotpun	Agpnpgy
vozila	vozilo	Ncnpg
i	i	Cc
tegljača	tegljač	Ncmsg
za	za	Sa
poluprikolice	poluprikolica	Ncfpa
)	)	Z

b	b	Npmsn
)	)	Z
O3	O3	Y
i	i	Cc
O4	O4	X

–	–	Z
bočno	bočno	Rgp
djelomično	djelomičan	Agpnsny
rubno	rubni	Agpnsny
označavanje	označavanje	Ncnsn
na	na	Sl
vozilima	vozilo	Ncfpl
duljine	duljina	Ncfsg
veće	veliko	Rgc
od	od	Sg
6000	6000	Mdc
mm	mm	Y
(	(	Z
uključujući	uključivati	Rr
i	i	Cc
rudo	rudo	Ncnsa
kod	kod	Sg
prikolica	prikolica	Ncfpg
)	)	Z
sljedećih	sljedeći	Agpfpgy
kategorija	kategorija	Ncfpg
:	:	Z

a	a	Cc
)	)	Z
N2	na	Ncfpn
mase	masa	Ncfsg
veće	veliko	Rgc
od	od	Sg
7,5	7,5	Mdc
t	t	Y
i	i	Cc
N3	N3	Pq3n-n
(	(	Z
s	sa	Si
iznimkom	iznimka	Ncfsi
šasije	šasija	Ncfsg
s	sa	Si
kabinom	kabina	Ncfsi
,	,	Z
nepotpunih	nepotpun	Agpnpgy
vozila	vozilo	Ncnpg
i	i	Cc
tegljača	tegljač	Ncmsg
za	za	Sa
poluprikolice	poluprikolica	Ncfpa
)	)	Z

b	b	Npmsn
)	)	Z
O3	O3	Y
i	i	Cc
O4	O4	X

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
oblik	oblik	Ncmsn
