nacionalnog	nacionalan	Agpnsgy
prava	pravo	Ncnsg
koja	koji	Pi-fsn
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
na	na	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
,	,	Z
osim	osim	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
kad	kad	Cs
ih	oni	Pp3-pa
zahtijeva	zahtijevati	Vmr3s
nadležno	nadležan	Agpnsay
tijelo	tijelo	Ncnsa
države	država	Ncfsg
članice	članica	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
provode	provoditi	Vmr3p
svoje	svoj	Px-fpa
aktivnosti	aktivnost	Ncfpa
.	.	Z

Vlasnička	vlasnički	Agpnpny
prava	pravo	Ncnpn
moraju	morati	Vmr3p
biti	biti	Van
zaštićena	zaštititi	Appfsny
.	.	Z

(	(	Z
19	19	Mdc
)	)	Z
Tijela	tijelo	Ncnsg
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
,	,	Z
osobno	osobno	Rgp
ili	ili	Cc
preko	preko	Sg
imenovanih	imenovati	Agpmpgy
zastupnika	zastupnik	Ncmpg
,	,	Z
moraju	morati	Vmr3p
sudjelovati	sudjelovati	Vmn
u	u	Sl
relevantnim	relevantan	Agpfply
aktivnostima	aktivnost	Ncfpl
normizacije	normizacija	Ncfsg
i	i	Cc
aktivnostima	aktivnost	Ncfpl
koordinacijske	koordinacijski	Agpfsgy
skupine	skupina	Ncfsg
prijavljenih	prijaviti	Appnpgy
tijela	tijelo	Ncnsg
za	za	Sa
posude	posuda	Ncfpa
ili	ili	Cc
osigurati	osigurati	Vmn
da	da	Cs
je	biti	Var3s
njihovo	njihov	Ps3nsn
osoblje	osoblje	Ncnsn
odgovorno	odgovoran	Agpnsny
za	za	Sa
provedbu	provedba	Ncfsa
zadaća	zadaća	Ncfpg
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
obaviješteno	obavijestiti	Appnsny
o	o	Sl
tim	taj	Pd-fpl
aktivnostima	aktivnost	Ncfpl
.	.	Z

Tijela	tijelo	Ncnpn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
kao	kao	Cs
opće	opći	Agpfsgy
smjernice	smjernica	Ncfsg
primjenjuju	primjenjivati	Vmr3p
administrativne	administrativan	Agpfpay
odluke	odluka	Ncfpa
i	i	Cc
dokumente	dokument	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
izrađeni	izraditi	Appmpny
kao	kao	Cs
rezultat	rezultat	Ncmsan
rada	rad	Ncmsg
te	taj	Pd-fsg
skupine	skupina	Ncfsg
.	.	Z

Članak	članak	Ncmsn
21.	21.	Mdo

Pretpostavka	pretpostavka	Ncfsn
sukladnosti	sukladnost	Ncfsg
prijavljenih	prijaviti	Agpnpgy
tijela	tijelo	Ncnpg

Ako	ako	Cs
tijelo	tijelo	Ncnsn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
