stupa	stupati	Vmr3s
u	u	Sa
pravni	pravni	Agpmsayn
položaj	položaj	Ncmsan
svoga	svoj	Px-msg
prednika	prednik	Ncmsg
,	,	Z
ako	ako	Cs
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
nije	biti	Var3s
drukčije	drugačije	Rgp
određeno	odrediti	Appnsny
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Prijenos	prijenos	Ncmsn
tražbine	tražbina	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
dokazivati	dokazivati	Vmn
u	u	Sl
stečajnom	stečajni	Agpmsly
postupku	postupak	Ncmsl
samo	samo	Rgp
javnom	javan	Agpmsly
ili	ili	Cc
javno	javno	Rgp
ovjerovljenom	ovjeroviti	Agpfsiy
ispravom	isprava	Ncfsi
ili	ili	Cc
izjavom	izjava	Ncfsi
stečajnoga	stečajni	Agpmsgy
vjerovnika	vjerovnik	Ncmsg
danom	dan	Ncmsi
pred	pred	Si
sudom	sud	Ncmsi
.	.	Z

5.3.	5.3.	Mdo

Izlučni	izlučni	Agpmpny
vjerovnici	vjerovnik	Ncmpn

Izlučna	izlučni	Agpnpay
prava	pravo	Ncnpa
.	.	Z

Pravo	prav	Agpnsny
na	na	Sa
vraćanje	vraćanje	Ncnsa
stvari	stvar	Ncfpg

Članak	članak	Ncmsn
147.	147.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Osoba	osoba	Ncfsn
koja	koji	Pi-fsn
na	na	Sl
temelju	temelj	Ncmsl
kojega	koji	Pi-msg
svoga	svoj	Ncmsg
stvarnog	stvaran	Agpnsgy
ili	ili	Cc
osobnog	osoban	Agpnsgy
prava	pravo	Ncnsg
može	moći	Vmr3s
dokazati	dokazati	Vmn
da	da	Cs
neki	neki	Pi-msn
predmet	predmet	Ncmsn
ne	ne	Qz
ulazi	ulaziti	Vmr3s
u	u	Sa
stečajnu	stečajni	Agpfsay
masu	masa	Ncfsa
nije	biti	Var3s
stečajni	stečajni	Agpmsny
vjerovnik	vjerovnik	Ncmsn
.	.	Z

Njezino	njezin	Ps3nsn
će	htjeti	Var3s
se	sebe	Px--sa
pravo	prav	Agpnsny
na	na	Sa
izdvajanje	izdvajanje	Ncnsa
predmeta	predmet	Ncmsg
utvrđivati	utvrđivati	Vmn
prema	prema	Sl
pravilima	pravilo	Ncnpl
za	za	Sa
ostvarivanje	ostvarivanje	Ncnsa
tih	taj	Pd-npg
prava	pravo	Ncnpg
izvan	izvan	Sg
stečajnoga	stečajni	Agpmsgy
postupka	postupak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
