pred	pred	Si
nadležnim	nadležan	Agpmsiy
sudom	sud	Ncmsi
,	,	Z

–	–	Ncmsn
kad	kad	Cs
korisnik	korisnik	Ncmsn
ne	ne	Qz
poštuje	poštovati	Vmr3s
odredbe	odredba	Ncfpa
Pravilnika	pravilnik	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
Natječaja	natječaj	Ncmsg
,	,	Z

–	–	Ncmsn
kad	kad	Cs
korisnik	korisnik	Ncmsn
nije	biti	Var3s
ispunio	ispuniti	Vmp-sm
obveze	obveza	Ncfpa
određene	određen	Agpfsgy
Odlukom	odluka	Ncfsi
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Izjava	izjava	Ncfsn
o	o	Sl
poništenju	poništenje	Ncnsl
obveze	obveza	Ncfsg
se	sebe	Px--sa
izdaje	izdavati	Vmr3s
ukoliko	ukoliko	Cs
slučajevi	slučaj	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nastupe	nastupiti	Vmr3p
nakon	nakon	Sg
izdavanja	izdavanje	Ncnsg
Odluke	odluka	Ncfsg
dodjeli	dodjela	Agpnpgy
sredstava	sredstvo	Ncnpg
iz	iz	Sg
članka	članak	Ncmsg
11.	11.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
a	a	Cc
)	)	Z
odnosno	odnosno	Rgp
članka	članak	Ncmsg
12.	12.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
točke	točka	Ncfsg
a	a	Cc
)	)	Z
,	,	Z
a	a	Cc
prije	prije	Sg
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Izjava	izjava	Ncfsn
o	o	Sl
poništenju	poništenje	Ncnsl
obveze	obveza	Ncfsg
se	sebe	Px--sa
izdaje	izdavati	Vmr3s
i	i	Cc
ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
ne	ne	Qz
dostavi	dostaviti	Vmr3s
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

V.	V.	Y
ZAHTJEV	zahtjev	Ncmsan
ZA	za	Sa
ISPLATU	isplata	Ncfsa
,	,	Z
POSTUPAK	postupak	Ncmsan
OBRADE	obrada	Ncfsg
,	,	Z
DONOŠENJE	donošenje	Ncnsn
ODLUKE	odluka	Ncfsg
I	i	Cc
ISPLATA	isplata	Ncfsn

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Potpora	potpora	Ncfsn
se	sebe	Px--sa
korisniku	korisnik	Ncmsd
dodjeljuje	dodjeljivati	Vmr3s
na	na	Sl
temelju	temelj	Ncmsl
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
Upravljačkom	upravljački	Agpnsly
tijelu	tijelo	Ncnsl
na	na	Sa
način	način	Ncmsan
kako	kako	Cs
je	biti	Var3s
propisano	propisati	Appnsny
Natječajem	natječaj	Ncmsi
i	i	Cc
Odlukom	odluka	Ncfsi
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
,	,	Z
uključujući	uključivati	Rr
i	i	Qo
propisanu	propisati	Agpfsay
popratnu	popratni	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Korisniku	korisnik	Ncmsd
se	sebe	Px--sa
ne	ne	Qz
može	moći	Vmr3s
isplatiti	isplatiti	Vmn
potpora	potpora	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
višem	visok	Agcmsly
od	od	Sg
iznosa	iznos	Ncmsg
navedenoga	naveden	Agpmsgy
u	u	Sl
Odluci	odluka	Ncfsl
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
nepotpun	nepotpun	Agpmsann
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
izdati	izdati	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
kojim	koji	Pi-msi
će	htjeti	Var3s
od	od	Sg
korisnika	korisnik	Ncmpg
tražiti	tražiti	Vmn
dostavljanje	dostavljanje	Ncnsa
dokumentacije	dokumentacija	Ncfsg
koja	koji	Pi-fsn
nedostaje	nedostajati	Vmr3s
.	.	Z

Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
traženu	tražen	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
deset	deset	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Vremenom	vrijeme	Ncnsi
zaprimanja	zaprimanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsn
smatra	smatrati	Vmr3s
se	sebe	Px--sa
datum	datum	Ncmsn
kada	kada	Cs
korisnik	korisnik	Ncmsn
zaprimi	zaprimiti	Vmr3s
preporučenu	preporučiti	Agpfsay
pošiljku	pošiljka	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
se	sebe	Px--sa
tijekom	tijekom	Sg
obrade	obrada	Ncfsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
utvrdi	utvrditi	Vmr3s
nepravilnost	nepravilnost	Ncfsa
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
iznos	iznos	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
sukladno	sukladan	Agpnsny
odluci	odluka	Ncfsl
o	o	Sl
utvrđenoj	utvrditi	Agpfsly
nepravilnosti	nepravilnost	Ncfsl
određen	odrediti	Appmsnn
kao	kao	Cs
nepravilan	nepravilan	Agpmsnn
odbiti	odbiti	Vmn
od	od	Sg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
i	i	Cc
izdati	izdati	Vmn
Odluku	odluka	Ncfsa
o	o	Sl
isplati	isplata	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
će	htjeti	Var3s
ukupan	ukupan	Agpmsnn
iznos	iznos	Ncmsn
biti	biti	Van
umanjen	umanjiti	Appmsnn
za	za	Sa
nepravilan	nepravilan	Agpmsann
iznos	iznos	Ncmsan
.	.	Z

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nakon	nakon	Sg
provedene	provesti	Agpfsgy
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
i	i	Cc
kontrole	kontrola	Ncfpa
na	na	Sl
