Popisa	popis	Ncmsg
.	.	Z

Ad	ai	Agpfsny
Skupina	skupina	Ncfsn
XI	xi	Mrc
.	.	Z

Ocjena	ocjena	Ncfsn
zdravstvene	zdravstven	Agpfsgy
sposobnosti	sposobnost	Ncfsg
donosi	donositi	Vmr3s
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
nalaza	nalaz	Ncmsg
doktora	doktor	Ncmsg
dentalne	dentalan	Agpfsgy
medicine	medicina	Ncfsg
ili	ili	Cc
nadležnog	nadležan	Agpmsgy
specijalista	specijalist	Ncmsg
medicine	medicina	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
nalaza	nalaz	Ncmpg
polikliničko-bolničko-kliničkih	polikliničko-bolničko-klinički	Agpnsgy
ispitivanja	ispitivanje	Ncnsg
.	.	Z

Ad	ad	Ncmsn
84.	84.	Mdo
,	,	Z
85.	85.	Mdo
,	,	Z
86.	86.	Mdo
,	,	Z
87.	87.	Mdo
i	i	Cc
88.	88.	Mdo

Obvezatan	obvezatan	Agpmsnn
nalaz	nalaz	Ncmsn
doktora	doktor	Ncmsg
dentalne	dentalan	Agpfsgy
medicine	medicina	Ncfsg
.	.	Z

Ad	Ad	Sg
84.	84.	Mdo

Dijagnoza	dijagnoza	Ncfsn
nedostatak	nedostatak	Ncmsn
zuba	zub	Ncmpg
isključuje	isključivati	Vmr3s
umnjake	umnjak	Ncmpa
,	,	Z
retinirane	retinirana	Ncfpa
i	i	Cc
impaktirane	impaktiran	Agpmpay
zube	zub	Ncmpa
,	,	Z
zube	zub	Ncmpa
izvađene	izvaditi	Appmpay
iz	iz	Sg
ortodontskih	ortodontski	Agpmpgy
razloga	razlog	Ncmpg
te	te	Cc
nedostatak	nedostatak	Ncmsn
zuba	zub	Ncmpg
saniran	sanirati	Appmsnn
protetskim	protetski	Agpmsiy
nadomjeskom	nadomjesak	Ncmsi
(	(	Z
mobilni	mobilan	Agpmpny
,	,	Z
fiksni	fiksan	Agpmpny
,	,	Z
implatoprotetski	implatoprotetska	Ncfsl
)	)	Z
.	.	Z

Kandidati	kandidat	Ncmpn
raspoređeni	rasporediti	Appmpny
na	na	Sl
poslovima	posao	Ncmpl
visokog	visok	Agpmsgy
i	i	Cc
niskog	nizak	Agpmsgy
atmosferskog	atmosferski	Agpmsgy
tlaka	tlak	Ncmsg
(	(	Z
piloti	pilot	Ncmpn
,	,	Z
letačko	letački	Agpnsny
osoblje	osoblje	Ncnsn
,	,	Z
ronioci	ronioc	Ncmpn
,	,	Z
podmorničari	podmorničar	Ncmpn
i	i	Cc
dr.	dr.	Y
)	)	Z
moraju	morati	Vmr3p
imati	imati	Vmn
potpuno	potpuno	Rgp
zdrave	zdrav	Agpfsgy
ili	ili	Cc
sanirane	sanirati	Agpmpay
zube	zub	Ncmpa
i	i	Cc
ne	ne	Qz
