disforija	disforij	Ncmpg
te	te	Cc
će	htjeti	Var3s
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
biti	biti	Van
korišten	koristiti	Appmsnn
taj	taj	Pd-msn
termin	termin	Ncmsn
kada	kada	Rgp
se	sebe	Px--sa
govori	govoriti	Vmr3s
o	o	Sl
dijagnostičkom	dijagnostički	Agpmsly
entitetu	entitet	Ncmsl
,	,	Z
te	te	Cc
pojam	pojam	Ncmsn
transpolnost	transpolnos	Ncmsl
koji	koji	Pi-msn
označava	označavati	Vmr3s
osobe	osoba	Ncfpa
koje	koji	Pi-fpn
žele	željeti	Vmr3p
prilagoditi	prilagoditi	Vmn
ili	ili	Cc
su	biti	Var3p
već	već	Rgp
prilagodile	prilagoditi	Vmp-pf
svoje	svoj	Px-mpa
primarne	primaran	Agpmpay
i	i	Cc
/	/	Z
ili	ili	Cc
sekundarne	sekundaran	Agpfsgy
spolne	spolan	Agpfsgy
karakteristike	karakteristika	Ncfsg
feminizirajućim	feminizirajućia	Ncfsg
ili	ili	Cc
maskulinizirajućim	maskulinizirajući	Agpfpiy
medicinskim	medicinski	Agpfpiy
intervencijama	intervencija	Ncfpi
[	[	Z
2	2	Mdc
]	]	Z
Uz	uz	Sa
dopuštenje	dopuštenje	Ncnsa
,	,	Z
prilagođeno	prilagoditi	Appnsny
prema	prema	Sl
Hembree	Hembre	Npmsl
i	i	Cc
sur	sur	Agpmsnn
.	.	Z
(	(	Z
2009	2009	Mdc
)	)	Z
.	.	Z

Copyright	copyright	Ncmsn
2009	2009	Mdc
,	,	Z
The	Tha	Npfsg
Endocrine	Endocrina	Npfsg
Society	Society	Npfsg
.	.	Z
[	[	Z
3	3	Mdc
]	]	Z
Procjene	procjena	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
objavljenih	objavljen	Agpmpgy
i	i	Cc
neobjavljenih	neobjavljen	Agpnpgy
kliničkih	klinički	Agpnpgy
istraživanja	istraživanje	Ncnpg
.	.	Z
[	[	Z
4	4	Mdc
]	]	Z
Izrazito	izrazito	Rgp
ovisi	ovisiti	Vmr3s
o	o	Sl
dobi	doba	Ncfsl
i	i	Cc
nasljednim	nasljedan	Agpmply
faktorima	faktor	Ncmpl
;	;	Z
učinak	učinak	Ncmsn
može	moći	Vmr3s
biti	biti	Van
minimalan	minimalan	Agpmsnn
.	.	Z
[	[	Z
5	5	Mdc
]	]	Z
Izrazito	izrazito	Rgp
ovisi	ovisiti	Vmr3s
o	o	Sl
učestalosti	učestalost	Ncfsl
vježbanja	vježbanje	Ncnsg
.	.	Z
[	[	Z
6	6	Mdc
]	]	Z
Uz	uz	Sa
dopuštenje	dopuštenje	Ncnsa
,	,	Z
prilagođeno	prilagoditi	Appnsny
prema	prema	Sl
Hembree	Hembre	Npmsl
i	i	Cc
sur	sur	Agpmsnn
.	.	Z
(	(	Z
2009	2009	Mdc
)	)	Z
.	.	Z

Copyright	copyright	Ncmsn
2009.	2009.	Mdo

The	Tha	Npfsg
Endocrine	Endocrina	Npfsg
Society	Society	Npfsg
.	.	Z
[	[	Z
7	7	Mdc
]	]	Z
Procjene	procjena	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
objavljenih	objavljen	Agpmpgy
i	i	Cc
neobjavljenih	neobjavljen	Agpnpgy
kliničkih	klinički	Agpnpgy
istraživanja	istraživanje	Ncnpg
.	.	Z
[	[	Z
8	8	Mdc
]	]	Z
Izrazito	izrazito	Rgp
ovisi	ovisiti	Vmr3s
o	o	Sl
učestalosti	učestalost	Ncfsl
vježbanja	vježbanje	Ncnsg
.	.	Z
[	[	Z
9	9	Mdc
]	]	Z
Potpuno	potpun	Agpnsay
uklanjanje	uklanjanje	Ncnsa
muških	muški	Agpfpgy
facijalnih	facijalan	Agpfpgy
i	i	Cc
tjelesnih	tjelesni	Agpfpgy
dlaka	dlaka	Ncfpg
zahtijeva	zahtijevati	Vmr3s
elektrolizu	elektroliza	Ncfsa
,	,	Z
laserski	laserski	Agpmsayn
tretman	tretman	Ncmsan
ili	ili	Cc
oboje	obojiti	Vmr3p
.	.	Z
[	[	Z
10	10	Mdc
]	]	Z
Rizik	rizik	Ncmsn
je	biti	Var3s
veći	velik	Agcmsny
kod	kod	Sg
oralnoga	oralan	Agpnsgy
uzimanja	uzimanje	Ncnsg
estrogena	estrogen	Ncmsg
nego	nego	Cc
kod	kod	Sg
transdermalnoga	transdermalan	Agpnsgy
uzimanja	uzimanje	Ncnsg
.	.	Z
11	11	Mdc
Dodatni	dodatan	Agpmsny
rizični	rizičan	Agpmsny
faktor	faktor	Ncmsn
je	biti	Var3s
i	i	Qo
dob	dob	Ncfsn
.	.	Z
12	12	Mdc
Dodatni	dodatan	Agpmsny
rizični	rizičan	Agpmsny
faktor	faktor	Ncmsn
je	biti	Var3s
i	i	Qo
dob	dob	Ncfsn
.	.	Z
13	13	Mdc
Rizik	rizik	Ncmsn
je	biti	Var3s
veći	velik	Agcmsny
kod	kod	Sg
oralne	oralan	Agpfsgy
primjene	primjena	Ncfsg
estrogena	estrogen	Ncmsg
nego	nego	Cc
kod	kod	Sg
transdermalnoga	transdermalan	Agpnsgy
uzimanja	uzimanje	Ncnsg
.	.	Z
14	14	Mdc
U	u	Sa
njih	oni	Pp3-pa
su	biti	Var3p
uključeni	uključiti	Appmpny
bipolarni	bipolaran	Agpmpny
,	,	Z
shizoafektivni	shizoafektivan	Agpmpny
i	i	Cc
ostali	ostali	Agpmpny
poremećaji	poremećaj	Ncmpn
koji	koji	Pi-mpn
mogu	moći	Vmr3p
imati	imati	Vmn
manične	maničan	Agpfpay
ili	ili	Cc
psihotične	psihotičan	Agpmpay
simptome	simptom	Ncmpa
.	.	Z

Čini	činiti	Vmr3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
ovaj	ovaj	Pd-msn
nepoželjni	nepoželjan	Agpmsny
efekt	efekt	Ncmsn
povezan	povezan	Agpmsnn
s	sa	Si
višim	visok	Agcfpiy
dozama	doza	Ncfpi
ili	ili	Cc
suprafiziološkim	suprafiziološki	Agpfpiy
razinama	razina	Ncfpi
testosterona	testosteron	Ncmsg
.	.	Z

