naizmjenični	naizmjeničan	Agpmsny
jednosmjerni	jednosmjeran	Agpmsny
prolazak	prolazak	Ncmsn
na	na	Sl
pojedinim	pojedini	Agpmply
sektorima	sektor	Ncmpl
da	da	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
izbjeglo	izbjeći	Vmp-sn
svako	svaki	Agpnsny
susretanje	susretanje	Ncnsn
:	:	Z

–	–	Z
zabrana	zabrana	Ncfsn
prolaza	prolaz	Ncmsg
obilježava	obilježavati	Vmr3s
se	sebe	Px--sa
općim	opći	Agpmsiy
znakom	znak	Ncmsi
zabrane	zabrana	Ncfsg
A.	aa	Ncfsg
1	1	Mdc
iz	iz	Sg
Priloga	prilog	Ncmsg
7	7	Mdc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

–	i	Agpnsay
odobrenje	odobrenje	Ncnsa
prolaza	prolaz	Ncmsg
obilježava	obilježavati	Vmr3s
se	sebe	Px--sa
općim	opći	Agpmsiy
znakom	znak	Ncmsi
odobrenja	odobrenje	Ncnsg
E.	ea	Ncfsg
1	1	Mdc
iz	iz	Sg
Priloga	prilog	Ncmsg
7	7	Mdc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Ovisno	ovisno	Rgp
o	o	Sl
lokalnim	lokalan	Agpfply
okolnostima	okolnost	Ncfpl
,	,	Z
znak	znak	Ncmsn
zabrane	zabrana	Ncfsg
prolaza	prolaz	Ncmsg
može	moći	Vmr3s
biti	biti	Van
najavljen	najaviti	Appmsnn
znakom	znak	Ncmsi
obveze	obveza	Ncfsg
B.	B.	Y
8	8	Mdc
iz	iz	Sg
Priloga	prilog	Ncmsg
7	7	Mdc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
kao	kao	Cs
predznak	predznak	Ncmsan
.	.	Z

Članak	članak	Ncmsn
6.09	6.09	Mdc
–	–	Z
Pretjecanje	pretjecanje	Ncnsn
:	:	Z
opće	opći	Agpfsgy
odredbe	odredba	Ncfsg

(	(	Z
1	1	Mdc
)	)	Z
Pretjecanje	pretjecanje	Ncnsn
je	biti	Var3s
dopušteno	dopustiti	Appnsny
samo	samo	Rgp
ako	ako	Cs
se	sebe	Px--sa
plovilo	plovilo	Ncnsn
koje	koji	Pi-nsn
namjerava	namjeravati	Vmr3s
izvršiti	izvršiti	Vmn
pretjecanje	pretjecanje	Ncnsa
uvjerilo	uvjeriti	Vmp-sn
da	da	Cs
se	sebe	Px--sa
taj	taj	Pd-msn
manevar	manevar	Ncmsn
može	moći	Vmr3s
izvršiti	izvršiti	Vmn
bez	bez	Sg
opasnosti	opasnost	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sustignuto	sustići	Agpnsny
plovilo	plovilo	Ncnsn
mora	morati	Vmr3s
olakšati	olakšati	Vmn
pretjecanje	pretjecanje	Ncnsa
koliko	koliko	Rgp
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
i	i	Cc
moguće	moguć	Agpnsny
.	.	Z

Ono	onaj	Pd-nsn
mora	morati	Vmr3s
smanjiti	smanjiti	Vmn
svoju	svoj	Px-fsa
brzinu	brzina	Ncfsa
,	,	Z
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
,	,	Z
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
pretjecanje	pretjecanje	Ncnsn
obavilo	obaviti	Vmp-sn
bez	bez	Sg
opasnosti	opasnost	Ncfsg
i	i	Cc
dovoljno	dovoljno	Rgp
brzo	brz	Agpnsny
da	da	Cs
se	sebe	Px--sa
ne	ne	Qz
ometa	ometati	Vmr3s
kretanje	kretanje	Ncnsa
drugih	drugi	Mlonpg
plovila	plovilo	Ncnpg
.	.	Z

Ova	ovaj	Pd-fsn
odredba	odredba	Ncfsn
ne	ne	Qz
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
čamac	čamac	Ncmsn
pretječe	pretjecati	Vmr3s
plovilo	plovilo	Ncnsa
neke	neki	Pi-fsg
druge	drugi	Mlofsg
kategorije	kategorija	Ncfsg
.	.	Z

Članak	članak	Ncmsn
6.10	6.10	Mdc
–	–	Z
Pretjecanje	pretjecanje	Ncnsn

(	(	Z
1	1	Mdc
)	)	Z
Općenito	preopćenit	Agpnsny
,	,	Z
plovilo	plovilo	Ncnsn
koje	koji	Pi-nsn
pretječe	pretjecati	Vmr3s
mora	morati	Vmr3s
obilaziti	obilaziti	Vmn
sustignuto	sustići	Agpnsay
plovilo	plovilo	Ncnsa
s	sa	Sg
lijeve	lijevi	Agpfsgy
strane	strana	Ncfsg
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
je	biti	Var3s
to	taj	Pd-nsn
moguće	moguć	Agpnsny
obaviti	obaviti	Vmn
bez	bez	Sg
opasnosti	opasnost	Ncfsg
od	od	Sg
sudara	sudar	Ncmsg
,	,	Z
plovilo	plovilo	Ncnsn
koje	koji	Pi-nsn
pretječe	pretjecati	Vmr3s
može	moći	Vmr3s
to	taj	Pd-nsa
učiniti	učiniti	Vmn
i	i	Cc
s	sa	Sg
desne	desni	Agpfsgy
strane	strana	Ncfsg
sustignutog	sustići	Agpnsgy
plovila	plovilo	Ncnsg
.	.	Z

Kad	kad	Cs
se	sebe	Px--sa
pretjecanje	pretjecanje	Ncnsn
može	moći	Vmr3s
obaviti	obaviti	Vmn
a	a	Cc
da	da	Cs
pri	pri	Sl
tome	taj	Pd-nsl
sustignuto	sustići	Agpnsny
plovilo	plovilo	Ncnsn
ne	ne	Qz
mora	morati	Vmr3s
mijenjati	mijenjati	Vmn
pravac	pravac	Ncmsan
ni	ni	Cc
brzinu	brzina	Ncfsa
,	,	Z
plovilo	plovilo	Ncnsa
koje	koji	Pi-nsn
pretječe	pretjecati	Vmr3s
ne	ne	Qz
daje	davati	Vmr3s
nikakav	nikakav	Pi-msan
zvučni	zvučan	Agpmsayn
znak	znak	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kad	kad	Cs
se	sebe	Px--sa
pretjecanje	pretjecanje	Ncnsn
ne	ne	Qz
može	moći	Vmr3s
obaviti	obaviti	Vmn
,	,	Z
a	a	Cc
da	da	Cs
sustignuto	sustići	Agpnsny
plovilo	plovilo	Ncnsn
pri	pri	Sl
tome	taj	Pd-nsl
ne	ne	Qz
mora	morati	Vmr3s
mijenjati	mijenjati	Vmn
svoj	svoj	Px-msan
pravac	pravac	Ncmsan
ili	ili	Cc
ako	ako	Cs
postoji	postojati	Vmr3s
dvojba	dvojba	Ncfsn
da	da	Cs
sustignuto	sustići	Agpnsny
plovilo	plovilo	Ncnsn
nije	biti	Var3s
uočilo	uočiti	Vmp-sn
namjeru	namjera	Ncfsa
pretjecanja	pretjecanje	Ncnsg
plovila	plovilo	Ncnsg
koje	koji	Pi-nsn
ga	on	Pp3msa
stiže	stizati	Vmr3s
i	i	Qo
to	taj	Pd-nsn
može	moći	Vmr3s
dovesti	dovesti	Vmn
do	do	Sg
sudara	sudar	Ncmpg
,	,	Z
plovilo	plovilo	Ncnsa
koje	koji	Pi-nsn
namjerava	namjeravati	Vmr3s
obaviti	obaviti	Vmn
pretjecanje	pretjecanje	Ncnsa
mora	morati	Vmr3s
davati	davati	Vmn
sljedeće	sljedeći	Agpmpay
zvučne	zvučan	Agpmpay
znakove	znak	Ncmpa
:	:	Z

a	a	Cc
)	)	Z
