vrijednosti	vrijednost	Ncfpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Prihvatljivi	prihvatljiv	Agpmpny
troškovi	trošak	Ncmpn
za	za	Sa
ulaganja	ulaganje	Ncnpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
bit	biti	Van
će	htjeti	Var3p
određeni	odrediti	Appmpny
listom	list	Ncmsi
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
koja	koji	Pi-fsn
će	htjeti	Var3s
biti	biti	Van
prilog	prilog	Ncmsn
natječaja	natječaj	Ncmsg
.	.	Z

Članak	članak	Ncmsn
20.	20.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
ulaganja	ulaganje	Ncnpa
u	u	Sl
okviru	okvir	Ncmsl
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
8.6.3.	8.6.3.	Mdo
prihvatljivi	prihvatljiv	Agpmpny
troškovi	trošak	Ncmpn
vezani	vezati	Appmpny
su	biti	Var3p
uz	uz	Sa
:	:	Z

1.	1.	Mdo
gradnju	gradnja	Ncfsa
,	,	Z
rekonstrukciju	rekonstrukcija	Ncfsa
i	i	Cc
/	/	Z
ili	ili	Cc
opremanje	opremanje	Ncnsa
pokretnog	pokretan	Agpmsgy
ili	ili	Cc
nepokretnog	nepokretan	Agpmsgy
prostora	prostor	Ncmsg
/	/	Z
građevine	građevina	Ncfsg
za	za	Sa
prezentaciju	prezentacija	Ncfsa
i	i	Cc
prodaju	prodaja	Ncfsa
šumskih	šumski	Agpmpgy
drvnih	drvni	Agpmpgy
i	i	Cc
nedrvnih	nedrvan	Agpmpgy
proizvoda	proizvod	Ncmpg
i	i	Cc
usluga	usluga	Ncfpg
šuma	šum	Ncmsg
te	te	Cc
za	za	Sa
promociju	promocija	Ncfsa
općekorisnih	općekoristan	Agpfpgy
funkcija	funkcija	Ncfpg
šuma	šuma	Ncfpg
,	,	Z
održivog	održiv	Agpnsgy
gospodarenja	gospodarenje	Ncnsg
šumama	šuma	Ncfpi
i	i	Cc
šumarskog	šumarski	Agpmsgy
sektora	sektor	Ncmsg
(	(	Z
multimedijski	multimedijski	Agpmpny
prostori	prostor	Ncmpn
sa	sa	Si
stalnim	stalan	Agpmsiy
izložbenim	izložbeni	Agpmsiy
postavom	postav	Ncmsi
,	,	Z
štandovi	štand	Ncmpn
,	,	Z
izložbene	izložbeni	Agpfpny
police	polica	Ncfpn
i	i	Cc
pultovi	pult	Ncmpn
i	i	Cc
sl.	sl.	Y
)	)	Z

2.	2.	Mdo
zakup	zakup	Ncmsan
/	/	Z
najam	najam	Ncmsn
izložbenog	izložbeni	Agpmsgy
prostora	prostor	Ncmsg
za	za	Sa
drvne	drvni	Agpmpay
i	i	Cc
