čemu	što	Pi3n-l
je	biti	Var3s
u	u	Sl
uvodu	uvod	Ncmsl
rješenja	rješenje	Ncnsg
navedeno	navesti	Appnsny
da	da	Cs
se	sebe	Px--sa
ovlaštenje	ovlaštenje	Ncnsn
temelji	temeljiti	Vmr3s
na	na	Sl
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
46.	46.	Mdo
stavku	stavak	Ncmsl
5.	5.	Mdo
ZUP-a	zup-	Ncmsg
.	.	Z

Prije	prije	Sg
svega	sav	Agpnsgy
,	,	Z
potrebno	potreban	Agpnsny
je	biti	Var3s
navesti	navesti	Vmn
da	da	Cs
se	sebe	Px--sa
tuženik	tuženik	Ncmsn
u	u	Sl
uvodu	uvod	Ncmsl
rješenja	rješenje	Ncnsg
pogrešno	pogrešno	Rgp
pozvao	pozvati	Vmp-sm
na	na	Sa
odredbu	odredba	Ncfsa
članka	članak	Ncmsg
46.	46.	Mdo
stavak	stavak	Ncmsn
5.	5.	Mdo
ZUP-a	ZUP	Npmsg
,	,	Z
jer	jer	Cs
navedena	navesti	Appfsny
odredba	odredba	Ncfsn
propisuje	propisivati	Vmr3s
da	da	Cs
kad	kad	Cs
se	sebe	Px--sa
tijekom	tijekom	Sg
postupka	postupak	Ncmsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
više	mnogo	Rgc
ne	ne	Qz
postoje	postojati	Vmr3p
pravne	pravni	Agpfpay
pretpostavke	pretpostavka	Ncfpa
za	za	Sa
vođenje	vođenje	Ncnsa
postupka	postupak	Ncmsg
,	,	Z
rješenjem	rješenje	Ncnsi
će	htjeti	Var3s
se	sebe	Px--sa
obustaviti	obustaviti	Vmn
postupak	postupak	Ncmsan
,	,	Z
dok	dok	Cs
je	biti	Var3s
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
zahtjev	zahtjev	Ncmsn
tužitelja	tužitelj	Ncmsg
odbačen	odbaciti	Appmsnn
zbog	zbog	Sg
proteka	protek	Ncmsg
roka	rok	Ncmsg
za	za	Sa
podnošenje	podnošenje	Ncnsa
zahtjeva	zahtjev	Ncmpg
za	za	Sa
rješavanje	rješavanje	Ncnsa
spora	spor	Ncmsg
između	između	Sg
krajnjeg	krajnji	Agpmsgy
korisnika	korisnik	Ncmsg
usluga	usluga	Ncfpg
i	i	Cc
operatora	operator	Ncmpg
javnih	javan	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
usluga	usluga	Ncfpg
,	,	Z
s	sa	Si
tim	taj	Pd-nsi
da	da	Cs
se	sebe	Px--sa
navedena	navesti	Appfsny
odredba	odredba	Ncfsn
ne	ne	Qz
odnosi	odnositi	Vmr3s
na	na	Sa
nadležnost	nadležnost	Ncfsa
tuženika	tuženik	Ncmpg
,	,	Z
te	te	Cc
je	biti	Var3s
propis	propis	Ncmsn
na	na	Sl
temelju	temelj	Ncmsl
kojeg	koji	Pi-msg
je	biti	Var3s
riješena	riješiti	Appfsny
upravna	upravan	Agpfsny
stvar	stvar	Ncfsn
trebao	trebati	Vmp-sm
biti	biti	Van
naveden	navesti	Appmsnn
u	u	Sl
obrazloženj	obrazložen	Ncfsl
a	a	Cc
osporenog	osporiti	Appnsgy
rješenja	rješenje	Ncnsg
tuženika	tuženik	Ncmpg
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
u	u	Sl
obrazloženju	obrazloženje	Ncnsl
rješenja	rješenje	Ncnsg
tuženika	tuženik	Ncmpg
nije	biti	Var3s
navedeno	navesti	Appnsny
kada	kada	Cs
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
zaprimio	zaprimiti	Vmp-sm
pisani	pisan	Agpmsayn
odgovor	odgovor	Ncmsan
povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
reklamacije	reklamacija	Ncfpa
H1	H1	Sg
telekoma	telekom	Ncmsg
,	,	Z
urbroj	urbroj	Ncmsn
:	:	Z
I-816-DZ	I-816-DZ	I
/	/	Z
ST	ST	Npmsan
od	od	Sg
8.	8.	Mdo
ožujka	ožujak	Ncmsg
2013.	2013.	Mdo
,	,	Z
odnosno	odnosno	Rgp
tuženik	tuženik	Ncmsn
nije	biti	Var3s
naveo	navesti	Vmp-sm
kada	kada	Cs
je	biti	Var3s
počeo	početi	Vmp-sm
teći	teći	Vmn
rok	rok	Ncmsan
za	za	Sa
podnošenje	podnošenje	Ncnsa
zahtjeva	zahtjev	Ncmpg
za	za	Sa
rješavanje	rješavanje	Ncnsa
spora	spor	Ncmsg
između	između	Sg
krajnjeg	krajnji	Agpmsgy
korisnika	korisnik	Ncmsg
usluga	usluga	Ncfpg
i	i	Cc
operatora	operator	Ncmpg
javnih	javan	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
usluga	usluga	Ncfpg
,	,	Z
niti	niti	Cc
kada	kada	Cs
je	biti	Var3s
protekao	proteći	Vmp-sm
navedeni	naveden	Agpmsny
rok	rok	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
51.	51.	Mdo

ZEK-a	ZEK	Npmsg
,	,	Z
zbog	zbog	Sg
čega	što	Pi3n-g
je	biti	Var3s
povrijeđena	povrijediti	Appfsny
odredba	odredba	Ncfsn
članka	članak	Ncmsg
98.	98.	Mdo
stavak	stavak	Ncmsn
5.	5.	Mdo
