najduže	dugo	Rgs
60	60	Mdc
dana	dan	Ncmpg
od	od	Sg
podnošenja	podnošenje	Ncnsg
prijedloga	prijedlog	Ncmsg
za	za	Sa
otvaranje	otvaranje	Ncnsa
stečajnoga	stečajni	Agpmsgy
postupka	postupak	Ncmsg
.	.	Z

Otvaranje	otvaranje	Ncnsn
stečajnoga	stečajni	Agpmsgy
postupka	postupak	Ncmsg
bez	bez	Sg
prethodnoga	prethodan	Agpmsgy
postupka	postupak	Ncmsg

Članak	članak	Ncmsn
116.	116.	Mdo

Sud	sud	Ncmsn
može	moći	Vmr3s
donijeti	donijeti	Vmn
rješenje	rješenje	Ncnsa
o	o	Sl
otvaranju	otvaranje	Ncnsl
stečajnoga	stečajni	Agpmsgy
postupka	postupak	Ncmsg
bez	bez	Sg
provedbe	provedba	Ncfsg
prethodnoga	prethodan	Agpmsgy
postupka	postupak	Ncmsg
:	:	Z

−	−	Z
ako	ako	Cs
na	na	Sl
temelju	temelj	Ncmsl
prijedloga	prijedlog	Ncmsg
za	za	Sa
otvaranje	otvaranje	Ncnsa
predstečajnoga	predstečajni	Agpmsgy
postupka	postupak	Ncmsg
utvrdi	utvrditi	Vmr3s
postojanje	postojanje	Ncnsa
stečajnoga	stečajni	Agpmsgy
razloga	razlog	Ncmsg

−	−	Pq3n-n
ako	ako	Cs
Financijska	financijski	Agpfsny
agencija	agencija	Ncfsn
podnese	podnijeti	Vmr3s
prijedlog	prijedlog	Ncmsan
za	za	Sa
otvaranje	otvaranje	Ncnsa
stečajnoga	stečajni	Agpmsgy
postupka	postupak	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
110.	110.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

–	–	Z
ako	ako	Cs
osoba	osoba	Ncfsn
ovlaštena	ovlastiti	Appfsny
za	za	Sa
zastupanje	zastupanje	Ncnsa
dužnika	dužnik	Ncmpg
po	po	Sl
zakonu	zakon	Ncmsl
odnosno	odnosno	Rgp
dužnik	dužnik	Ncmsn
pojedinac	pojedinac	Ncmsn
podnese	podnijeti	Vmr3s
prijedlog	prijedlog	Ncmsan
za	za	Sa
otvaranje	otvaranje	Ncnsa
stečajnoga	stečajni	Agpmsgy
postupka	postupak	Ncmsg

–	–	Pq3n-n
ako	ako	Cs
vjerovnik	vjerovnik	Ncmsn
podnese	podnijeti	Vmr3s
prijedlog	prijedlog	Ncmsan
za	za	Sa
otvaranje	otvaranje	Ncnsa
stečajnoga	stečajni	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
a	a	Cc
dužnik	dužnik	Ncmsn
prizna	priznati	Vmr3s
postojanje	postojanje	Ncnsa
stečajnoga	stečajni	Agpmsgy
razloga	razlog	Ncmsg

−	−	Pq3n-n
ako	ako	Cs
je	biti	Var3s
prije	prije	Rgp
otvoreni	otvoren	Agpmsny
predstečajni	predstečajni	Agpmsny
postupak	postupak	Ncmsn
završio	završiti	Vmp-sm
bez	bez	Sg
uspjeha	uspjeh	Ncmsg
.	.	Z

Obveza	obveza	Ncfsn
davanja	davanje	Ncnsg
podataka	podatak	Ncmpg
tijekom	tijekom	Sg
prethodnoga	prethodan	Agpmsgy
postupka	postupak	Ncmsg

Članak	članak	Ncmsn
117.	117.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Osobe	osoba	Ncfpn
ovlaštene	ovlašten	Agpfpny
za	za	Sa
zastupanje	zastupanje	Ncnsa
dužnika	dužnik	Ncmpg
po	po	Sl
zakonu	zakon	Ncmsl
,	,	Z
članovi	član	Ncmpn
tijela	tijelo	Ncnsg
dužnika	dužnik	Ncmpg
,	,	Z
radnici	radnik	Ncmpn
dužnika	dužnik	Ncmpg
i	i	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
ako	ako	Cs
im	oni	Pp3-pd
je	biti	Var3s
prestala	prestati	Vmp-sf
dužnost	dužnost	Ncfsn
odnosno	odnosni	Agpnsay
zaposlenje	zaposlenje	Ncnsa
,	,	Z
te	te	Cc
tijela	tijelo	Ncnsg
javne	javan	Agpfsgy
vlasti	vlast	Ncfsg
,	,	Z
dužni	dužan	Agpmpny
su	biti	Var3p
nakon	nakon	Sg
podnošenja	podnošenje	Ncnsg
prijedloga	prijedlog	Ncmsg
za	za	Sa
otvaranje	otvaranje	Ncnsa
stečajnoga	stečajni	Agpmsgy
postupka	postupak	Ncmsg
stečajnim	stečajni	Agpnply
tijelima	tijelo	Ncnpl
,	,	Z
na	na	Sa
njihov	njihov	Ps3msan
zahtjev	zahtjev	Ncmsan
,	,	Z
bez	bez	Sg
odgode	odgoda	Ncfsg
,	,	Z
pružiti	pružiti	Vmn
sve	sav	Agpmpay
potrebne	potreban	Agpmpay
podatke	podatak	Ncmpa
i	i	Cc
obavijesti	obavijest	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sud	sud	Ncmsn
može	moći	Vmr3s
zaključkom	zaključak	Ncmsi
narediti	narediti	Vmn
stečajnom	stečajni	Agpmsdy
dužniku	dužnik	Ncmsd
,	,	Z
odnosno	odnosno	Rgp
osobama	osoba	Ncfpd
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
da	da	Cs
u	u	Sl
određenom	određen	Agpmsly
roku	rok	Ncmsl
predaju	predati	Vmr3p
sudu	sud	Ncmsd
pisano	pisan	Agpnsny
izvješće	izvješće	Ncnsn
o	o	Sl
financijsko-gospodarskom	financijsko-gospodarski	Agpnsly
stanju	stanje	Ncnsl
dužnika	dužnik	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Osobe	osoba	Ncfpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
odgovaraju	odgovarati	Vmr3p
vjerovnicima	vjerovnik	Ncmpi
osobno	osobno	Rgp
za	za	Sa
naknadu	naknada	Ncfsa
štete	šteta	Ncfsg
koju	koji	Pi-fsa
su	biti	Var3p
im	oni	Pp3-pd
prouzročili	prouzročiti	Vmp-pm
uskratom	uskrat	Ncmsi
davanja	davanje	Ncnsg
ili	ili	Cc
davanjem	davanje	Ncnsi
netočnih	netočan	Agpfpgy
ili	ili	Cc
nepotpunih	nepotpun	Agpmpgy
podataka	podatak	Ncmpg
,	,	Z
obavijesti	obavijest	Ncfsl
i	i	Cc
izvješća	izvješće	Ncnsg
prema	prema	Sl
odredbama	odredba	Ncfpl
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Osobe	osoba	Ncfpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
odgovaraju	odgovarati	Vmr3p
za	za	Sa
davanje	davanje	Ncnsa
netočnih	netočan	Agpmpgy
ili	ili	Cc
nepotpunih	nepotpun	Agpmpgy
podataka	podatak	Ncmpg
,	,	Z
obavijesti	obavijest	Ncfsl
i	i	Cc
izvješća	izvješće	Ncnsg
prema	prema	Sl
odredbama	odredba	Ncfpl
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
kao	kao	Cs
za	za	Sa
davanje	davanje	Ncnsa
lažnoga	lažan	Agpmsgy
iskaza	iskaz	Ncmsg
u	u	Sl
postupku	postupak	Ncmsl
pred	pred	Si
sudom	sud	Ncmsi
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Pravo	pravo	Ncnsn
na	na	Sa
naknadu	naknada	Ncfsa
štete	šteta	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
zastarijeva	zastarij	Ncmpg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
pet	pet	Mlc
godina	godina	Ncfpg
od	od	Sg
dana	dan	Ncmpg
zaključenja	zaključenje	Ncnsg
stečajnoga	stečajni	Agpmsgy
postupka	postupak	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
se	sebe	Px--sa
način	način	Ncmsan
primjenjuju	primjenjivati	Vmr3p
odredbe	odredba	Ncfpn
članaka	članak	Ncmpg
177.	177.	Mdo
,	,	Z
178.	178.	Mdo
i	i	Cc
180.	180.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Mjere	mjera	Ncfpn
osiguranja	osiguranje	Ncnsg

Članak	članak	Ncmsn
118.	118.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Sud	sud	Ncmsn
će	htjeti	Var3s
rješenjem	rješenje	Ncnsi
o	o	Sl
pokretanju	pokretanje	Ncnsl
prethodnoga	prethodan	Agpmsgy
postupka	postupak	Ncmsg
ili	ili	Cc
naknadnim	naknadan	Agpnsiy
rješenjem	rješenje	Ncnsi
,	,	Z
na	na	Sa
zahtjev	zahtjev	Ncmsan
podnositelja	podnositelj	Ncmsg
prijedloga	prijedlog	Ncmsg
ili	ili	Cc
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
,	,	Z
odrediti	odrediti	Vmn
sve	sav	Agpfpay
mjere	mjera	Ncfpa
koje	koji	Pi-fpa
smatra	smatrati	Vmr3s
potrebnim	potreban	Agpmsiy
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
spriječilo	spriječiti	Vmp-sn
da	da	Cs
do	do	Sg
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
prijedlogu	prijedlog	Ncmsl
za	za	Sa
otvaranje	otvaranje	Ncnsa
stečajnoga	stečajni	Agpmsgy
postupka	postupak	Ncmsg
ne	ne	Qz
nastupe	nastupiti	Vmr3p
takve	takav	Pd-fpa
promjene	promjena	Ncfpa
imovinskoga	imovinski	Agpmsgy
položaja	položaj	Ncmsg
dužnika	dužnik	Ncmpg
koje	koji	Pi-mpa
bi	biti	Vaa3s
za	za	Sa
vjerovnike	vjerovnik	Ncmpa
mogle	moći	Vmp-pf
biti	biti	Van
nepovoljne	nepovoljan	Agpfpny
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sud	sud	Ncmsn
može	moći	Vmr3s
osobito	osobito	Rgp
:	:	Z

1.	1.	Mdo
imenovati	imenovati	Vmn
privremenoga	privremen	Agpmsgy
stečajnog	stečajni	Agpmsgy
upravitelja	upravitelj	Ncmsg
uz	uz	Sa
odgovarajuću	odgovarajući	Agpfsay
primjenu	primjena	Ncfsa
odredbi	odredba	Ncfsl
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
o	o	Sl
izboru	izbor	Ncmsl
i	i	Cc
imenovanju	imenovanje	Ncnsl
stečajnoga	stečajni	Agpmsgy
upravitelja	upravitelj	Ncmsg

2.	2.	Mdo
zabraniti	zabraniti	Vmn
raspolaganje	raspolaganje	Ncnsa
imovinom	imovina	Ncfsi
dužnika	dužnik	Ncmpg
ili	ili	Cc
odrediti	odrediti	Vmn
da	da	Cs
dužnik	dužnik	Ncmsn
može	moći	Vmr3s
raspolagati	raspolagati	Vmn
svojom	svoj	Agpfsiy
imovinom	imovina	Ncfsi
samo	samo	Rgp
uz	uz	Sa
prethodnu	prethodan	Agpfsay
suglasnost	suglasnost	Ncfsa
suda	sud	Ncmsg
ili	ili	Cc
privremenoga	privremen	Agpmsgy
stečajnog	stečajni	Agpmsgy
upravitelja	upravitelj	Ncmsg

3.	3.	Mdo
zabraniti	zabraniti	Vmn
ili	ili	Cc
privremeno	privremeno	Rgp
odgoditi	odgoditi	Vmn
određivanje	određivanje	Ncnsa
,	,	Z
odnosno	odnosno	Rgp
provedbu	provedba	Ncfsa
ovrhe	ovrha	Ncfsg
ili	ili	Cc
osiguranja	osiguranje	Ncnsg
protiv	protiv	Sg
dužnika	dužnik	Ncmpg

4.	4.	Mdo
zabraniti	zabraniti	Vmn
isplate	isplata	Ncfpa
s	sa	Sg
računa	račun	Ncmsg
dužnika	dužnik	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Sud	sud	Ncmsn
može	moći	Vmr3s
