spajati	spajati	Vmn
i	i	Cc
drugi	drugi	Mlompn
informacijski	informacijski	Agpmpny
sustavi	sustav	Ncmpn
sukladno	sukladno	Rgp
pravilima	pravilo	Agpmsiy
propisanim	propisati	Agpmsiy
Zakonom	zakon	Ncmsi
o	o	Sl
državnoj	državni	Agpfsly
informacijskoj	informacijski	Agpfsly
infrastrukturi	infrastruktura	Ncfsl
.	.	Z
«	«	Z

Članak	članak	Ncmsn
19.	19.	Mdo

U	u	Sl
članku	članak	Ncmsl
19.	19.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dati	dati	Vmn
na	na	Sa
uvid	uvid	Ncmsan
Otočnu	otočni	Agpfsay
iskaznicu	iskaznica	Ncfsa
za	za	Sa
putnika	putnik	Ncmsay
ili	ili	Cc
Otočnu	otočni	Agpfsay
iskaznicu	iskaznica	Ncfsa
za	za	Sa
vozilo	vozilo	Ncnsa
i	i	Cc
putnu	putni	Agpfsay
kartu	karta	Ncfsa
ako	ako	Cs
je	biti	Var3s
izdana	izdati	Appfsny
u	u	Sl
fizičkom	fizički	Agpmsly
obliku	oblik	Ncmsl
.	.	Z
«	«	Z

U	u	Sl
stavku	stavak	Ncmsl
3.	3.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
20.	20.	Mdo

U	u	Sl
članku	članak	Ncmsl
20.	20.	Mdo
iza	iza	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
dodaju	dodati	Vmr3p
se	sebe	Px--sa
stavci	stavak	Ncmpn
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
