PU003	pu003	Agpmsny
Nespecifični	nespecifičan	Agpmsny
provokativni	provokativan	Agpmsny
bronhalni	bronhalan	Agpmsny
test	test	Ncmsn
(	(	Z
metakolinski	metakolinski	Agpmsny
test	test	Ncmsn
)	)	Z
Uključuje	uključivati	Vmr3s
kratki	kratak	Agpmsayn
pregled	pregled	Ncmsan
doktora	doktor	Ncmsg
,	,	Z
sva	sav	Agpnpny
spirometrijska	spirometrijski	Agpnpay
mjerenja	mjerenje	Ncnpa
prije	prije	Sg
,	,	Z
tijekom	tijekom	Sg
i	i	Cc
iza	iza	Sg
provokacije	provokacija	Ncfsg
metakolinom	metakolini	Agpfsiy
,	,	Z
odgovor	odgovor	Ncmsan
na	na	Sa
Ventolin	Ventolin	Npnsa
,	,	Z
te	te	Cc
nadzor	nadzor	Ncmsan
i	i	Cc
intervencije	intervencija	Ncfsg
tijekom	tijekom	Sg
testa	test	Ncmsg
.	.	Z

Uključuje	uključivati	Vmr3s
lijekove	lijek	Ncmpa
za	za	Sa
testiranje	testiranje	Ncnsa
i	i	Cc
potrošni	potrošan	Agpmsayn
materijal	materijal	Ncmsan
.	.	Z
6,70	6,70	Mdc
1.474,00	1.474,00	Mdc
PU004	PU004	Mdc
Spiroergometrija	Spiroergometrija	Npfsn
Uključuje	uključivati	Vmr3s
sva	sav	Agpnpay
mjerenja	mjerenje	Ncnpa
funkcije	funkcija	Ncfsg
srca	srce	Ncnsg
i	i	Cc
pluća	pluća	Ncnpg
,	,	Z
plinsku	plinski	Agpfsay
analizu	analiza	Ncfsa
krvi	krv	Ncfsg
,	,	Z
nadzor	nadzor	Ncmsan
i	i	Cc
intervencije	intervencija	Ncfsg
prije	prija	Ncfsg
,	,	Z
tijekom	tijekom	Sg
i	i	Cc
iza	iza	Sg
opterećenja	opterećenje	Ncnsg
–	–	Z
uključuje	uključivati	Vmr3s
sav	sav	Agpmsann
potrošni	potrošan	Agpmsayn
materijal	materijal	Ncmsan
i	i	Cc
lijekove	lijek	Ncmpa
.	.	Z

Indikaciju	indikacija	Ncfsa
utvrđuje	utvrđivati	Vmr3s
liječnik	liječnik	Ncmsn
specijalist	specijalist	Ncmsn
nakon	nakon	Sg
provedene	provesti	Agpfsgy
cjelovite	cjelovit	Agpfsgy
obrade	obrada	Ncfsg
uz	uz	Sa
negativan	negativan	Agpmsann
metakolinski	metakolinski	Agpmsayn
test	test	Ncmsan
.	.	Z
15,33	15,33	Mdc
3.372,60	3.372,60	Mdc
PU005	PU005	Mdc
Tjelesna	tjelesni	Agpfsny
pletizmografija	pletizmografija	Ncfsn
Uključuje	uključivati	Vmr3s
spirometriju	spirometrija	Ncfsa
,	,	Z
mjerenje	mjerenje	Ncnsa
