uvjetima	uvjet	Ncmpl
kontrolirane	kontrolirati	Agpfsgy
temperature	temperatura	Ncfsg
,	,	Z

5.	5.	Mdo
djelatnost	djelatnost	Ncfsn

–	–	Z
u	u	Sl
registriranim	registriran	Agpmply
objektima	objekt	Ncmpl
u	u	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
djelatnost	djelatnost	Ncfsn
punjenja	punjenje	Ncnsg
i	i	Cc
pakiranja	pakiranje	Ncnsg
pčelinjih	pčelinji	Agpmpgy
proizvoda	proizvod	Ncmpg
,	,	Z

6.	6.	Mdo
djelatnost	djelatnost	Ncfsn

–	–	Z
u	u	Sl
registriranim	registriran	Agpmply
objektima	objekt	Ncmpl
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
svježeg	svjež	Agpmsgy
sira	sir	Ncmsg
i	i	Cc
vrhnja	vrhnje	Ncnsg
od	od	Sg
vlastite	vlastit	Agpfsgy
sirovine	sirovina	Ncfsg
,	,	Z
koji	koji	Pi-msn
se	sebe	Px--sa
u	u	Sl
prvom	prvi	Mlomsl
redu	red	Ncmsl
koriste	koristiti	Vmr3p
kao	kao	Cs
privatni	privatan	Agpmpny
stambeni	stambeni	Agpmpny
prostori	prostor	Ncmpn
.	.	Z

2	2	Mdc
)	)	Z
Pristojbe	pristojba	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
obračunavaju	obračunavati	Vmr3p
se	sebe	Px--sa
subjektima	subjekt	Ncmpd
u	u	Sl
poslovanju	poslovanje	Ncnsl
s	sa	Si
hranom	hrana	Ncfsi
za	za	Sa
životinje	životinja	Ncfpa
koji	koji	Pi-mpn
su	biti	Var3p
upisani	upisati	Appmpny
u	u	Sa
Upisnike	upisnik	Ncmpa
Nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
sukladno	sukladno	Rgp
propisima	propis	Ncmpd
o	o	Sl
registriranju	registriranje	Ncnsl
i	i	Cc
odobravanju	odobravanje	Ncnsl
objekata	objekt	Ncmpg
u	u	Sl
poslovanju	poslovanje	Ncnsl
s	sa	Si
hranom	hrana	Ncfsi
za	za	Sa
životinje	životinja	Ncfpa
koji	koji	Pi-mpn
obavljaju	obavljati	Vmr3p
:	:	Z

1.	1.	Mdo
djelatnost	djelatnost	Ncfsn

–	–	Z
proizvodnja	proizvodnja	Ncfsn
hrane	hrana	Ncfsg
za	za	Sa
životinje	životinja	Ncfpa
za	za	Sa
koje	koji	Pi-fpa
je	biti	Var3s
potrebno	potreban	Agpnsny
odobravanje	odobravanje	Ncnsn
objekata	objekt	Ncmpg
,	,	Z

–	–	Z
proizvodnja	proizvodnja	Ncfsn
hrane	hrana	Ncfsg
za	za	Sa
životinje	životinja	Ncfpa
u	u	Sl
registriranim	registriran	Agpmply
objektima	objekt	Ncmpl
,	,	Z

2.	2.	Mdo
djelatnost	djelatnost	Ncfsn

–	i	Agpnsay
stavljanje	stavljanje	Ncnsa
na	na	Sa
tržište	tržište	Ncnsa
i	i	Cc
/	/	Z
ili	ili	Cc
skladištenje	skladištenje	Ncnsn
hrane	hrana	Ncfsg
za	za	Sa
životinje	životinja	Ncfpa
za	za	Sa
koje	koji	Pi-fpa
je	biti	Var3s
potrebno	potreban	Agpnsny
odobravanje	odobravanje	Ncnsn
objekata	objekt	Ncmpg
,	,	Z

–	i	Agpnsay
stavljanje	stavljanje	Ncnsa
na	na	Sa
tržište	tržište	Ncnsa
i	i	Cc
/	/	Z
ili	ili	Cc
skladištenje	skladištenje	Ncnsn
hrane	hrana	Ncfsg
za	za	Sa
životinje	životinja	Ncfpa
u	u	Sl
registriranim	registriran	Agpmply
objektima	objekt	Ncmpl
,	,	Z

3.	3.	Mdo
djelatnost	djelatnost	Ncfsn

–	i	Agpnsny
poslovanje	poslovanje	Ncnsn
s	sa	Si
hranom	hrana	Ncfsi
za	za	Sa
životinje	životinja	Ncfpa
na	na	Sl
obiteljskim	obiteljski	Agpmply
poljoprivrednim	poljoprivredni	Agpmply
gospodarstvima	gospodarstvo	Ncmpl
(	(	Z
dalje	daleko	Rgc
u	u	Sl
tekstu	tekst	Ncmsl
:	:	Z
OPG	OPG	Npmsn
)	)	Z
koji	koji	Pi-mpn
obavljaju	obavljati	Vmr3p
djelatnosti	djelatnost	Ncfpa
označene	označiti	Appfpay
kodom	kod	Ncmsi
O9	oi	Agpnsay
,	,	Z
R3-1	R3-1	Mdm
,	,	Z
R3-2	R3-2	Mdm
,	,	Z
P-1	P-1	Mdm
,	,	Z
R5-1	R5-1	Mdm
,	,	Z
R5-2	R5-2	Mdm
i	i	Cc
R6	ri	Agpnsny
.	.	Z

3	3	Mdc
)	)	Z
Pristojbe	pristojba	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
obračunavaju	obračunavati	Vmr3p
se	sebe	Px--sa
subjektima	subjekt	Ncmpd
u	u	Sl
poslovanju	poslovanje	Ncnsl
s	sa	Si
nusproizvodima	nusproizvod	Ncmpi
životinjskog	životinjski	Agpnsgy
podrijetla	podrijetlo	Ncnsg
koji	koji	Pi-mpn
nisu	biti	Var3p
za	za	Sa
prehranu	prehrana	Ncfsa
ljudi	čovjek	Ncmpg
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
su	biti	Var3p
upisani	upisati	Appmpny
u	u	Sa
Upisnike	upisnik	Ncmpa
Nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
99.	99.	Mdo
i	i	Cc
članku	članak	Ncmsl
100.	100.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
veterinarstvu	veterinarstvo	Ncnsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
82/2013	82/2013	Mds
,	,	Z
148/2013	148/2013	Mds
)	)	Z
u	u	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
:	:	Z

–	–	Ncfsn
odobrena	odobriti	Appfsny
djelatnost	djelatnost	Ncfsn

–	–	Rgp
registrirana	registriran	Agpfsny
djelatnost	djelatnost	Ncfsn
.	.	Z

4	4	Mdc
)	)	Z
Pristojbe	pristojba	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
obračunavaju	obračunavati	Vmr3p
se	sebe	Px--sa
za	za	Sa
poslove	posao	Ncmpa
certificiranja	certificiranje	Ncnsg
pošiljaka	pošiljka	Ncfpg
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
europskim	europski	Agpmpiy
ili	ili	Cc
nacionalnim	nacionalan	Agpmpiy
veterinarskim	veterinarski	Agpmpiy
propisima	propis	Ncmpi
zahtijeva	zahtijevati	Vmr3s
izdavanje	izdavanje	Ncnsa
certifikata	certifikat	Ncmpg
,	,	Z
postupanje	postupanje	Ncnsa
s	sa	Si
certifikatima	certifikat	Ncmpi
ili	ili	Cc
drugim	drugi	Agpmpiy
veterinarskim	veterinarski	Agpmpiy
dokumentima	dokument	Ncmpi
na	na	Sl
mjestu	mjesto	Ncnsl
odredišta	odredište	Ncnsg
,	,	Z
službeno	služben	Agpnsay
uzorkovanje	uzorkovanje	Ncnsa
kod	kod	Sg
poslova	posao	Ncmpg
certificiranja	certificiranje	Ncnsg
pošiljaka	pošiljka	Ncfpg
te	te	Cc
obavljanje	obavljanje	Ncnsn
poslova	posao	Ncmpg
službenih	služben	Agpfpgy
kontrola	kontrola	Ncfpg
kod	kod	Sg
veterinarskog	veterinarski	Agpmsgy
pregleda	pregled	Ncmsg
pošiljke	pošiljka	Ncfsg
.	.	Z

Obveznici	obveznik	Ncmpn
plaćanja	plaćanje	Ncnsg
pristojbi	pristojba	Ncfpg
su	biti	Var3p
pravne	pravni	Agpfpny
i	i	Cc
fizičke	fizički	Agpfpay
osobe	osoba	Ncfpa
(	(	Z
stranke	stranka	Ncfsg
)	)	Z
,	,	Z
vlasnici	vlasnik	Ncmpn
životinja	životinja	Ncfpg
,	,	Z
subjekti	subjekt	Ncmpn
u	u	Sl
poslovanju	poslovanje	Ncnsl
s	sa	Si
hranom	hrana	Ncfsi
životinjskog	životinjski	Agpnsgy
podrijetla	podrijetlo	Ncnsg
,	,	Z
hrane	hrana	Ncfsg
za	za	Sa
životinje	životinja	Ncfpa
te	te	Cc
nusproizvodima	nusproizvod	Ncmpi
životinjskog	životinjski	Agpnsgy
podrijetla	podrijetlo	Ncnsg
.	.	Z

Računalna	računalni	Agpfsny
aplikacija	aplikacija	Ncfsn

Članak	članak	Ncmsn
5.	5.	Mdo

1	1	Mdc
)	)	Z
Putem	put	Sg
računalne	računalni	Agpfsgy
aplikacije	aplikacija	Ncfsg
Nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
subjekt	subjekt	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
:	:	Z

a	a	Cc
)	)	Z
za	za	Sa
objekte	objekt	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
u	u	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
djelatnost	djelatnost	Ncfsn
klanja	klanje	Ncnsg
,	,	Z
24	24	Mdc
sata	sat	Ncmsg
prije	prije	Sg
klanja	klanje	Ncnsg
odnosno	odnosno	Rgp
obrade	obrada	Ncfsg
u	u	Sl
objektu	objekt	Ncmsl
,	,	Z
upisati	upisati	Vmn
podatke	podatak	Ncmpa
o	o	Sl
vrsti	vrsta	Ncfsl
i	i	Cc
broju	broj	Ncmsl
životinja	životinja	Ncfpg
namijenjenih	namijenjen	Agpfpgy
klanju	klanje	Ncfpg
odnosno	odnosno	Rgp
obradi	obraditi	Vmr3s
,	,	Z

b	b	Y
)	)	Z
za	za	Sa
objekte	objekt	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
najkasnije	kasno	Rgs
24	24	Mdc
sata	sat	Ncmsg
po	po	Sl
dopremi	doprema	Ncfsl
u	u	Sa
objekt	objekt	Ncmsan
,	,	Z
upisati	upisati	Vmn
podatke	podatak	Ncmpa
o	o	Sl
primitku	primitak	Ncmsl
ulazne	ulazan	Agpfsgy
količine	količina	Ncfsg
sirovine	sirovina	Ncfsg
/	/	Z
hrane	hrana	Ncfsg
životinjskog	životinjski	Agpnsgy
podrijetla	podrijetlo	Ncnsg
iz	iz	Sg
objekata	objekt	Ncmpg
