0,43	0,43	Mdc
8.062,50	8.062,50	Mdc
P60B	p60i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
umrlo	umrlo	Rgp
ili	ili	Cc
premješteno	premjestiti	Appnsny
u	u	Sa
drugu	drugi	Mlofsa
ustanovu	ustanova	Ncfsa
za	za	Sa
akutnu	akutan	Agpfsay
skrb	skrb	Ncfsa
<	<	Z
5	5	Mdc
dana	dan	Ncmpg
od	od	Sg
ponovnog	ponovan	Agpmsgy
prijama	prijam	Ncmsg
,	,	Z
bez	bez	Sg
značajnog	značajan	Agpmsgy
operativnog	operativan	Agpmsgy
postupka	postupak	Ncmsg
0,24	0,24	Mdc
4.500,00	4.500,00	Mdc
P61Z	p61i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
<	<	Z
750	750	Mdc
g	g	Y
17,43	17,43	Mdc
326.812,50	326.812,50	Mdc
P62Z	p62i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
750	750	Mdc
-	-	Z
999	999	Mdc
g	g	Y
10,32	10,32	Mdc
193.500,00	193.500,00	Mdc
P63Z	p63i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
1000	1000	Mdc
-	-	Z
1249	1249	Mdc
g	g	Y
,	,	Z
bez	bez	Sg
značajnog	značajan	Agpmsgy
operativnog	operativan	Agpmsgy
postupka	postupak	Ncmsg
7,11	7,11	Mdc
133.312,50	133.312,50	Mdc
P64Z	p64i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
1250	1250	Mdc
-1499	-149	Npmsg
g		Npmsg
,	,	Z
bez	bez	Sg
značajnog	značajan	Agpmsgy
operativnog	operativan	Agpmsgy
postupka	postupak	Ncmsg
6,16	6,16	Mdc
115.500,00	115.500,00	Mdc
P65A	p65i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
1500	1500	Mdc
-	-	Z
1999	1999	Mdc
g	g	Y
,	,	Z
bez	bez	Sg
značajnog	značajan	Agpmsgy
operativnog	operativan	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
s	sa	Si
višestrukim	višestruk	Agpfpiy
velikim	velik	Agpfpiy
teškoćama	teškoća	Ncfpi
5,68	5,68	Mdc
106.500,00	106.500,00	Mdc
P65B	p65i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
1500	1500	Mdc
-	-	Z
1999	1999	Mdc
g	g	Y
,	,	Z
bez	bez	Sg
značajnog	značajan	Agpmsgy
operativnog	operativan	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
s	sa	Si
velikim	velik	Agpfpiy
teškoćama	teškoća	Ncfpi
2,57	2,57	Mdc
48.187,50	48.187,50	Mdc
P65C	p65i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
1500	1500	Mdc
-	-	Z
1999	1999	Mdc
g	g	Y
,	,	Z
bez	bez	Sg
značajnog	značajan	Agpmsgy
operativnog	operativan	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
s	sa	Si
ostalim	ostali	Agpfpiy
teškoćama	teškoća	Ncfpi
2,47	2,47	Mdc
46.312,50	46.312,50	Mdc
P65D	p65i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
1500	1500	Mdc
-	-	Z
1999	1999	Mdc
g	g	Y
,	,	Z
bez	bez	Sg
značajnog	značajan	Agpmsgy
operativnog	operativan	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
bez	bez	Sg
teškoća	teškoća	Ncfpg
2,22	2,22	Mdc
41.625,00	41.625,00	Mdc
P66A	p66i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
2000	2000	Mdc
-	-	Z
2499	2499	Mdc
g	g	Y
,	,	Z
bez	bez	Sg
značajnog	značajan	Agpmsgy
operativnog	operativan	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
s	sa	Si
višestrukim	višestruk	Agpfpiy
velikim	velik	Agpfpiy
