baštine	baština	Ncfpa
,	,	Z
zapošljavanje	zapošljavanje	Ncnsa
i	i	Cc
usavršavanje	usavršavanje	Ncnsa
.	.	Z

Kako	kako	Cs
je	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
novim	nov	Agpmply
prijedlozima	prijedlog	Ncmpl
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
,	,	Z
njihovom	njihov	Ps3fsi
dodjelom	dodjela	Ncfsi
utjecat	utjecati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
budućem	budući	Agpnsly
razdoblju	razdoblje	Ncnsl
i	i	Cc
na	na	Sa
promjenu	promjena	Ncfsa
u	u	Sl
strukturi	struktura	Ncfsl
dodijeljenih	dodijeljen	Agpfpgy
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
,	,	Z
tj.	tj.	Y
odnosa	odnos	Ncmpg
sektorskih	sektorski	Agpmpgy
i	i	Cc
horizontalnih	horizontalan	Agpfpgy
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
,	,	Z
a	a	Cc
u	u	Sa
korist	korist	Ncfsa
horizontalnih	horizontalan	Agpfpgy
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
.	.	Z

Time	taj	Pd-nsi
bi	biti	Vaa3s
se	sebe	Px--sa
trebala	trebati	Vmp-sf
nastaviti	nastaviti	Vmn
tendencija	tendencija	Ncfsn
rasta	rast	Ncmsg
udjela	udjel	Ncmsg
horizontalnih	horizontalan	Agpfpgy
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
sektorske	sektorski	Agpmpay
čiji	čiji	Pi-msn
bi	biti	Vaa3s
udjel	udjel	Ncmsn
u	u	Sl
ukupno	ukupno	Rgp
dodijeljenim	dodijeljen	Agpfply
državnim	državni	Agpfply
potporama	potpora	Ncfpl
trebao	trebati	Vmp-sm
biti	biti	Van
sve	sve	Qo
manji	mali	Agcmsny
.	.	Z

Usmjerenje	usmjerenje	Ncnsn
ispunjenju	ispunjenje	Ncnsd
ovih	ovaj	Pd-mpg
ciljeva	cilj	Ncmpg
komplementarno	komplementaran	Agpnsny
je	biti	Var3s
gospodarskoj	gospodarski	Agpfsly
politici	politika	Ncfsl
i	i	Cc
stvaranju	stvaranje	Ncnsl
makroekonomske	makroekonomski	Agpfsgy
stabilnosti	stabilnost	Ncfsg
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
u	u	Sl
većoj	velik	Agcfsly
mjeri	mjera	Ncfsl
ostvarila	ostvariti	Vmp-sf
veća	velik	Agcfsny
konkurentnost	konkurentnost	Ncfsn
hrvatskog	hrvatski	Agpnsgy
gospodarstva	gospodarstvo	Ncnsg
i	i	Cc
uvjeti	uvjet	Ncmpn
