prijavu	prijava	Ncfsa
u	u	Sa
registar	registar	Ncmsan
Ministarstva	ministarstvo	Ncnsg
potrebno	potreban	Agpnsny
je	biti	Var3s
priložiti	priložiti	Vmn
dokaz	dokaz	Ncmsn
da	da	Cs
je	biti	Var3s
te	taj	Pd-mpa
poslove	posao	Ncmpa
obavljala	obavljati	Vmp-sf
najkraće	kratko	Rgs
dvije	dva	Mlcf-n
godine	godina	Ncfsg
u	u	Sa
zadnjih	zadnji	Agpfpgy
deset	deset	Mlc
godina	godina	Ncfpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Svi	sav	Agpmpny
dokumenti	dokument	Ncmpn
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
dostavljaju	dostavljati	Vmr3p
se	sebe	Px--sa
prevedeni	prevesti	Appmpny
na	na	Sa
hrvatski	hrvatski	Agpmsayn
jezik	jezik	Ncmsan
od	od	Sg
strane	strana	Ncfsg
ovlaštene	ovlašten	Agpfsgy
osobe	osoba	Ncfsg
i	i	Cc
u	u	Sl
izvorniku	izvornik	Ncmsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
izdaje	izdavati	Vmr3s
potvrdu	potvrda	Ncfsa
podnositelju	podnositelj	Ncmsd
koji	koji	Pi-msn
ispunjava	ispunjavati	Vmr3s
propisane	propisati	Agpmpay
uvjete	uvjet	Ncmpa
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
provođenja	provođenje	Ncnsg
energetskog	energetski	Agpmsgy
pregleda	pregled	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Rješenje	rješenje	Ncnsn

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
su	biti	Var3p
ispunjeni	ispunjen	Agpmpny
uvjeti	uvjet	Ncmpn
određeni	određen	Agpmpny
odredbama	odredba	Ncfpd
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
izdaje	izdavati	Vmr3s
rješenje	rješenje	Ncnsa
za	za	Sa
ovlaštenje	ovlaštenje	Ncnsa
za	za	Sa
provođenje	provođenje	Ncnsa
poslova	posao	Ncmpg
energetskog	energetski	Agpmsgy
pregleda	pregled	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Rješenje	rješenje	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
između	između	Sg
ostaloga	ostali	Agpnsgy
,	,	Z
sadrži	sadržati	Vmr3s
:	:	Z

–	i	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
ovlaštenoj	ovlašten	Agpfsly
osobi	osoba	Ncfsl
(	(	Z
naziv	naziv	Ncmsn
,	,	Z
adresa	adresa	Ncfsn
sjedišta	sjedište	Ncnsg
,	,	Z
osobni	osoban	Agpmsayn
identifikacijski	identifikacijski	Agpmsayn
broj	broj	Ncmsan
i	i	Cc
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
)	)	Z

–	–	Sa
vrstu	vrsta	Ncfsa
ovlaštenja	ovlaštenje	Ncnsg
za	za	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
izdaje	izdavati	Vmr3s
rješenje	rješenje	Ncnsn
,	,	Z

–	–	Sa
datum	datum	Ncmsan
