čemu	što	Pi3n-l
je	biti	Var3s
sud	sud	Ncmsn
dužan	dužan	Agpmsnn
voditi	voditi	Vmn
računa	račun	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ministar	ministar	Ncmsn
nadležan	nadležan	Agpmsnn
za	za	Sa
poslove	posao	Ncmpa
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
pravilnikom	pravilnik	Ncmsi
će	htjeti	Var3s
propisati	propisati	Vmn
način	način	Ncmsan
pribavljanja	pribavljanje	Ncnsg
mišljenja	mišljenje	Ncnsg
djeteta	dijete	Ncnsg
.	.	Z

Upoznavanje	upoznavanje	Ncnsn
djeteta	dijete	Ncnsg
s	sa	Si
odlukom	odluka	Ncfsi
suda	sud	Ncmsg

Članak	članak	Ncmsn
361.	361.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Odluka	odluka	Ncfsn
suda	sud	Ncmsg
kojom	koji	Pi-fsi
se	sebe	Px--sa
odlučuje	odlučivati	Vmr3s
o	o	Sl
pravima	prav	Agpmply
i	i	Cc
interesima	interes	Ncmpl
djeteta	dijete	Ncnsg
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
posebnom	poseban	Agpmsly
skrbniku	skrbnik	Ncmsl
,	,	Z
odnosno	odnosno	Rgp
zakonskom	zakonski	Agpmsly
zastupniku	zastupnik	Ncmsl
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Posebni	poseban	Agpmsny
skrbnik	skrbnik	Ncmsn
,	,	Z
odnosno	odnosno	Rgp
zakonski	zakonski	Agpmsny
zastupnik	zastupnik	Ncmsn
djeteta	dijete	Ncnsg
će	htjeti	Var3s
upoznati	upoznati	Vmn
dijete	dijete	Ncnsa
sa	sa	Si
sadržajem	sadržaj	Ncmsi
odluke	odluka	Ncfsg
i	i	Cc
pravom	prav	Agpmsly
na	na	Sa
izjavljivanje	izjavljivanje	Ncnsa
žalbe	žalba	Ncfsg
,	,	Z
osobno	osobno	Rgp
ili	ili	Cc
uz	uz	Sa
pomoć	pomoć	Ncfsa
stručne	stručan	Agpfsgy
osobe	osoba	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Dijete	dijete	Ncnsn
se	sebe	Px--sa
neće	htjeti	Var3s
upoznati	upoznati	Vmn
s	sa	Si
obrazloženjem	obrazloženje	Ncnsi
odluke	odluka	Ncfsg
ako	ako	Cs
bi	biti	Vaa3s
to	taj	Pd-nsn
imalo	imati	Vmp-sn
posljedice	posljedica	Ncfpa
za	za	Sa
njegovo	njegov	Ps3nsa
zdravlje	zdravlje	Ncnsa
i	i	Cc
razvoj	razvoj	Ncmsan
.	.	Z

Saslušanje	saslušanje	Ncnsn
roditelja	roditelj	Ncmpg

Članak	članak	Ncmsn
362.	362.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
postupcima	postupak	Ncmpl
u	u	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
odlučuje	odlučivati	Vmr3s
o	o	Sl
osobnim	osoban	Agpnply
pravima	pravo	Ncnpl
djeteta	dijete	Ncnsg
,	,	Z
kao	kao	Cs
i	i	Qo
u	u	Sl
postupcima	postupak	Ncmpl
u	u	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
određuju	određivati	Vmr3p
mjere	mjera	Ncfpn
za	za	Sa
zaštitu	zaštita	Ncfsa
osobnih	osoban	Agpnpgy
prava	pravo	Ncnpg
i	i	Cc
dobrobiti	dobrobit	Ncfsg
djeteta	dijete	Ncnsg
sud	sud	Ncmsn
će	htjeti	Var3s
roditelje	roditelj	Ncmpa
osobno	osobno	Rgp
saslušati	saslušati	Vmn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sud	sud	Ncmsn
neće	htjeti	Var3s
osobno	osobno	Rgp
saslušati	saslušati	Vmn
roditelja	roditelj	Ncmsay
ako	ako	Cs
se	sebe	Px--sa
odlučuje	odlučivati	Vmr3s
o	o	Sl
stvarima	stvar	Ncfpl
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
roditelj	roditelj	Ncmsn
ograničen	ograničiti	Appmsnn
u	u	Sl
ostvarivanju	ostvarivanje	Ncnsl
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
ili	ili	Cc
je	biti	Var3s
lišen	lišiti	Appmsnn
prava	prav	Agpfsny
na	na	Sa
roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa
,	,	Z
osim	osim	Cs
ako	ako	Cs
se	sebe	Px--sa
postupak	postupak	Ncmsn
vodi	voditi	Vmr3s
radi	radi	Sg
vraćanja	vraćanje	Ncnsg
ograničenog	ograničiti	Appnsgy
ili	ili	Cc
oduzetog	oduzeti	Agpnsgy
prava	pravo	Ncnsg
ili	ili	Cc
radi	radi	Sg
nadomještanja	nadomještanje	Ncnsg
pristanka	pristanak	Ncmsg
roditelja	roditelj	Ncmpg
za	za	Sa
posvojenje	posvojenje	Ncnsa
rješenjem	rješenje	Ncnsi
suda	sud	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
