Vozna	vozan	Agpnpny
okna	okno	Ncnpn
dizala	dizati	Vmp-sf
ne	ne	Qz
smiju	smjeti	Vmr3p
sadržavati	sadržavati	Vmn
nikakve	nikakav	Pi-mpa
cjevovode	cjevovod	Ncmpa
,	,	Z
električne	električan	Agpfpay
instalacije	instalacija	Ncfpa
ili	ili	Cc
uređaje	uređaj	Ncmpa
,	,	Z
osim	osim	Sg
onih	onaj	Pd-fpg
potrebnih	potreban	Agpfpgy
za	za	Sa
ispravan	ispravan	Agpmsann
rad	rad	Ncmsan
i	i	Cc
sigurnost	sigurnost	Ncfsa
dizala	dizalo	Ncnsg
.	.	Z

POGLAVLJE	poglavlje	Ncnsn
II	ii	Mrc
.	.	Z

OBVEZE	obveza	Ncfpn
GOSPODARSKIH	gospodarski	Agpmpgy
SUBJEKATA	subjekt	Ncmpg

Članak	članak	Ncmsn
7.	7.	Mdo

Obveze	obveza	Ncfpn
ugraditelja	ugraditelj	Ncmpg

(	(	Z
1	1	Mdc
)	)	Z
Prilikom	prilikom	Sg
stavljanja	stavljanje	Ncnsg
dizala	dizalo	Ncnsg
na	na	Sa
tržište	tržište	Ncnsa
,	,	Z
ugraditelji	ugraditelj	Ncmpn
moraju	morati	Vmr3p
osigurati	osigurati	Vmn
da	da	Cs
je	biti	Var3s
dizalo	dizalo	Ncnsn
projektirano	projektirati	Appnsny
,	,	Z
proizvedeno	proizvesti	Appnsny
,	,	Z
ugrađeno	ugraditi	Appnsny
i	i	Cc
ispitano	ispitati	Appnsny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
bitnim	bitan	Agpmpiy
zdravstvenim	zdravstven	Agpmpiy
i	i	Cc
sigurnosnim	sigurnosni	Agpmpiy
zahtjevima	zahtjev	Ncmpi
utvrđenima	utvrditi	Ncmpl
u	u	Sl
Prilogu	Prilog	Npmsl
I.	ia	Ncfsl
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ugraditelji	ugraditelj	Ncmpn
moraju	morati	Vmr3p
sastaviti	sastaviti	Vmn
