izvanparničnom	izvanparnični	Agpmsly
postupku	postupak	Ncmsl
na	na	Sa
prijedlog	prijedlog	Ncmsan
djeteta	dijete	Ncnsg
ili	ili	Cc
roditelja	roditelj	Ncmpg
donijeti	donijeti	Vmn
rješenje	rješenje	Ncnsa
radi	radi	Sg
zaštite	zaštita	Ncfsg
dobrobiti	dobrobit	Ncfsg
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
do	do	Sg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
neodgodivoj	neodgodiv	Agpfsly
medicinskoj	medicinski	Agpfsly
intervenciji	intervencija	Ncfsl
,	,	Z
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
odredbe	odredba	Ncfpn
posebnog	poseban	Agpmsgy
propisa	propis	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
zaštita	zaštita	Ncfsn
prava	prav	Agpfsny
pacijenata	pacijent	Ncmpg
.	.	Z

Dužnosti	dužnost	Ncfpn
djeteta	dijete	Ncnsg
u	u	Sl
obitelji	obitelj	Ncfsl

Članak	članak	Ncmsn
89.	89.	Mdo

Dijete	dijete	Ncnsn
je	biti	Var3s
dužno	dužan	Agpnsny
poštovati	poštovati	Vmn
svoje	svoj	Px-mpa
roditelje	roditelj	Ncmpa
i	i	Cc
pomagati	pomagati	Vmn
im	oni	Pp3-pd
u	u	Sl
obavljanju	obavljanje	Ncnsl
poslova	posao	Ncmpg
u	u	Sl
obiteljskoj	obiteljski	Agpfsly
zajednici	zajednica	Ncfsl
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
svojom	svoj	Px-fsi
dobi	dob	Ncfsg
i	i	Cc
zrelošću	zrelost	Ncfsi
te	te	Cc
biti	biti	Van
obzirno	obziran	Agpnsny
prema	prema	Sl
članovima	član	Ncmpl
obitelji	obitelj	Ncfsl
.	.	Z

Dužnost	dužnost	Ncfsn
djeteta	dijete	Ncnsg
pridonositi	pridonositi	Vmn
uzdržavanju	uzdržavanje	Ncnsd

Članak	članak	Ncmsn
90.	90.	Mdo

Dijete	dijete	Ncnsn
koje	koji	Pi-nsn
je	biti	Var3s
navršilo	navršiti	Vmp-sn
petnaest	petnaest	Mlc
godina	godina	Ncfpg
,	,	Z
zaposleno	zaposliti	Appnsny
je	biti	Var3s
i	i	Cc
stječe	stjecati	Vmr3s
imovinu	imovina	Ncfsa
radom	rad	Ncmsi
dužno	dužan	Agpnsny
je	biti	Var3s
pridonositi	pridonositi	Vmn
svojem	svoj	Px-nsl
uzdržavanju	uzdržavanje	Ncnsl
i	i	Cc
obrazovanju	obrazovanje	Ncnsl
.	.	Z

2.	2.	Mdo
RODITELJSKA	roditeljski	Agpfsny
SKRB	skrb	Ncfsn

Pojam	pojam	Ncmsn
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg

Članak	članak	Ncmsn
91.	91.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa
čine	činiti	Vmr3p
odgovornosti	odgovornost	Ncfsg
,	,	Z
dužnosti	dužnost	Ncfsg
i	i	Cc
prava	pravo	Ncnsg
roditelja	roditelj	Ncmpg
,	,	Z
u	u	Sa
