priloženim	priložen	Agpfpiy
ispravama	isprava	Ncfpi
nedostaje	nedostajati	Vmr3s
neki	neki	Pi-msan
podatak	podatak	Ncmsan
,	,	Z
da	da	Cs
neki	neki	Pi-mpn
od	od	Sg
podataka	podatak	Ncmpg
ne	ne	Qz
odgovara	odgovarati	Vmr3s
propisanim	propisati	Agpmpiy
podacima	podatak	Ncmpi
ili	ili	Cc
da	da	Cs
nedostaje	nedostajati	Vmr3s
neki	neki	Pi-mpn
od	od	Sg
dokaza	dokaz	Ncmpg
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
propisanih	propisati	Agpmpgy
uvjeta	uvjet	Ncmpg
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
donosi	donositi	Vmr3s
zaključak	zaključak	Ncmsan
radi	radi	Sg
dopune	dopuna	Ncfsg
podataka	podatak	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
dostave	dostava	Ncfsg
novog	nov	Agpmsgy
zahtjeva	zahtjev	Ncmsg
ili	ili	Cc
dokaza	dokaz	Ncmpg
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

Fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
ovlaštena	ovlastiti	Appfsny
sukladno	sukladno	Rgp
ovom	ovaj	Pd-msl
Pravilniku	Pravilnik	Npmsl
,	,	Z
koja	koji	Pi-fsn
kao	kao	Cs
ovlašteni	ovlašten	Agpmsny
arhitekt	arhitekt	Ncmsn
,	,	Z
odnosno	odnosno	Rgp
ovlašteni	ovlašten	Agpmsny
inženjer	inženjer	Ncmsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
projektiranja	projektiranje	Ncnsg
i	i	Cc
/	/	Z
ili	ili	Cc
stručnog	stručan	Agpmsgy
nadzora	nadzor	Ncmsg
građenja	građenje	Ncnsg
samostalno	samostalno	Rgp
u	u	Sl
vlastitom	vlastit	Agpmsly
uredu	ured	Ncmsl
,	,	Z
poslove	posao	Ncmpa
energetskog	energetski	Agpnsgy
certificiranja	certificiranje	Ncnsg
,	,	Z
energetskog	energetski	Agpmsgy
pregleda	pregled	Ncmsg
zgrade	zgrada	Ncfsg
i	i	Cc
redovitog	redovit	Agpmsgy
pregleda	pregled	Ncmsg
sustava	sustav	Ncmsg
grijanja	grijanje	Ncnsg
i	i	Cc
sustava	sustav	Ncmsg
hlađenja	hlađenje	Ncnsg
ili	ili	Cc
klimatizacije	klimatizacija	Ncfsg
u	u	Sl
zgradi	zgrada	Ncfsl
može	moći	Vmr3s
obavljati	obavljati	Vmn
putem	put	Sg
ureda	ured	Ncmsg
ovlaštenog	ovlašten	Agpmsgy
arhitekta	arhitekt	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
ovlaštenog	ovlašten	Agpmsgy
inženjera	inženjer	Ncmsg
.	.	Z

Ponovno	ponovan	Agpnsny
davanje	davanje	Ncnsn
ovlaštenja	ovlaštenje	Ncnsg

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ovlaštenje	ovlaštenje	Ncnsn
za	za	Sa
energetsko	energetski	Agpnsay
certificiranje	certificiranje	Ncnsa
,	,	Z
energetski	energetski	Agpmsayn
pregled	pregled	Ncmsan
zgrade	zgrada	Ncfsg
i	i	Cc
redovite	redovit	Agpmpay
preglede	pregled	Ncmpa
sustava	sustav	Ncmsg
grijanja	grijanje	Ncnsg
i	i	Cc
sustava	sustav	Ncmsg
hlađenja	hlađenje	Ncnsg
ili	ili	Cc
klimatizacije	klimatizacija	Ncfsg
u	u	Sl
zgradi	zgrada	Ncfsl
može	moći	Vmr3s
se	sebe	Px--sa
ponovno	ponovno	Rgp
dati	dati	Vmn
na	na	Sa
zahtjev	zahtjev	Ncmsan
ovlaštene	ovlašten	Agpfsgy
osobe	osoba	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ovlaštena	ovlastiti	Appfsny
osoba	osoba	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
zahtjev	zahtjev	Ncmsn
za	za	Si
ponovnim	ponovan	Agpnsiy
davanjem	davanje	Ncnsi
ovlaštenja	ovlaštenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podnijeti	podnijeti	Vmn
Ministarstvu	ministarstvo	Ncnsd
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
najmanje	malo	Rgs
mjesec	mjesec	Ncmsan
dana	dan	Ncmpg
,	,	Z
a	a	Cc
najviše	mnogo	Rgs
dva	dva	Mlc
mjeseca	mjesec	Ncmsg
prije	prije	Sg
isteka	istek	Ncmsg
važenja	važenje	Ncnsg
ovlaštenja	ovlaštenje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Na	na	Sa
postupak	postupak	Ncmsan
i	i	Cc
uvjete	uvjet	Ncmpa
ponovnog	ponovan	Agpnsgy
davanja	davanje	Ncnsg
ovlaštenja	ovlaštenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
odredbe	odredba	Ncfpn
Zakona	zakon	Ncmsg
i	i	Cc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Za	za	Sa
ponovno	ponovan	Agpnsay
davanje	davanje	Ncnsa
ovlaštenja	ovlaštenje	Ncnsg
ovlaštena	ovlastiti	Appfsny
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
dokazati	dokazati	Vmn
ispunjenje	ispunjenje	Ncnsa
uvjeta	uvjet	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
29.	29.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
podstavka	podstavak	Ncmsg
3.	3.	Mdo
i	i	Cc
članka	članak	Ncmsg
32.	32.	Mdo

Zakona	zakon	Ncmsg
te	te	Cc
članka	članak	Ncmsg
9.	9.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
a	a	Cc
ovlaštena	ovlašten	Agpfsny
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
dokazati	dokazati	Vmn
ispunjenje	ispunjenje	Ncnsa
uvjeta	uvjet	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
30.	30.	Mdo
i	i	Cc
32.	32.	Mdo

Zakona	zakon	Ncmsg
te	te	Cc
članka	članak	Ncmsg
7.	7.	Mdo
,	,	Z
8.	8.	Mdo
i	i	Cc
9.	9.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Osobe	osoba	Ncfpn
ovlaštene	ovlastiti	Appfpny
na	na	Sl
temelju	temelj	Ncmsl
