posl	posl	Qr
.	.	Z
br.	br.	Y

P-1091	P-1091	X
/	/	Z
2013	2013	Mdc
-	-	Z
25	25	Mdc
od	od	Sg
14.	14.	Mdo
siječnja	siječanj	Ncmsg
2016.	2016.	Mdo
odbijen	odbiti	Appmsnn
je	biti	Var3s
prijedlog	prijedlog	Ncmsn
tužitelja	tužitelj	Ncmsg
(	(	Z
HZZO	HZZO	Npmsn
/	/	Z
Rijeka	rijek	Ncmsg
)	)	Z
za	za	Sa
povrat	povrat	Ncmsan
u	u	Sa
prijašnje	prijašnji	Agpnsay
stanje	stanje	Ncnsa
kao	kao	Cs
neosnovan	neosnovan	Agpmsnn
.	.	Z

Prema	prema	Sl
informaciji	informacija	Ncfsl
dobivenoj	dobiviti	Appfsly
u	u	Sl
Općinskom	općinski	Agpmsly
sudu	sud	Ncmsl
u	u	Sl
Rijeci	Rijeka	Npfsl
,	,	Z
do	do	Sg
28.	28.	Mdo
siječnja	siječanj	Ncmsg
2016.	2016.	Mdo
u	u	Sa
spis	spis	Ncmsan
predmeta	predmet	Ncmsg
P-1091	P-1091	Mds
/	/	Z
2013	2013	Mdc
nije	biti	Var3s
zaprimljena	zaprimiti	Appfsny
ni	ni	Cc
povratnica	povratnica	Ncfsn
ni	ni	Cc
žalba	žalba	Ncfsn
HZZO	HZZO	Npfsg
/	/	Z
Rijeka	Rijeka	Npfsn
.	.	Z

III	III	Mrc
.	.	Z

PRIGOVORI	prigovor	Ncmpn
PODNOSITELJICE	podnositeljica	Ncfsg

23.	23.	Mdo

Podnositeljica	podnositeljica	Ncfsn
u	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
tvrdi	tvrditi	Vmr3s
da	da	Cs
joj	on	Pp3fsd
je	biti	Var3s
osporenim	osporiti	Appfpiy
odlukama	odluka	Ncfpi
povrijeđeno	povrijeđen	Agpnsny
ustavno	ustavan	Agpnsny
jamstvo	jamstvo	Ncnsn
na	na	Sa
jednakost	jednakost	Ncfsa
svih	sav	Agpmpgy
pred	pred	Si
zakonom	zakon	Ncmsi
(	(	Z
članak	članak	Ncmsn
14.	14.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
Ustava	ustav	Ncmsg
)	)	Z
.	.	Z

S	sa	Si
obzirom	obzir	Ncmsi
da	da	Cs
u	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
prigovara	prigovarati	Vmr3s
obvezi	obveza	Ncfsl
vraćanja	vraćanje	Ncnsg
novčanih	novčan	Agpnpgy
sredstava	sredstvo	Ncnpg
koje	koji	Pi-mpa
je	biti	Var3s
primila	primiti	Vmp-sf
na	na	Sa
ime	ime	Ncnsa
naknade	naknada	Ncfsg
plaće	plaća	Ncfsg
za	za	Sa
vrijeme	vrijeme	Ncnsa
njege	njega	Ncfsg
djeteta	dijete	Ncnsg
od	od	Sg
5.	5.	Mdo
studenoga	studeni	Ncmsg
2010.	2010.	Mdo
do	do	Sg
11.	11.	Mdo
lipnja	lipanj	Ncmsg
2012.	2012.	Mdo
(	(	Z
to	taj	Pd-nsn
jest	biti	Var3s
od	od	Sg
dana	dan	Ncmpg
retroaktivno	retroaktivno	Rgp
utvrđenog	utvrditi	Agpmsgy
prestanka	prestanak	Ncmsg
obrta	obrt	Ncmsg
njezinog	njezin	Ps3msg
poslodavca	poslodavac	Ncmsg
do	do	Sg
dana	dan	Ncmsg
donošenja	donošenje	Ncnsg
osporenog	osporiti	Appnsgy
prvostupanjskog	prvostupanjski	Agpnsgy
rješenja	rješenje	Ncnsg
)	)	Z
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
ocjenjuje	ocjenjivati	Vmr3s
da	da	Cs
se	sebe	Px--sa
taj	taj	Pd-msn
prigovor	prigovor	Ncmsn
podnositeljice	podnositeljica	Ncfsg
odnosi	odnositi	Vmr3s
na	na	Sa
nejednakost	nejednakost	Ncfsa
pred	pred	Si
zakonom	zakon	Ncmsi
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
člankom	članak	Ncmsi
48.	48.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
Ustava	ustav	Ncmsg
.	.	Z

Podnositeljica	podnositeljica	Ncfsn
dalje	daleko	Rgc
tvrdi	tvrditi	Vmr3s
da	da	Cs
joj	on	Pp3fsd
je	biti	Var3s
osporenim	osporiti	Appfpiy
odlukama	odluka	Ncfpi
povrijeđeno	povrijeđen	Agpnsny
ustavno	ustavan	Agpnsny
jamstvo	jamstvo	Ncnsn
sudske	sudski	Agpfsgy
kontrole	kontrola	Ncfsg
zakonitosti	zakonitost	Ncfsg
pojedinačnih	pojedinačan	Agpmpgy
akata	akt	Ncmpg
upravnih	upravan	Agpfpgy
vlasti	vlast	Ncfpg
i	i	Cc
tijela	tijelo	Ncnsg
koja	koji	Pi-npn
imaju	imati	Vmr3p
javne	javan	Agpfpay
ovlasti	ovlast	Ncfpa
(	(	Z
članak	članak	Ncmsn
19.	19.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
Ustava	ustav	Ncmsg
)	)	Z
.	.	Z

Konačno	konačno	Rgp
,	,	Z
podnositeljica	podnositeljica	Ncfsn
smatra	smatrati	Vmr3s
da	da	Cs
je	biti	Var3s
u	u	Sl
njezinom	njezin	Agpmsly
slučaju	slučaj	Ncmsl
država	država	Ncfsn
prekršila	prekršiti	Vmp-sf
svoju	svoj	Px-fsa
pozitivnu	pozitivan	Agpfsay
ustavnu	ustavan	Agpfsay
obvezu	obveza	Ncfsa
da	da	Cs
štiti	štititi	Vmr3s
materinstvo	materinstva	Ncfpa
,	,	Z
djecu	dijete	Ncnpa
i	i	Cc
mladež	mladež	Ncfsa
te	te	Cc
stvara	stvarati	Vmr3s
socijalne	socijalan	Agpfpay
,	,	Z
kulturne	kulturan	Agpfsgy
,	,	Z
odgojne	odgojni	Agpfpny
,	,	Z
materijalne	materijalan	Agpfpay
i	i	Cc
druge	drugi	Mlompa
uvjete	uvjet	Ncmpa
kojima	koji	Pi-mpi
se	sebe	Px--sa
promiče	promicati	Vmr3s
ostvarivanje	ostvarivanje	Ncnsn
prava	pravo	Ncnpg
na	na	Sa
dostojan	dostojan	Agpmsann
život	život	Ncmsan
(	(	Z
članak	članak	Ncmsn
62.	62.	Mdo

Ustava	ustava	Ncfsn
)	)	Z
.	.	Z

Također	također	Rgp
smatra	smatrati	Vmr3s
da	da	Cs
je	biti	Var3s
došlo	doći	Vmp-sn
do	do	Sg
kršenja	kršenje	Ncnsg
ustavnog	ustavan	Agpmsgy
zahtjeva	zahtjev	Ncmsg
da	da	Cs
iz	iz	Sg
posebno	posebno	Rgp
opravdanih	opravdati	Agpmpgy
razloga	razlog	Ncmpg
samo	samo	Rgp
pojedine	pojedini	Agpfpny
odredbe	odredba	Ncfpn
zakona	zakon	Ncmsg
mogu	moći	Vmr3p
imati	imati	Vmn
povratno	povratan	Agpnsay
djelovanje	djelovanje	Ncnsa
(	(	Z
članak	članak	Ncmsn
90.	90.	Mdo
stavak	stavak	Ncmsn
5.	5.	Mdo
Ustava	ustav	Ncmsg
)	)	Z
.	.	Z

24.	24.	Mdo

U	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
podnositeljica	podnositeljica	Ncfsn
je	biti	Var3s
ponovila	ponoviti	Vmp-sf
mjerodavne	mjerodavan	Agpfpay
odredbe	odredba	Ncfpa
zakona	zakon	Ncmsg
i	i	Cc
drugih	drugi	Agpmpgy
propisa	propis	Ncmpg
koje	koji	Pi-mpa
su	biti	Var3p
u	u	Sl
njezinom	njezin	Agpmsly
slučaju	slučaj	Ncmsl
primijenili	primijeniti	Vmp-pm
nadležna	nadležan	Agpnpay
tijela	tijelo	Ncnpa
HZZO-a	HZZO	Npmsg
i	i	Cc
Upravni	upravan	Agpmsny
sud	sud	Ncmsn
u	u	Sl
Rijeci	Rijeka	Npfsl
,	,	Z
te	te	Cc
je	biti	Var3s
nakon	nakon	Sg
toga	taj	Pd-nsg
navela	navesti	Vmp-sf
:	:	Z

»	»	Z
...	...	Z

Pozivajući	pozivati	Rr
se	sebe	Px--sa
na	na	Sa
navedene	naveden	Agpmpay
propise	propis	Ncmpa
Upravni	upravan	Agpmsny
sud	sud	Ncmsn
navodi	navoditi	Vmr3s
da	da	Cs
je	biti	Var3s
podnositeljici	podnositeljica	Ncfsl
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
radni	radni	Agpmsayn
odnos	odnos	Ncmsan
prestao	prestati	Vmp-sm
danom	dan	Ncmsi
prestanka	prestanak	Ncmsg
obrta	obrt	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
,	,	Z
retroaktivno	retroaktivan	Agpnsny
,	,	Z
danom	dan	Ncmsi
odjave	odjava	Ncfsg
obrta	obrt	Ncmsg
04.	04.	Mdo
11.	11.	Mdo
2010.	2010.	Mdo
g.	g.	Y
,	,	Z
te	te	Cc
da	da	Cs
stoga	stoga	Rgp
nije	biti	Var3s
bio	biti	Vap-sm
ispunjen	ispuniti	Appmsnn
osnovni	osnovan	Agpmsny
uvjet	uvjet	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
st.	st.	Y
1.	1.	Mdo
citiranog	citirati	Agpmsgy
Pravilnika	pravilnik	Ncmsg
,	,	Z
da	da	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
zaposlenom	zaposlen	Agpmsly
roditelju	roditelj	Ncmsl
djeteta	dijete	Ncnsg
s	sa	Si
težim	težak	Agcfpiy
smetnjama	smetnja	Ncfpi
u	u	Sl
razvoju	razvoj	Ncmsl
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
koju	koji	Pi-fsa
Hrvatski	hrvatski	Agpmsny
zavod	zavod	Ncmsn
za	za	Sa
zdravstveno	zdravstven	Agpnsay
osiguranje	osiguranje	Ncnsa
tužbom	tužba	Ncfsi
pred	pred	Si
Općinskim	općinski	Agpmsiy
sudom	sud	Ncmsi
u	u	Sl
Rijeci	Rijeka	Npfsl
potražuje	potraživati	Vmr3s
od	od	Sg
podnositeljice	podnositeljica	Ncfsg
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
(	(	Z
P-1091	P-1091	X
/	/	Z
2013	2013	Mdc
)	)	Z
.	.	Z

25.	25.	Mdo

Podnositeljica	podnositeljica	Ncfsn
tvrdi	tvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
svojim	svoj	Agpnsiy
tumačenjem	tumačenje	Ncnsi
mjerodavnih	mjerodavan	Agpmpgy
propisa	propis	Ncmpg
Upravni	upravan	Agpmsny
sud	sud	Ncmsn
u	u	Sl
Rijeci	Rijeka	Npfsl
povrijedio	povrijediti	Vmp-sm
,	,	Z
osim	osim	Sg
Ustava	ustav	Ncmsg
,	,	Z
i	i	Cc
Direktivu	direktiva	Ncfsa
Vijeća	vijeće	Ncnsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
br.	br.	Y
96/34	96/34	Mdc
/	/	Z
ED	ED	Y
od	od	Sg
3.	3.	Mdo
lipnja	lipanj	Ncmsg
1996.	1996.	Mdo
o	o	Sl
okvirnom	okviran	Agpmsly
sporazumu	sporazum	Ncmsl
o	o	Sl
roditeljskom	roditeljski	Agpmsly
dopustu	dopust	Ncmsl
:	:	Z

»	»	Z
IV	IV	Mrc
.	.	Z

Ovakvim	ovakav	Agpnsiy
tumačenjem	tumačenje	Ncnsi
propisa	propis	Ncmsg
Upravnog	upravan	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Rijeci	Rijeka	Npfsl
,	,	Z
povrh	povrh	Sg
Ustava	ustav	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
krše	kršiti	Vmr3p
se	sebe	Px--sa
i	i	Qo
odredbe	odredba	Ncfpn
Direktiva	direktiva	Ncfsn
Vijeća	vijeće	Ncnsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
br.	br.	Y
96/34	96/34	Mdc
/	/	Z
ED	ed	Ncmsan
od	od	Sg
03.	03.	Mdo
06.	06.	Mdo
1996.	1996.	Mdo
g.	ga	Ncfsg
o	o	Sl
okvirnom	okviran	Agpmsly
sporazumu	sporazum	Ncmsl
o	o	Sl
roditeljskom	roditeljski	Agpmsly
dopustu	dopust	Ncmsl
.	.	Z

Naime	naime	Qo
,	,	Z
članak	članak	Ncmsn
2.	2.	Mdo
stavak	stavak	Ncmsan
1.	1.	Mdo
citiranog	citirati	Agpmsgy
Okvirnog	okviran	Agpmsgy
sporazuma	sporazum	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
usvojen	usvojiti	Appmsnn
citiranom	citirati	Agpfsiy
Direktivom	direktiva	Ncfsi
predviđeno	predvidjeti	Appnsny
je	biti	Var3s
da	da	Cs
se	sebe	Px--sa
muškarcima	muškarac	Ncmpi
i	i	Cc
ženama	žena	Ncfpd
zaposlenicima	zaposlenik	Ncmpd
jamči	jamčiti	Vmr3s
individualno	individualan	Agpnsay
pravo	pravo	Ncnsa
na	na	Sa
roditeljski	roditeljski	Agpmsayn
dopust	dopust	Ncmsan
s	sa	Sg
osnova	osnova	Ncfpg
rođenja	rođenje	Ncnsg
ili	ili	Cc
usvojenja	usvojenje	Ncnsg
djeteta	dijete	Ncnsg
kako	kako	Cs
bi	biti	Vaa3s
im	oni	Pp3-pd
se	sebe	Px--sa
omogućila	omogućiti	Vmp-sf
skrb	skrb	Ncfsn
za	za	Sa
to	taj	Pd-nsa
dijete	dijete	Ncnsa
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
najmanje	malo	Rgs
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
do	do	Sg
određene	određen	Agpfsgy
dobi	dob	Ncfsg
djeteta	dijete	Ncnsg
,	,	Z
a	a	Cc
najdalje	daleko	Rgs
do	do	Sg
osme	osmi	Mlofsg
godine	godina	Ncfsg
starosti	starost	Ncfsg
djeteta	dijete	Ncnsg
,	,	Z
što	što	Pi3n-n
utvrđuju	utvrđivati	Vmr3p
države	država	Ncfpn
članice	članica	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
socijalni	socijalan	Agpmpny
partneri	partner	Ncmpn
.	.	Z

Člankom	članak	Ncmsi
2.	2.	Mdo
stavak	stavak	Ncmsn
6.	6.	Mdo
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
prava	pravo	Ncnpg
koja	koji	Agpnsny
je	biti	Var3s
zaposlenik	zaposlenik	Ncmsn
stekao	steći	Vmp-sm
ili	ili	Cc
prava	pravo	Ncnpg
koja	koji	Pi-npn
su	biti	Var3p
u	u	Sl
procesu	proces	Ncmsl
stjecanja	stjecanje	Ncnsg
na	na	Sa
dan	dan	Ncmsan
početka	početak	Ncmsg
korištenja	korištenje	Ncnsg
roditeljskog	roditeljski	Agpmsgy
dopusta	dopust	Ncmsg
,	,	Z
ostaju	ostajati	Vmr3p
