sudjelovanju	sudjelovanje	Ncnsl
u	u	Sl
obavljanju	obavljanje	Ncnsl
revizije	revizija	Ncfsg
posebno	posebno	Rgp
važan	važan	Agpmsnn
za	za	Sa
kvalitetu	kvaliteta	Ncfsa
revizije	revizija	Ncfsg
,	,	Z
u	u	Sl
rijetkim	rijedak	Agpmply
slučajevima	slučaj	Ncmpl
zbog	zbog	Sg
nepredvidivih	nepredvidiv	Agpfpgy
okolnosti	okolnost	Ncfpg
izvan	izvan	Sg
kontrole	kontrola	Ncfsg
revizorskog	revizorski	Agpnsgy
društva	društvo	Ncnsg
,	,	Z
može	moći	Vmr3s
biti	biti	Van
dopuštena	dopustiti	Appfsny
dodatna	dodatan	Agpfsny
godina	godina	Ncfsn
u	u	Sl
revizijskom	revizijski	Agpmsly
timu	tim	Ncmsl
sve	sav	Agpnsny
dok	dok	Cs
se	sebe	Px--sa
prijetnja	prijetnja	Ncfsn
neovisnosti	neovisnost	Ncfsg
može	moći	Vmr3s
ukloniti	ukloniti	Vmn
ili	ili	Cc
smanjiti	smanjiti	Vmn
na	na	Sa
prihvatljivu	prihvatljiv	Agpfsay
razinu	razina	Ncfsa
primjenjivanjem	primjenjivanje	Ncnsi
zaštite	zaštita	Ncfsg
.	.	Z

Naprimjer	naprimjer	Rgp
,	,	Z
ključni	ključan	Agpmsny
partner	partner	Ncmsn
revizije	revizija	Ncfsg
može	moći	Vmr3s
ostati	ostati	Vmn
u	u	Sl
revizijskom	revizijski	Agpmsly
timu	tim	Ncmsl
do	do	Sg
jedne	jedan	Mlcfsg
dodatne	dodatan	Agpfsgy
godine	godina	Ncfsg
u	u	Sl
okolnostima	okolnost	Ncfpl
gdje	gdje	Rgp
,	,	Z
zbog	zbog	Sg
nepredviđenih	nepredviđen	Agpmpgy
događaja	događaj	Ncmpg
,	,	Z
potrebna	potreban	Agpfsny
rotacija	rotacija	Ncfsn
nije	biti	Var3s
moguća	moguć	Agpfsny
,	,	Z
kao	kao	Cs
što	što	Cs
može	moći	Vmr3s
biti	biti	Van
u	u	Sl
slučaju	slučaj	Ncmsl
teške	težak	Agpfsgy
bolesti	bolest	Ncfsg
partnera	partner	Ncmsg
kojeg	koji	Pi-msg
se	sebe	Px--sa
namjeravalo	namjeravati	Vmp-sn
angažirati	angažirati	Vmn
.	.	Z

290.151	290.151	Mdc
Duga	dug	Agpfsny
povezanost	povezanost	Ncfsn
drugih	drugi	Mlompg
partnera	partner	Ncmpg
s	sa	Si
nekim	neki	Agpmsiy
klijentom	klijent	Ncmsi
revizije	revizija	Ncfsg
koji	koji	Pi-msn
je	biti	Var3s
subjekt	subjekt	Ncmsn
od	od	Sg
javnog	javan	Agpmsgy
interesa	interes	Ncmsg
stvara	stvarati	Vmr3s
prijetnje	prijetnja	Ncfpa
temeljem	temelj	Ncmsi
zbliženosti	zbliženost	Ncfsg
i	i	Cc
prijetnje	prijetnja	Ncfpa
temeljem	temelj	Ncmsi
osobnog	osoban	Agpmsgy
interesa	interes	Ncmsg
.	.	Z

Važnost	važnost	Ncfsn
prijetnje	prijetnja	Ncfsg
ovisit	ovisiti	Vmn
će	htjeti	Var3s
o	o	Sl
čimbenicima	čimbenik	Ncmpl
kao	kao	Cs
što	što	Cs
su	biti	Var3p
:	:	Z

•	•	I
koliko	koliko	Rgp
je	biti	Var3s
dugo	dugo	Rgp
neki	neki	Pi-msn
takav	takav	Pd-msn
partner	partner	Ncmsn
povezan	povezan	Agpmsnn
s	sa	Si
klijentom	klijent	Ncmsi
revizije	revizija	Ncfsg
;	;	Z

•	•	Sg
uloga	ulog	Ncmsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
ima	imati	Vmr3s
,	,	Z
osobe	osoba	Ncfpa
u	u	Sl
revizijskom	revizijski	Agpmsly
timu	tim	Ncmsl
;	;	Z
te	te	Cc

•		Agcmsayn
sadržaj	sadržaj	Ncmsan
,	,	Z
učestalost	učestalost	Ncfsn
i	i	Cc
razmjer	razmjer	Ncmsan
interakcije	interakcija	Ncfsg
